,st_cty_code,county,state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,1001,Autauga County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,1003,Baldwin County,AL,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3,1,2,2,0
2,1005,Barbour County,AL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1007,Bibb County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,1009,Blount County,AL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
5,10011,Bullock County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,10013,Butler County,AL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,10015,Calhoun County,AL,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,1,0,0
8,10017,Chambers County,AL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
9,10019,Cherokee County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10021,Chilton County,AL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,10023,Choctaw County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,10025,Clarke County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10027,Clay County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
14,10029,Cleburne County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,10031,Coffee County,AL,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
16,10033,Colbert County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,10035,Conecuh County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10037,Coosa County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,10039,Covington County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20,10041,Crenshaw County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,10043,Cullman County,AL,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
22,10045,Dale County,AL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
23,10047,Dallas County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
24,10049,DeKalb County,AL,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4
25,10051,Elmore County,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1
26,10053,Escambia County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,10055,Etowah County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,10057,Fayette County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
29,10059,Franklin County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,10061,Geneva County,AL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
31,10063,Greene County,AL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
32,10065,Hale County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
33,10067,Henry County,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,10069,Houston County,AL,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1
35,10071,Jackson County,AL,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0
36,10073,Jefferson County,AL,1,4,2,3,2,0,2,2,0,0,0,0,3,0,4,3,2,4,4
