
,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Atlantic,25.1025.1,33.2033.2,37.6037.6,49.2049.2,61.4061.4,68.6068.6,73.4073.4,74.2074.2,69.4069.4,57.6057.6,46.8046.8,35.8035.8
76,1971,Atlantic,28.4028.4,35.0035.0,39.3039.3,48.2048.2,57.6057.6,70.0070.0,73.1073.1,71.7071.7,68.3068.3,61.3061.3,44.6044.6,41.4041.4
77,1972,Atlantic,34.4034.4,32.4032.4,39.4039.4,47.5047.5,59.5059.5,66.2066.2,74.7074.7,72.5072.5,67.0067.0,51.3051.3,43.4043.4,40.9040.9
78,1973,Atlantic,34.6034.6,33.1033.1,46.6046.6,51.6051.6,58.3058.3,71.8071.8,74.9074.9,75.2075.2,67.7067.7,57.3057.3,47.0047.0,38.6038.6
79,1974,Atlantic,37.3037.3,32.0032.0,43.3043.3,53.4053.4,60.1060.1,67.4067.4,74.6074.6,73.7073.7,65.9065.9,51.9051.9,46.0046.0,38.4038.4
80,1975,Atlantic,36.7036.7,35.6035.6,39.8039.8,46.0046.0,63.1063.1,69.7069.7,74.0074.0,74.4074.4,63.9063.9,59.2059.2,49.8049.8,36.6036.6
81,1976,Atlantic,29.4029.4,40.4040.4,44.8044.8,53.3053.3,59.6059.6,71.3071.3,73.0073.0,72.0072.0,65.3065.3,51.4051.4,39.8039.8,30.9030.9
82,1977,Atlantic,21.4021.4,33.7033.7,46.4046.4,53.2053.2,62.6062.6,67.6067.6,75.6075.6,74.9074.9,69.0069.0,54.2054.2,48.2048.2,34.8034.8
83,1978,Atlantic,29.3029.3,24.2024.2,38.3038.3,49.7049.7,57.6057.6,68.6068.6,71.8071.8,75.6075.6,64.7064.7,53.8053.8,47.3047.3,37.7037.7
84,1979,Atlantic,32.1032.1,22.9022.9,44.7044.7,50.1050.1,62.1062.1,66.3066.3,73.6073.6,72.9072.9,66.4066.4,54.4054.4,49.4049.4,38.4038.4
85,1980,Atlantic,32.1032.1,29.7029.7,39.4039.4,52.3052.3,63.0063.0,67.5067.5,75.4075.4,76.0076.0,69.5069.5,53.6053.6,42.7042.7,33.0033.0
86,1981,Atlantic,25.8025.8,37.3037.3,39.8039.8,53.8053.8,60.7060.7,70.8070.8,76.1076.1,71.6071.6,66.1066.1,52.6052.6,44.8044.8,34.4034.4
87,1982,Atlantic,24.7024.7,34.7034.7,41.1041.1,48.4048.4,61.9061.9,67.2067.2,74.4074.4,70.4070.4,64.7064.7,54.7054.7,47.8047.8,41.0041.0
88,1983,Atlantic,33.3033.3,34.2034.2,43.6043.6,50.4050.4,59.4059.4,69.7069.7,76.8076.8,75.0075.0,67.6067.6,55.7055.7,46.3046.3,33.6033.6
89,1984,Atlantic,27.3027.3,39.1039.1,36.4036.4,49.2049.2,60.0060.0,72.2072.2,73.4073.4,74.8074.8,64.2064.2,60.4060.4,43.9043.9,42.8042.8
