,Year,Annual
0,1895,49.24166666666749.2
1,1896,49.85833333333349.9
2,1897,50.07550.1
3,1898,51.20833333333351.2
4,1899,50.14166666666750.1
5,1900,51.28333333333351.3
6,1901,49.34166666666749.3
7,1902,49.85833333333349.9
8,1903,49.68333333333349.7
9,1904,46.99166666666747.0
10,1905,49.27549.3
11,1906,50.86666666666750.9
12,1907,48.38333333333348.4
13,1908,50.74166666666750.7
14,1909,50.04166666666750.0
15,1910,50.14166666666750.1
16,1911,50.46666666666750.5
17,1912,49.63333333333349.6
18,1913,52.13333333333352.1
19,1914,49.17549.2
20,1915,50.5550.6
21,1916,49.15833333333349.2
22,1917,47.55833333333347.6
23,1918,49.849.8
24,1919,50.83333333333350.8
25,1920,49.5549.6
26,1921,52.48333333333352.5
27,1922,50.82550.8
28,1923,50.05833333333350.1
29,1924,49.07549.1
30,1925,50.32550.3
31,1926,48.19166666666748.2
32,1927,50.39166666666750.4
33,1928,50.5550.6
34,1929,50.82550.8
35,1930,51.37551.4
36,1931,52.97553.0
37,1932,51.90833333333351.9
38,1933,51.29166666666751.3
39,1934,49.94166666666749.9
40,1935,50.18333333333350.2
41,1936,50.51666666666750.5
42,1937,51.43333333333351.4
43,1938,51.68333333333351.7
44,1939,51.16666666666751.2
45,1940,48.3548.4
46,1941,51.48333333333351.5
47,1942,50.76666666666750.8
48,1943,50.17550.2
49,1944,51.02551.0
50,1945,50.90833333333350.9
51,1946,52.08333333333352.1
52,1947,50.6550.7
53,1948,50.60833333333350.6
54,1949,53.51666666666753.5
55,1950,50.27550.3
56,1951,51.66666666666751.7
57,1952,52.22552.2
58,1953,53.353.3
59,1954,51.73333333333351.7
60,1955,51.77551.8
61,1956,50.70833333333350.7
62,1957,52.02552.0
63,1958,49.60833333333349.6
64,1959,52.30833333333352.3
65,1960,50.81666666666750.8
66,1961,51.38333333333351.4
67,1962,49.93333333333349.9
68,1963,50.20833333333350.2
69,1964,51.29166666666751.3
70,1965,50.72550.7
71,1966,51.18333333333351.2
72,1967,50.11666666666750.1
73,1968,50.85833333333350.9
74,1969,51.03333333333351.0
75,1970,50.99166666666751.0
76,1971,51.48333333333351.5
77,1972,50.45833333333350.5
78,1973,53.11666666666753.1
79,1974,51.53333333333351.5
80,1975,52.35833333333352.4
81,1976,50.73333333333350.7
82,1977,51.37551.4
83,1978,49.93333333333349.9
84,1979,51.36666666666751.4
85,1980,51.33333333333351.3
86,1981,51.29166666666751.3
87,1982,50.99166666666751.0
88,1983,52.26666666666752.3
89,1984,51.85833333333351.9
90,1985,51.98333333333352.0
91,1986,51.77551.8
92,1987,52.00833333333352.0
93,1988,51.42551.4
94,1989,51.0551.1
95,1990,54.154.1
96,1991,54.254.2
97,1992,50.86666666666750.9
98,1993,51.851.8
99,1994,51.65833333333351.7
100,1995,52.09166666666752.1
101,1996,51.1551.2
102,1997,51.73333333333351.7
103,1998,54.79166666666754.8
104,1999,53.7553.8
105,2000,51.60833333333351.6
106,2001,53.453.4
107,2002,53.87553.9
108,2003,51.25833333333351.3
109,2004,52.58333333333352.6
110,2005,53.17553.2
111,2006,54.62554.6
112,2007,52.89166666666752.9
113,2008,53.03333333333353.0
114,2009,52.10833333333352.1
115,2010,54.50833333333354.5
116,2011,54.13333333333354.1
117,2012,55.45833333333355.5
118,2013,52.87552.9
119,2014,51.91666666666751.9
120,2015,53.49166666666753.5
121,2016,54.97555.0
122,2017,54.28333333333354.3
123,2018,53.72553.7
124,2019,53.45833333333353.5
125,2020,M
126,,Annual
