,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,21.2021.2,29.7029.7,35.4035.4,48.8048.8,61.1061.1,68.3068.3,74.6074.6,74.2074.2,66.9066.9,55.4055.4,44.8044.8,31.5031.5
76,1971,23.9023.9,30.8030.8,37.2037.2,47.5047.5,57.4057.4,70.4070.4,73.5073.5,71.7071.7,67.6067.6,58.9058.9,41.5041.5,37.4037.4
77,1972,31.3031.3,27.6027.6,36.4036.4,46.5046.5,60.5060.5,65.8065.8,74.8074.8,71.8071.8,65.8065.8,49.3049.3,40.2040.2,35.5035.5
78,1973,32.1032.1,29.4029.4,43.9043.9,50.9050.9,57.0057.0,71.6071.6,75.0075.0,74.9074.9,65.9065.9,55.9055.9,44.9044.9,35.9035.9
79,1974,31.3031.3,28.9028.9,39.7039.7,52.4052.4,58.8058.8,66.7066.7,74.2074.2,72.9072.9,63.5063.5,49.9049.9,44.2044.2,35.9035.9
80,1975,33.7033.7,32.9032.9,37.5037.5,45.3045.3,63.7063.7,69.1069.1,74.4074.4,72.4072.4,61.3061.3,56.5056.5,48.4048.4,33.1033.1
81,1976,24.4024.4,36.3036.3,41.6041.6,52.9052.9,59.2059.2,71.7071.7,72.4072.4,71.8071.8,63.4063.4,49.9049.9,38.3038.3,26.9026.9
82,1977,19.4019.4,30.5030.5,43.9043.9,51.4051.4,62.8062.8,67.7067.7,75.2075.2,72.5072.5,65.4065.4,51.8051.8,44.7044.7,31.2031.2
83,1978,25.3025.3,23.0023.0,35.9035.9,48.8048.8,58.4058.4,68.8068.8,72.4072.4,73.6073.6,62.4062.4,52.2052.2,44.0044.0,34.4034.4
84,1979,29.2029.2,20.6020.6,42.6042.6,49.1049.1,61.8061.8,66.9066.9,74.0074.0,72.4072.4,64.5064.5,52.6052.6,47.0047.0,35.7035.7
85,1980,29.8029.8,27.0027.0,37.0037.0,51.5051.5,63.0063.0,67.6067.6,76.1076.1,76.2076.2,67.9067.9,51.8051.8,40.1040.1,28.0028.0
86,1981,21.3021.3,35.4035.4,38.2038.2,52.6052.6,61.1061.1,70.2070.2,75.8075.8,72.0072.0,63.8063.8,50.0050.0,43.3043.3,31.8031.8
87,1982,20.5020.5,31.4031.4,37.6037.6,47.6047.6,61.8061.8,65.9065.9,74.2074.2,69.9069.9,64.4064.4,53.8053.8,46.2046.2,38.6038.6
88,1983,30.0030.0,32.1032.1,41.2041.2,49.0049.0,57.8057.8,70.2070.2,76.2076.2,74.5074.5,67.3067.3,53.6053.6,44.3044.3,31.0031.0
89,1984,24.8024.8,36.4036.4,33.3033.3,48.7048.7,58.8058.8,71.5071.5,72.4072.4,74.0074.0,62.4062.4,57.7057.7,43.1043.1,39.2039.2
90,1985,24.5024.5,32.0032.0,41.7041.7,52.5052.5,63.0063.0,66.5066.5,73.7073.7,72.2072.2,66.6066.6,54.6054.6,46.2046.2,30.3030.3
91,1986,29.9029.9,28.3028.3,40.8040.8,51.0051.0,63.4063.4,68.9068.9,73.9073.9,70.3070.3,63.9063.9,54.2054.2,41.3041.3,35.4035.4
92,1987,28.4028.4,29.8029.8,41.8041.8,51.1051.1,60.6060.6,70.9070.9,75.7075.7,70.9070.9,64.5064.5,49.9049.9,44.3044.3,36.2036.2
93,1988,24.8024.8,30.9030.9,40.5040.5,48.6048.6,60.0060.0,69.3069.3,76.9076.9,75.8075.8,63.8063.8,49.0049.0,45.2045.2,32.3032.3
94,1989,33.5033.5,31.2031.2,39.1039.1,48.5048.5,59.9059.9,70.4070.4,73.2073.2,71.7071.7,65.6065.6,55.0055.0,42.6042.6,21.9021.9
95,1990,37.2037.2,36.4036.4,42.1042.1,50.4050.4,57.8057.8,69.7069.7,74.6074.6,72.9072.9,64.3064.3,58.4058.4,46.4046.4,39.0039.0
