,Year,Annual
0,1895,51.1551.2
1,1896,51.92551.9
2,1897,51.79166666666751.8
3,1898,52.852.8
4,1899,51.55833333333351.6
5,1900,53.23333333333353.2
6,1901,51.23333333333351.2
7,1902,52.28333333333352.3
8,1903,52.07552.1
9,1904,49.69166666666749.7
10,1905,51.42551.4
11,1906,53.26666666666753.3
12,1907,50.450.4
13,1908,52.87552.9
14,1909,52.352.3
15,1910,52.152.1
16,1911,52.90833333333352.9
17,1912,51.66666666666751.7
18,1913,54.38333333333354.4
19,1914,51.42551.4
20,1915,52.34166666666752.3
21,1916,51.38333333333351.4
22,1917,49.87549.9
23,1918,51.9552.0
24,1919,53.10833333333353.1
25,1920,51.58333333333351.6
26,1921,54.37554.4
27,1922,52.77552.8
28,1923,52.01666666666752.0
29,1924,50.8550.9
30,1925,52.70833333333352.7
31,1926,50.45833333333350.5
32,1927,52.352.3
33,1928,52.08333333333352.1
34,1929,52.72552.7
35,1930,53.0553.1
36,1931,54.77554.8
37,1932,53.75833333333353.8
38,1933,53.55833333333353.6
39,1934,51.93333333333351.9
40,1935,51.951.9
41,1936,52.552.5
42,1937,53.04166666666753.0
43,1938,53.65833333333353.7
44,1939,53.26666666666753.3
45,1940,50.40833333333350.4
46,1941,53.28333333333353.3
47,1942,52.952.9
48,1943,52.47552.5
49,1944,52.952.9
50,1945,53.16666666666753.2
51,1946,54.03333333333354.0
52,1947,52.59166666666752.6
53,1948,52.71666666666752.7
54,1949,55.32555.3
55,1950,52.64166666666752.6
56,1951,53.67553.7
57,1952,53.90833333333353.9
58,1953,54.92554.9
59,1954,53.73333333333353.7
60,1955,53.48333333333353.5
61,1956,52.80833333333352.8
62,1957,53.86666666666753.9
63,1958,51.38333333333351.4
64,1959,54.29166666666754.3
65,1960,52.46666666666752.5
66,1961,52.82552.8
67,1962,51.5551.6
68,1963,51.89166666666751.9
69,1964,53.04166666666753.0
70,1965,52.48333333333352.5
71,1966,52.41666666666752.4
72,1967,51.68333333333351.7
73,1968,52.73333333333352.7
74,1969,52.61666666666752.6
75,1970,52.94166666666752.9
76,1971,53.51666666666753.5
77,1972,52.44166666666752.4
78,1973,54.72554.7
79,1974,53.75833333333353.8
80,1975,54.33333333333354.3
81,1976,52.70833333333352.7
82,1977,53.48333333333353.5
83,1978,51.67551.7
84,1979,52.95833333333353.0
85,1980,5353.0
86,1981,52.82552.8
87,1982,52.88333333333352.9
88,1983,53.85833333333353.9
89,1984,53.57553.6
90,1985,53.95833333333354.0
91,1986,53.69166666666753.7
92,1987,53.64166666666753.6
93,1988,52.75833333333352.8
94,1989,52.79166666666752.8
95,1990,55.79166666666755.8
96,1991,55.66666666666755.7
97,1992,52.54166666666752.5
98,1993,53.55833333333353.6
99,1994,53.57553.6
100,1995,53.72553.7
101,1996,52.86666666666752.9
102,1997,53.38333333333353.4
103,1998,56.356.3
104,1999,55.27555.3
105,2000,53.57553.6
106,2001,54.87554.9
107,2002,55.60833333333355.6
108,2003,53.02553.0
109,2004,54.454.4
110,2005,54.6554.7
111,2006,56.26666666666756.3
112,2007,55.02555.0
113,2008,55.06666666666755.1
114,2009,54.03333333333354.0
115,2010,55.81666666666755.8
116,2011,56.33333333333356.3
117,2012,57.14166666666757.1
118,2013,54.34166666666754.3
119,2014,53.18333333333353.2
120,2015,55.25833333333355.3
121,2016,56.04166666666756.0
122,2017,55.93333333333355.9
123,2018,55.755.7
124,2019,55.84166666666755.8
125,2020,M
126,,Annual
