,Year,Annual
0,1895,51.81666666666751.8
1,1896,52.70833333333352.7
2,1897,52.452.4
3,1898,53.60833333333353.6
4,1899,52.21666666666752.2
5,1900,54.00833333333354.0
6,1901,52.02552.0
7,1902,52.86666666666752.9
8,1903,52.81666666666752.8
9,1904,50.20833333333350.2
10,1905,52.152.1
11,1906,53.85833333333353.9
12,1907,51.00833333333351.0
13,1908,53.55833333333353.6
14,1909,52.93333333333352.9
15,1910,52.70833333333352.7
16,1911,53.60833333333353.6
17,1912,52.33333333333352.3
18,1913,55.11666666666755.1
19,1914,52.24166666666752.2
20,1915,52.99166666666753.0
21,1916,52.04166666666752.0
22,1917,50.47550.5
23,1918,52.66666666666752.7
24,1919,53.72553.7
25,1920,52.25833333333352.3
26,1921,54.94166666666754.9
27,1922,53.40833333333353.4
28,1923,52.76666666666752.8
29,1924,51.42551.4
30,1925,53.26666666666753.3
31,1926,50.89166666666750.9
32,1927,52.84166666666752.8
33,1928,52.67552.7
34,1929,53.21666666666753.2
35,1930,53.59166666666753.6
36,1931,55.18333333333355.2
37,1932,54.20833333333354.2
38,1933,53.97554.0
39,1934,52.352.3
40,1935,52.30833333333352.3
41,1936,52.86666666666752.9
42,1937,53.4553.5
43,1938,54.03333333333354.0
44,1939,53.63333333333353.6
45,1940,50.77550.8
46,1941,53.75833333333353.8
47,1942,53.353.3
48,1943,52.86666666666752.9
49,1944,53.32553.3
50,1945,53.36666666666753.4
51,1946,54.354.3
52,1947,5353.0
53,1948,53.00833333333353.0
54,1949,55.52555.5
55,1950,52.82552.8
56,1951,53.79166666666753.8
57,1952,54.16666666666754.2
58,1953,55.17555.2
59,1954,53.92553.9
60,1955,53.7553.8
61,1956,52.91666666666752.9
62,1957,54.13333333333354.1
63,1958,51.67551.7
64,1959,54.5554.6
65,1960,52.67552.7
66,1961,53.02553.0
67,1962,51.72551.7
68,1963,52.03333333333352.0
69,1964,53.453.4
70,1965,52.6552.7
71,1966,52.62552.6
72,1967,51.87551.9
73,1968,52.952.9
74,1969,52.94166666666752.9
75,1970,53.29166666666753.3
76,1971,53.853.8
77,1972,52.60833333333352.6
78,1973,54.98333333333355.0
79,1974,53.8553.9
80,1975,54.55833333333354.6
81,1976,52.96666666666753.0
82,1977,53.60833333333353.6
83,1978,51.8551.9
84,1979,53.1553.2
85,1980,53.3553.4
86,1981,52.89166666666752.9
87,1982,52.9553.0
88,1983,54.17554.2
89,1984,53.67553.7
90,1985,54.10833333333354.1
91,1986,53.96666666666754.0
92,1987,54.08333333333354.1
93,1988,53.27553.3
94,1989,53.08333333333353.1
95,1990,56.06666666666756.1
96,1991,55.90833333333355.9
97,1992,52.94166666666752.9
98,1993,54.00833333333354.0
99,1994,53.97554.0
100,1995,54.18333333333354.2
101,1996,53.08333333333353.1
102,1997,53.69166666666753.7
103,1998,56.68333333333356.7
104,1999,55.64166666666755.6
105,2000,53.84166666666753.8
106,2001,55.24166666666755.2
107,2002,55.97556.0
108,2003,53.45833333333353.5
109,2004,54.72554.7
110,2005,55.01666666666755.0
111,2006,56.60833333333356.6
112,2007,55.33333333333355.3
113,2008,55.44166666666755.4
114,2009,54.35833333333354.4
115,2010,56.19166666666756.2
116,2011,56.59166666666756.6
117,2012,57.47557.5
118,2013,54.82554.8
119,2014,53.65833333333353.7
120,2015,55.71666666666755.7
121,2016,56.59166666666756.6
122,2017,56.36666666666756.4
123,2018,56.11666666666756.1
124,2019,56.24166666666756.2
125,2020,M
126,,Annual
