,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Camden,24.6024.6,33.2033.2,37.8037.8,50.2050.2,63.4063.4,70.1070.1,75.2075.2,75.1075.1,69.9069.9,58.0058.0,46.8046.8,35.2035.2
76,1971,Camden,27.3027.3,34.5034.5,39.9039.9,49.5049.5,59.0059.0,72.0072.0,74.8074.8,72.9072.9,69.2069.2,61.3061.3,44.5044.5,40.7040.7
77,1972,Camden,34.1034.1,31.1031.1,39.8039.8,48.3048.3,61.2061.2,67.5067.5,75.7075.7,73.4073.4,67.1067.1,51.1051.1,42.5042.5,39.5039.5
78,1973,Camden,33.8033.8,32.3032.3,46.2046.2,52.4052.4,59.0059.0,73.2073.2,76.2076.2,76.0076.0,68.4068.4,57.5057.5,46.9046.9,37.9037.9
79,1974,Camden,35.6035.6,31.5031.5,43.2043.2,54.5054.5,61.2061.2,68.2068.2,75.3075.3,74.3074.3,66.2066.2,52.1052.1,45.8045.8,38.3038.3
80,1975,Camden,36.5036.5,35.0035.0,40.4040.4,47.2047.2,64.9064.9,70.7070.7,75.0075.0,75.0075.0,64.2064.2,59.2059.2,50.3050.3,36.3036.3
81,1976,Camden,28.3028.3,40.2040.2,45.4045.4,54.7054.7,60.8060.8,73.2073.2,73.6073.6,73.1073.1,65.6065.6,51.3051.3,39.5039.5,29.9029.9
82,1977,Camden,20.9020.9,33.5033.5,47.4047.4,54.6054.6,64.2064.2,68.7068.7,76.4076.4,74.7074.7,68.5068.5,53.6053.6,47.0047.0,33.8033.8
83,1978,Camden,27.7027.7,24.0024.0,38.3038.3,50.4050.4,59.4059.4,70.3070.3,72.8072.8,75.9075.9,65.5065.5,54.1054.1,46.4046.4,37.4037.4
84,1979,Camden,31.8031.8,22.4022.4,45.9045.9,50.6050.6,63.3063.3,67.6067.6,74.4074.4,73.7073.7,66.8066.8,54.2054.2,49.3049.3,37.8037.8
85,1980,Camden,31.6031.6,29.5029.5,39.7039.7,53.4053.4,63.9063.9,69.0069.0,77.2077.2,77.2077.2,70.2070.2,53.8053.8,42.3042.3,32.4032.4
86,1981,Camden,25.1025.1,37.6037.6,39.5039.5,54.7054.7,62.0062.0,71.7071.7,76.2076.2,72.3072.3,65.5065.5,52.0052.0,44.4044.4,33.7033.7
