,Year,Annual
0,1895,51.23333333333351.2
1,1896,52.02552.0
2,1897,51.92551.9
3,1898,52.84166666666752.8
4,1899,51.35833333333351.4
5,1900,53.22553.2
6,1901,51.12551.1
7,1902,51.9552.0
8,1903,51.75833333333351.8
9,1904,49.59166666666749.6
10,1905,51.1551.2
11,1906,52.96666666666753.0
12,1907,50.45833333333350.5
13,1908,52.67552.7
14,1909,52.31666666666752.3
15,1910,51.90833333333351.9
16,1911,52.93333333333352.9
17,1912,51.56666666666751.6
18,1913,54.06666666666754.1
19,1914,51.62551.6
20,1915,52.452.4
21,1916,51.49166666666751.5
22,1917,49.85833333333349.9
23,1918,51.91666666666751.9
24,1919,53.10833333333353.1
25,1920,51.51666666666751.5
26,1921,54.54166666666754.5
27,1922,53.14166666666753.1
28,1923,52.28333333333352.3
29,1924,51.26666666666751.3
30,1925,53.26666666666753.3
31,1926,51.13333333333351.1
32,1927,52.62552.6
33,1928,52.50833333333352.5
34,1929,53.453.4
35,1930,53.53333333333353.5
36,1931,54.69166666666754.7
37,1932,53.953.9
38,1933,53.70833333333353.7
39,1934,52.2552.3
40,1935,52.13333333333352.1
41,1936,52.53333333333352.5
42,1937,53.3553.4
43,1938,53.82553.8
44,1939,53.68333333333353.7
45,1940,50.54166666666750.5
46,1941,53.753.7
47,1942,53.82553.8
48,1943,52.65833333333352.7
49,1944,53.21666666666753.2
50,1945,53.54166666666753.5
51,1946,54.50833333333354.5
52,1947,52.75833333333352.8
53,1948,53.00833333333353.0
54,1949,55.355.3
55,1950,52.85833333333352.9
56,1951,53.95833333333354.0
57,1952,53.953.9
58,1953,54.98333333333355.0
59,1954,54.08333333333354.1
60,1955,53.40833333333353.4
61,1956,53.21666666666753.2
62,1957,54.17554.2
63,1958,51.50833333333351.5
64,1959,54.27554.3
65,1960,52.60833333333352.6
66,1961,53.04166666666753.0
67,1962,52.04166666666752.0
68,1963,52.14166666666752.1
69,1964,53.153.1
70,1965,52.51666666666752.5
71,1966,52.44166666666752.4
72,1967,51.72551.7
73,1968,53.08333333333353.1
74,1969,52.72552.7
75,1970,53.13333333333353.1
76,1971,53.76666666666753.8
77,1972,52.83333333333352.8
78,1973,55.01666666666755.0
79,1974,54.02554.0
80,1975,54.48333333333354.5
81,1976,53.0553.1
82,1977,53.79166666666753.8
83,1978,52.19166666666752.2
84,1979,53.14166666666753.1
85,1980,53.48333333333353.5
86,1981,53.12553.1
87,1982,52.97553.0
88,1983,54.26666666666754.3
89,1984,54.03333333333354.0
90,1985,54.68333333333354.7
91,1986,54.17554.2
92,1987,54.154.1
93,1988,52.80833333333352.8
94,1989,53.38333333333353.4
95,1990,56.07556.1
96,1991,56.156.1
97,1992,5353.0
98,1993,53.97554.0
99,1994,54.08333333333354.1
100,1995,54.3554.4
101,1996,53.23333333333353.2
102,1997,54.06666666666754.1
103,1998,56.6556.7
104,1999,55.755.7
105,2000,54.12554.1
106,2001,55.24166666666755.2
107,2002,56.22556.2
108,2003,53.74166666666753.7
109,2004,54.77554.8
110,2005,54.81666666666754.8
111,2006,56.53333333333356.5
112,2007,55.455.4
113,2008,55.4555.5
114,2009,54.58333333333354.6
115,2010,5656.0
116,2011,56.80833333333356.8
117,2012,57.52557.5
118,2013,54.70833333333354.7
119,2014,53.60833333333353.6
120,2015,55.65833333333355.7
121,2016,56.57556.6
122,2017,56.71666666666756.7
123,2018,56.23333333333356.2
124,2019,56.32556.3
125,2020,M
126,,Annual
