,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Cape May,25.7025.7,33.8033.8,37.9037.9,49.4049.4,61.1061.1,68.5068.5,73.2073.2,74.5074.5,70.3070.3,58.6058.6,47.7047.7,36.9036.9
76,1971,Cape May,29.0029.0,35.0035.0,39.4039.4,48.6048.6,57.8057.8,69.8069.8,73.5073.5,72.3072.3,69.1069.1,62.3062.3,45.6045.6,42.8042.8
77,1972,Cape May,35.9035.9,33.1033.1,39.9039.9,47.6047.6,59.0059.0,66.2066.2,74.5074.5,72.3072.3,67.2067.2,52.4052.4,44.3044.3,41.6041.6
78,1973,Cape May,35.0035.0,33.2033.2,46.3046.3,51.6051.6,58.5058.5,71.5071.5,74.9074.9,75.2075.2,69.0069.0,58.2058.2,47.4047.4,39.4039.4
79,1974,Cape May,38.3038.3,32.7032.7,43.6043.6,53.0053.0,59.8059.8,67.1067.1,74.3074.3,73.9073.9,66.8066.8,52.7052.7,46.6046.6,39.5039.5
80,1975,Cape May,37.5037.5,36.4036.4,40.2040.2,46.0046.0,62.4062.4,69.4069.4,73.6073.6,74.9074.9,64.6064.6,60.3060.3,50.8050.8,37.7037.7
81,1976,Cape May,30.6030.6,41.1041.1,45.1045.1,53.2053.2,59.5059.5,70.7070.7,72.8072.8,72.0072.0,66.0066.0,52.7052.7,40.5040.5,32.4032.4
82,1977,Cape May,22.4022.4,34.3034.3,46.7046.7,53.2053.2,62.0062.0,67.1067.1,75.2075.2,74.9074.9,69.5069.5,55.0055.0,49.3049.3,35.9035.9
83,1978,Cape May,30.6030.6,25.0025.0,39.0039.0,50.0050.0,57.8057.8,68.3068.3,71.8071.8,76.1076.1,65.6065.6,54.8054.8,48.5048.5,38.8038.8
84,1979,Cape May,33.3033.3,24.2024.2,44.4044.4,49.9049.9,61.7061.7,65.2065.2,73.2073.2,73.2073.2,67.3067.3,55.2055.2,50.4050.4,39.7039.7
85,1980,Cape May,33.5033.5,30.3030.3,39.8039.8,52.3052.3,62.9062.9,67.7067.7,75.3075.3,76.2076.2,70.1070.1,54.9054.9,44.0044.0,34.8034.8
