,Year,Annual
0,1895,51.451.4
1,1896,52.35833333333352.4
2,1897,52.12552.1
3,1898,53.25833333333353.3
4,1899,51.81666666666751.8
5,1900,53.61666666666753.6
6,1901,51.48333333333351.5
7,1902,52.27552.3
8,1903,52.0552.1
9,1904,49.7549.8
10,1905,51.55833333333351.6
11,1906,53.33333333333353.3
12,1907,50.77550.8
13,1908,53.06666666666753.1
14,1909,52.452.4
15,1910,52.20833333333352.2
16,1911,53.24166666666753.2
17,1912,51.86666666666751.9
18,1913,54.554.5
19,1914,52.11666666666752.1
20,1915,52.60833333333352.6
21,1916,51.8551.9
22,1917,50.17550.2
23,1918,52.29166666666752.3
24,1919,53.453.4
25,1920,51.71666666666751.7
26,1921,54.99166666666755.0
27,1922,53.21666666666753.2
28,1923,52.552.5
29,1924,51.20833333333351.2
30,1925,53.17553.2
31,1926,51.00833333333351.0
32,1927,52.752.7
33,1928,52.45833333333352.5
34,1929,53.34166666666753.3
35,1930,53.553.5
36,1931,54.65833333333354.7
37,1932,53.92553.9
38,1933,53.67553.7
39,1934,52.22552.2
40,1935,52.06666666666752.1
41,1936,52.552.5
42,1937,53.06666666666753.1
43,1938,53.81666666666753.8
44,1939,53.56666666666753.6
45,1940,50.52550.5
46,1941,53.7553.8
47,1942,53.57553.6
48,1943,52.72552.7
49,1944,53.11666666666753.1
50,1945,53.35833333333353.4
51,1946,54.28333333333354.3
52,1947,52.69166666666752.7
53,1948,53.12553.1
54,1949,55.1555.2
55,1950,52.63333333333352.6
56,1951,53.59166666666753.6
57,1952,53.81666666666753.8
58,1953,54.80833333333354.8
59,1954,53.77553.8
60,1955,53.20833333333353.2
61,1956,52.95833333333353.0
62,1957,54.11666666666754.1
63,1958,51.63333333333351.6
64,1959,54.73333333333354.7
65,1960,52.51666666666752.5
66,1961,52.71666666666752.7
67,1962,51.67551.7
68,1963,51.74166666666751.7
69,1964,52.952.9
70,1965,52.46666666666752.5
71,1966,52.29166666666752.3
72,1967,51.44166666666751.4
73,1968,52.77552.8
74,1969,52.42552.4
75,1970,52.83333333333352.8
76,1971,53.44166666666753.4
77,1972,52.44166666666752.4
78,1973,54.6554.7
79,1974,53.49166666666753.5
80,1975,54.03333333333354.0
81,1976,52.53333333333352.5
82,1977,53.44166666666753.4
83,1978,51.751.7
84,1979,52.8552.9
85,1980,53.14166666666753.1
86,1981,52.7552.8
87,1982,52.80833333333352.8
88,1983,54.05833333333354.1
89,1984,53.67553.7
90,1985,54.25833333333354.3
91,1986,53.94166666666753.9
92,1987,53.93333333333353.9
93,1988,52.9553.0
94,1989,53.00833333333353.0
95,1990,56.05833333333356.1
96,1991,55.93333333333355.9
97,1992,52.85833333333352.9
98,1993,53.9554.0
99,1994,54.00833333333354.0
100,1995,54.17554.2
101,1996,52.95833333333353.0
102,1997,53.9554.0
103,1998,56.53333333333356.5
104,1999,55.51666666666755.5
105,2000,53.77553.8
106,2001,54.954.9
107,2002,56.09166666666756.1
108,2003,53.61666666666753.6
109,2004,54.80833333333354.8
110,2005,54.90833333333354.9
111,2006,56.54166666666756.5
112,2007,55.54166666666755.5
113,2008,55.51666666666755.5
114,2009,54.42554.4
115,2010,56.06666666666756.1
116,2011,56.77556.8
117,2012,57.35833333333357.4
118,2013,54.78333333333354.8
119,2014,53.50833333333353.5
120,2015,55.59166666666755.6
121,2016,56.56666666666756.6
122,2017,56.43333333333356.4
123,2018,55.99166666666756.0
124,2019,56.22556.2
125,2020,M
126,,Annual
