,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,24.5024.5,32.8032.8,37.4037.4,49.8049.8,62.0062.0,69.2069.2,73.9073.9,74.4074.4,70.0070.0,58.0058.0,46.6046.6,35.4035.4
76,1971,27.5027.5,34.0034.0,39.2039.2,48.9048.9,58.3058.3,70.9070.9,73.8073.8,72.2072.2,68.9068.9,61.8061.8,44.6044.6,41.2041.2
77,1972,34.4034.4,31.9031.9,39.9039.9,47.7047.7,60.2060.2,66.5066.5,74.7074.7,72.4072.4,66.6066.6,51.4051.4,43.2043.2,40.4040.4
78,1973,33.8033.8,32.5032.5,46.4046.4,51.6051.6,58.7058.7,72.4072.4,75.0075.0,75.4075.4,68.2068.2,57.4057.4,46.5046.5,37.9037.9
79,1974,36.5036.5,31.1031.1,43.0043.0,53.3053.3,60.3060.3,67.2067.2,74.5074.5,74.0074.0,66.1066.1,52.1052.1,45.5045.5,38.3038.3
80,1975,36.4036.4,35.2035.2,39.8039.8,46.4046.4,63.2063.2,69.9069.9,73.8073.8,74.7074.7,64.1064.1,59.3059.3,49.6049.6,36.0036.0
81,1976,28.6028.6,40.2040.2,45.2045.2,53.6053.6,60.1060.1,72.1072.1,72.7072.7,72.1072.1,65.3065.3,51.1051.1,39.2039.2,30.2030.2
82,1977,21.0021.0,33.4033.4,47.2047.2,54.0054.0,63.2063.2,67.8067.8,75.6075.6,74.8074.8,68.6068.6,53.9053.9,47.5047.5,34.3034.3
83,1978,28.9028.9,23.0023.0,38.1038.1,50.5050.5,58.7058.7,69.5069.5,72.1072.1,75.6075.6,65.2065.2,54.0054.0,47.1047.1,37.7037.7
84,1979,32.3032.3,22.6022.6,45.0045.0,49.9049.9,62.5062.5,66.0066.0,73.4073.4,73.3073.3,67.0067.0,54.3054.3,49.6049.6,38.3038.3
85,1980,32.1032.1,29.6029.6,39.4039.4,52.8052.8,63.5063.5,67.8067.8,76.2076.2,76.5076.5,69.8069.8,54.1054.1,42.7042.7,33.2033.2
86,1981,25.6025.6,37.5037.5,39.8039.8,54.2054.2,60.8060.8,71.2071.2,75.4075.4,71.6071.6,65.6065.6,52.6052.6,44.7044.7,34.0034.0
87,1982,24.2024.2,34.2034.2,40.9040.9,48.7048.7,62.1062.1,67.2067.2,74.8074.8,70.7070.7,65.3065.3,55.3055.3,48.4048.4,41.9041.9
88,1983,33.7033.7,33.8033.8,43.5043.5,50.5050.5,59.7059.7,70.1070.1,76.7076.7,75.3075.3,68.0068.0,56.4056.4,47.0047.0,34.0034.0
89,1984,27.0027.0,39.2039.2,36.6036.6,49.8049.8,60.6060.6,71.9071.9,73.2073.2,74.2074.2,63.9063.9,60.9060.9,44.2044.2,42.6042.6
90,1985,26.9026.9,35.3035.3,44.4044.4,55.0055.0,63.6063.6,68.2068.2,74.6074.6,72.4072.4,67.9067.9,58.4058.4,51.6051.6,32.8032.8
