,Year,Annual
0,1895,49.69166666666749.7
1,1896,50.34166666666750.3
2,1897,50.55833333333350.6
3,1898,51.75833333333351.8
4,1899,50.45833333333350.5
5,1900,51.71666666666751.7
6,1901,49.61666666666749.6
7,1902,50.18333333333350.2
8,1903,50.01666666666750.0
9,1904,47.20833333333347.2
10,1905,49.60833333333349.6
11,1906,51.14166666666751.1
12,1907,48.60833333333348.6
13,1908,51.06666666666751.1
14,1909,50.32550.3
15,1910,50.37550.4
16,1911,50.89166666666750.9
17,1912,49.85833333333349.9
18,1913,52.652.6
19,1914,49.61666666666749.6
20,1915,5151.0
21,1916,49.62549.6
22,1917,48.13333333333348.1
23,1918,50.350.3
24,1919,51.37551.4
25,1920,50.06666666666750.1
26,1921,52.89166666666752.9
27,1922,51.23333333333351.2
28,1923,50.48333333333350.5
29,1924,49.44166666666749.4
30,1925,50.66666666666750.7
31,1926,48.55833333333348.6
32,1927,50.75833333333350.8
33,1928,51.01666666666751.0
34,1929,51.25833333333351.3
35,1930,51.72551.7
36,1931,53.3553.4
37,1932,52.31666666666752.3
38,1933,51.70833333333351.7
39,1934,50.3550.4
40,1935,50.49166666666750.5
41,1936,50.74166666666750.7
42,1937,51.63333333333351.6
43,1938,52.06666666666752.1
44,1939,51.60833333333351.6
45,1940,48.69166666666748.7
46,1941,51.79166666666751.8
47,1942,51.10833333333351.1
48,1943,50.550.5
49,1944,51.3551.4
50,1945,51.23333333333351.2
51,1946,52.5552.6
52,1947,51.13333333333351.1
53,1948,51.03333333333351.0
54,1949,53.78333333333353.8
55,1950,50.69166666666750.7
56,1951,51.99166666666752.0
57,1952,52.50833333333352.5
58,1953,53.56666666666753.6
59,1954,51.83333333333351.8
60,1955,51.99166666666752.0
61,1956,51.0551.1
62,1957,52.38333333333352.4
63,1958,49.85833333333349.9
64,1959,52.6552.7
65,1960,50.96666666666751.0
66,1961,51.45833333333351.5
67,1962,50.12550.1
68,1963,50.31666666666750.3
69,1964,51.44166666666751.4
70,1965,50.9551.0
71,1966,51.35833333333351.4
72,1967,50.25833333333350.3
73,1968,51.13333333333351.1
74,1969,51.2551.3
75,1970,51.2551.3
76,1971,51.62551.6
77,1972,50.63333333333350.6
78,1973,53.33333333333353.3
79,1974,51.88333333333351.9
80,1975,52.58333333333352.6
81,1976,50.86666666666750.9
82,1977,51.53333333333351.5
83,1978,50.16666666666750.2
84,1979,51.60833333333351.6
85,1980,51.53333333333351.5
86,1981,51.36666666666751.4
87,1982,51.27551.3
88,1983,52.61666666666752.6
89,1984,52.17552.2
90,1985,52.15833333333352.2
91,1986,51.9552.0
92,1987,52.22552.2
93,1988,51.64166666666751.6
94,1989,51.37551.4
95,1990,54.25833333333354.3
96,1991,54.29166666666754.3
97,1992,51.04166666666751.0
98,1993,52.01666666666752.0
99,1994,51.97552.0
100,1995,52.2552.3
101,1996,51.451.4
102,1997,51.91666666666751.9
103,1998,55.21666666666755.2
104,1999,54.06666666666754.1
105,2000,51.91666666666751.9
106,2001,53.74166666666753.7
107,2002,54.254.2
108,2003,51.58333333333351.6
109,2004,52.80833333333352.8
110,2005,53.58333333333353.6
111,2006,54.92554.9
112,2007,53.14166666666753.1
113,2008,53.26666666666753.3
114,2009,52.51666666666752.5
115,2010,54.81666666666754.8
116,2011,54.58333333333354.6
117,2012,55.98333333333356.0
118,2013,53.33333333333353.3
119,2014,52.12552.1
120,2015,53.90833333333353.9
121,2016,55.37555.4
122,2017,54.72554.7
123,2018,53.91666666666753.9
124,2019,53.68333333333353.7
125,2020,M
126,,Annual
