,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,22.0022.0,30.2030.2,35.7035.7,48.8048.8,61.1061.1,68.3068.3,74.5074.5,73.9073.9,67.4067.4,55.6055.6,45.3045.3,32.2032.2
76,1971,24.6024.6,31.1031.1,37.5037.5,47.7047.7,57.1057.1,70.1070.1,73.3073.3,71.6071.6,67.8067.8,59.1059.1,41.9041.9,37.7037.7
77,1972,31.7031.7,27.8027.8,37.0037.0,46.4046.4,60.3060.3,65.8065.8,74.7074.7,71.7071.7,66.0066.0,49.6049.6,40.8040.8,35.8035.8
78,1973,32.3032.3,29.6029.6,44.2044.2,51.1051.1,57.0057.0,71.8071.8,74.9074.9,74.7074.7,66.4066.4,56.4056.4,45.2045.2,36.4036.4
79,1974,31.9031.9,29.4029.4,40.0040.0,52.4052.4,59.3059.3,66.7066.7,74.2074.2,72.9072.9,64.1064.1,50.5050.5,44.9044.9,36.3036.3
80,1975,34.0034.0,33.1033.1,37.7037.7,45.4045.4,63.6063.6,69.2069.2,74.0074.0,72.5072.5,61.6061.6,57.2057.2,48.9048.9,33.8033.8
81,1976,24.9024.9,36.5036.5,42.2042.2,52.9052.9,59.5059.5,71.6071.6,72.2072.2,71.8071.8,63.3063.3,50.2050.2,38.3038.3,27.0027.0
82,1977,19.4019.4,30.8030.8,44.7044.7,51.7051.7,62.8062.8,67.7067.7,75.0075.0,72.2072.2,65.7065.7,52.0052.0,45.2045.2,31.2031.2
83,1978,25.6025.6,23.0023.0,36.1036.1,48.9048.9,58.3058.3,68.8068.8,72.3072.3,73.6073.6,62.8062.8,52.9052.9,44.9044.9,34.8034.8
84,1979,29.7029.7,20.9020.9,42.8042.8,49.3049.3,61.7061.7,66.8066.8,73.7073.7,72.7072.7,65.0065.0,52.9052.9,47.7047.7,36.1036.1
85,1980,30.4030.4,27.4027.4,37.1037.1,51.3051.3,62.8062.8,67.5067.5,76.1076.1,76.0076.0,68.4068.4,52.1052.1,40.6040.6,28.7028.7
86,1981,21.9021.9,35.7035.7,38.1038.1,52.9052.9,60.9060.9,70.1070.1,75.3075.3,71.7071.7,63.9063.9,50.3050.3,43.7043.7,31.9031.9
87,1982,21.2021.2,32.3032.3,38.0038.0,48.0048.0,62.0062.0,65.7065.7,74.2074.2,69.6069.6,64.6064.6,54.1054.1,46.4046.4,39.2039.2
88,1983,30.7030.7,32.8032.8,42.0042.0,49.2049.2,58.2058.2,70.2070.2,76.5076.5,74.6074.6,67.3067.3,53.9053.9,44.6044.6,31.4031.4
89,1984,25.0025.0,36.8036.8,34.0034.0,49.2049.2,59.2059.2,71.8071.8,72.9072.9,74.0074.0,62.6062.6,58.0058.0,43.4043.4,39.2039.2
90,1985,24.6024.6,32.0032.0,41.6041.6,52.7052.7,63.3063.3,66.5066.5,73.6073.6,72.4072.4,67.0067.0,54.9054.9,46.8046.8,30.5030.5
91,1986,30.1030.1,29.0029.0,41.1041.1,50.9050.9,63.5063.5,69.0069.0,73.9073.9,70.2070.2,64.0064.0,54.6054.6,41.5041.5,35.6035.6
92,1987,28.8028.8,30.2030.2,42.2042.2,51.1051.1,60.7060.7,71.3071.3,75.9075.9,71.0071.0,64.6064.6,49.9049.9,44.5044.5,36.5036.5
93,1988,24.8024.8,31.4031.4,41.0041.0,48.5048.5,60.2060.2,69.5069.5,77.2077.2,76.1076.1,63.9063.9,49.1049.1,45.4045.4,32.6032.6
94,1989,33.8033.8,31.6031.6,39.4039.4,48.8048.8,60.2060.2,71.0071.0,73.5073.5,71.9071.9,66.2066.2,55.2055.2,42.7042.7,22.2022.2
