,Year,Annual
0,1895,5252.0
1,1896,52.95833333333353.0
2,1897,52.63333333333352.6
3,1898,53.8553.9
4,1899,52.552.5
5,1900,54.25833333333354.3
6,1901,52.252.2
7,1902,52.93333333333352.9
8,1903,52.8552.9
9,1904,50.25833333333350.3
10,1905,52.20833333333352.2
11,1906,53.94166666666753.9
12,1907,51.11666666666751.1
13,1908,53.68333333333353.7
14,1909,53.03333333333353.0
15,1910,52.80833333333352.8
16,1911,53.75833333333353.8
17,1912,52.44166666666752.4
18,1913,55.355.3
19,1914,52.47552.5
20,1915,53.2553.3
21,1916,52.28333333333352.3
22,1917,50.69166666666750.7
23,1918,52.95833333333353.0
24,1919,53.95833333333354.0
25,1920,52.45833333333352.5
26,1921,55.2555.3
27,1922,53.64166666666753.6
28,1923,53.22553.2
29,1924,51.61666666666751.6
30,1925,53.37553.4
31,1926,51.02551.0
32,1927,53.04166666666753.0
33,1928,52.89166666666752.9
34,1929,53.42553.4
35,1930,53.94166666666753.9
36,1931,55.47555.5
37,1932,54.36666666666754.4
38,1933,54.07554.1
39,1934,52.59166666666752.6
40,1935,52.57552.6
41,1936,53.153.1
42,1937,53.753.7
43,1938,54.31666666666754.3
44,1939,53.99166666666754.0
45,1940,5151.0
46,1941,54.1554.2
47,1942,53.68333333333353.7
48,1943,53.06666666666753.1
49,1944,53.6553.7
50,1945,53.57553.6
51,1946,54.59166666666754.6
52,1947,53.24166666666753.2
53,1948,53.28333333333353.3
54,1949,55.53333333333355.5
55,1950,52.94166666666752.9
56,1951,53.92553.9
57,1952,54.4554.5
58,1953,55.40833333333355.4
59,1954,54.18333333333354.2
60,1955,53.93333333333353.9
61,1956,53.10833333333353.1
62,1957,54.3554.4
63,1958,51.97552.0
64,1959,54.85833333333354.9
65,1960,52.91666666666752.9
66,1961,53.19166666666753.2
67,1962,52.09166666666752.1
68,1963,52.23333333333352.2
69,1964,53.64166666666753.6
70,1965,52.88333333333352.9
71,1966,52.86666666666752.9
72,1967,52.18333333333352.2
73,1968,53.18333333333353.2
74,1969,53.09166666666753.1
75,1970,53.33333333333353.3
76,1971,54.02554.0
77,1972,52.8552.9
78,1973,55.16666666666755.2
79,1974,54.04166666666754.0
80,1975,54.6554.7
81,1976,53.09166666666753.1
82,1977,53.74166666666753.7
83,1978,52.152.1
84,1979,53.29166666666753.3
85,1980,53.53333333333353.5
86,1981,53.153.1
87,1982,53.13333333333353.1
88,1983,54.34166666666754.3
89,1984,53.73333333333353.7
90,1985,54.29166666666754.3
91,1986,54.12554.1
92,1987,54.33333333333354.3
93,1988,53.45833333333353.5
94,1989,53.24166666666753.2
95,1990,56.21666666666756.2
96,1991,56.08333333333356.1
97,1992,53.13333333333353.1
98,1993,54.22554.2
99,1994,54.13333333333354.1
100,1995,54.37554.4
101,1996,53.14166666666753.1
102,1997,53.9554.0
103,1998,56.99166666666757.0
104,1999,55.82555.8
105,2000,53.98333333333354.0
106,2001,55.41666666666755.4
107,2002,56.21666666666756.2
108,2003,53.83333333333353.8
109,2004,54.92554.9
110,2005,55.36666666666755.4
111,2006,56.8556.9
112,2007,55.58333333333355.6
113,2008,55.755.7
114,2009,54.63333333333354.6
115,2010,56.42556.4
116,2011,56.75833333333356.8
117,2012,57.67557.7
118,2013,55.11666666666755.1
119,2014,53.85833333333353.9
120,2015,55.99166666666756.0
121,2016,56.89166666666756.9
122,2017,56.556.5
123,2018,56.12556.1
124,2019,56.35833333333356.4
125,2020,M
126,,Annual
