,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Gloucester,24.6024.6,33.0033.0,37.8037.8,50.2050.2,63.4063.4,70.1070.1,75.2075.2,75.1075.1,70.2070.2,58.2058.2,46.8046.8,35.4035.4
76,1971,Gloucester,27.5027.5,34.6034.6,39.9039.9,50.0050.0,59.3059.3,72.2072.2,75.1075.1,73.0073.0,69.5069.5,61.7061.7,44.7044.7,40.8040.8
77,1972,Gloucester,34.3034.3,31.2031.2,40.0040.0,48.6048.6,61.5061.5,67.7067.7,75.9075.9,73.7073.7,67.3067.3,51.6051.6,42.8042.8,39.6039.6
78,1973,Gloucester,34.1034.1,32.6032.6,46.5046.5,52.5052.5,59.3059.3,73.3073.3,76.4076.4,76.3076.3,68.5068.5,57.8057.8,46.7046.7,38.0038.0
79,1974,Gloucester,36.0036.0,31.4031.4,43.4043.4,54.6054.6,61.4061.4,68.2068.2,75.5075.5,74.8074.8,66.2066.2,52.6052.6,46.1046.1,38.3038.3
80,1975,Gloucester,36.5036.5,35.1035.1,40.2040.2,47.2047.2,64.8064.8,70.9070.9,75.1075.1,75.4075.4,64.4064.4,59.4059.4,50.5050.5,36.3036.3
81,1976,Gloucester,28.4028.4,40.2040.2,45.6045.6,54.9054.9,61.2061.2,73.5073.5,73.7073.7,73.1073.1,65.8065.8,51.3051.3,39.5039.5,29.9029.9
82,1977,Gloucester,20.8020.8,33.1033.1,47.6047.6,55.2055.2,64.5064.5,68.9068.9,76.6076.6,74.9074.9,68.8068.8,53.8053.8,46.9046.9,33.8033.8
83,1978,Gloucester,27.7027.7,24.0024.0,38.3038.3,50.7050.7,59.8059.8,70.9070.9,73.3073.3,76.3076.3,65.8065.8,54.2054.2,46.6046.6,37.6037.6
84,1979,Gloucester,31.7031.7,22.4022.4,45.6045.6,50.8050.8,63.6063.6,67.8067.8,74.7074.7,74.0074.0,67.2067.2,54.4054.4,49.4049.4,37.9037.9
85,1980,Gloucester,31.7031.7,29.6029.6,39.5039.5,53.7053.7,64.3064.3,69.2069.2,77.6077.6,77.4077.4,70.4070.4,54.1054.1,42.4042.4,32.5032.5
86,1981,Gloucester,25.2025.2,37.4037.4,39.8039.8,54.8054.8,62.2062.2,71.9071.9,76.5076.5,72.7072.7,65.8065.8,52.3052.3,44.7044.7,33.9033.9
87,1982,Gloucester,23.8023.8,33.8033.8,41.0041.0,49.8049.8,63.4063.4,67.7067.7,76.0076.0,71.3071.3,66.0066.0,55.7055.7,47.9047.9,41.2041.2
88,1983,Gloucester,33.5033.5,33.5033.5,43.5043.5,51.1051.1,60.8060.8,71.2071.2,77.5077.5,76.7076.7,68.5068.5,56.3056.3,46.3046.3,33.2033.2
89,1984,Gloucester,26.5026.5,39.1039.1,36.0036.0,50.2050.2,60.8060.8,73.0073.0,73.8073.8,74.9074.9,64.2064.2,60.6060.6,43.9043.9,41.8041.8
90,1985,Gloucester,26.9026.9,35.0035.0,44.2044.2,55.0055.0,64.3064.3,68.6068.6,75.2075.2,73.3073.3,68.4068.4,58.0058.0,50.0050.0,32.6032.6
91,1986,Gloucester,32.2032.2,31.2031.2,43.4043.4,51.9051.9,65.1065.1,72.1072.1,76.5076.5,72.4072.4,66.6066.6,56.8056.8,44.0044.0,37.3037.3
92,1987,Gloucester,31.0031.0,31.5031.5,44.0044.0,51.7051.7,63.0063.0,73.7073.7,78.5078.5,73.8073.8,67.4067.4,51.5051.5,47.3047.3,38.6038.6
93,1988,Gloucester,27.1027.1,34.7034.7,43.3043.3,50.1050.1,62.0062.0,71.1071.1,78.7078.7,77.2077.2,65.1065.1,50.7050.7,46.8046.8,34.7034.7
