,Year,Annual
0,1895,50.95833333333351.0
1,1896,51.51666666666751.5
2,1897,51.751.7
3,1898,52.90833333333352.9
4,1899,51.7551.8
5,1900,52.76666666666752.8
6,1901,50.72550.7
7,1902,51.40833333333351.4
8,1903,51.22551.2
9,1904,48.548.5
10,1905,50.92550.9
11,1906,52.652.6
12,1907,50.13333333333350.1
13,1908,52.57552.6
14,1909,51.84166666666751.8
15,1910,51.93333333333351.9
16,1911,52.38333333333352.4
17,1912,51.36666666666751.4
18,1913,53.96666666666754.0
19,1914,51.06666666666751.1
20,1915,52.39166666666752.4
21,1916,51.02551.0
22,1917,49.50833333333349.5
23,1918,51.77551.8
24,1919,52.78333333333352.8
25,1920,51.47551.5
26,1921,54.27554.3
27,1922,52.66666666666752.7
28,1923,51.9552.0
29,1924,50.78333333333350.8
30,1925,52.25833333333352.3
31,1926,50.02550.0
32,1927,52.21666666666752.2
33,1928,52.37552.4
34,1929,52.77552.8
35,1930,53.2553.3
36,1931,54.73333333333354.7
37,1932,53.76666666666753.8
38,1933,53.13333333333353.1
39,1934,51.79166666666751.8
40,1935,51.9552.0
41,1936,52.15833333333352.2
42,1937,53.00833333333353.0
43,1938,53.45833333333353.5
44,1939,53.06666666666753.1
45,1940,50.06666666666750.1
46,1941,53.28333333333353.3
47,1942,52.50833333333352.5
48,1943,51.97552.0
49,1944,52.852.8
50,1945,52.752.7
51,1946,53.953.9
52,1947,52.50833333333352.5
53,1948,52.46666666666752.5
54,1949,55.22555.2
55,1950,52.12552.1
56,1951,53.47553.5
57,1952,54.05833333333354.1
58,1953,55.02555.0
59,1954,53.34166666666753.3
60,1955,53.33333333333353.3
61,1956,52.28333333333352.3
62,1957,53.80833333333353.8
63,1958,51.23333333333351.2
64,1959,53.86666666666753.9
65,1960,52.40833333333352.4
66,1961,52.952.9
67,1962,51.4551.5
68,1963,51.81666666666751.8
69,1964,52.95833333333353.0
70,1965,52.44166666666752.4
71,1966,52.89166666666752.9
72,1967,51.58333333333351.6
73,1968,52.56666666666752.6
74,1969,52.70833333333352.7
75,1970,52.7552.8
76,1971,53.28333333333353.3
77,1972,52.1552.2
78,1973,54.71666666666754.7
79,1974,53.35833333333353.4
80,1975,53.97554.0
81,1976,52.46666666666752.5
82,1977,52.95833333333353.0
83,1978,51.68333333333351.7
84,1979,53.04166666666753.0
85,1980,53.04166666666753.0
86,1981,52.85833333333352.9
87,1982,52.78333333333352.8
88,1983,54.03333333333354.0
89,1984,53.56666666666753.6
90,1985,53.753.7
91,1986,53.46666666666753.5
92,1987,53.69166666666753.7
93,1988,53.16666666666753.2
94,1989,52.81666666666752.8
95,1990,55.74166666666755.7
96,1991,55.78333333333355.8
97,1992,52.47552.5
98,1993,53.653.6
99,1994,53.51666666666753.5
100,1995,53.74166666666753.7
101,1996,52.82552.8
102,1997,53.43333333333353.4
103,1998,56.46666666666756.5
104,1999,55.51666666666755.5
105,2000,53.30833333333353.3
106,2001,55.27555.3
107,2002,55.60833333333355.6
108,2003,52.92552.9
109,2004,54.12554.1
110,2005,54.94166666666754.9
111,2006,56.27556.3
112,2007,54.59166666666754.6
113,2008,54.80833333333354.8
114,2009,53.80833333333353.8
115,2010,56.25833333333356.3
116,2011,56.14166666666756.1
117,2012,57.21666666666757.2
118,2013,54.74166666666754.7
119,2014,53.67553.7
120,2015,55.50833333333355.5
121,2016,56.81666666666756.8
122,2017,56.08333333333356.1
123,2018,55.41666666666755.4
124,2019,55.18333333333355.2
125,2020,M
126,,Annual
