,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,23.7023.7,31.4031.4,37.1037.1,50.0050.0,62.3062.3,69.7069.7,75.8075.8,75.9075.9,69.2069.2,57.3057.3,46.8046.8,33.8033.8
76,1971,26.2026.2,33.2033.2,38.6038.6,48.7048.7,58.6058.6,71.7071.7,75.2075.2,73.7073.7,69.5069.5,60.9060.9,43.6043.6,39.5039.5
77,1972,33.7033.7,29.6029.6,38.0038.0,47.9047.9,60.9060.9,66.7066.7,76.0076.0,73.7073.7,67.8067.8,51.5051.5,42.4042.4,37.6037.6
78,1973,34.0034.0,31.3031.3,45.2045.2,51.8051.8,58.0058.0,72.5072.5,76.4076.4,76.6076.6,68.2068.2,58.2058.2,46.6046.6,37.8037.8
79,1974,33.9033.9,30.6030.6,41.1041.1,53.7053.7,59.8059.8,68.0068.0,75.8075.8,74.8074.8,65.5065.5,52.5052.5,46.4046.4,38.2038.2
80,1975,36.1036.1,34.6034.6,39.2039.2,46.4046.4,64.4064.4,70.0070.0,75.6075.6,73.8073.8,63.3063.3,58.2058.2,50.8050.8,35.3035.3
81,1976,26.6026.6,38.6038.6,43.4043.4,54.1054.1,60.3060.3,72.8072.8,74.0074.0,73.5073.5,65.6065.6,51.9051.9,39.9039.9,28.9028.9
82,1977,21.0021.0,32.3032.3,45.6045.6,52.3052.3,63.9063.9,69.0069.0,76.9076.9,74.1074.1,67.0067.0,53.7053.7,46.3046.3,33.4033.4
83,1978,27.0027.0,25.1025.1,37.7037.7,49.7049.7,59.2059.2,70.3070.3,73.8073.8,75.3075.3,64.4064.4,54.5054.5,46.4046.4,36.8036.8
84,1979,31.1031.1,22.6022.6,44.0044.0,50.0050.0,62.6062.6,67.6067.6,75.4075.4,74.1074.1,66.9066.9,54.5054.5,49.3049.3,38.4038.4
85,1980,32.1032.1,29.3029.3,38.6038.6,52.2052.2,64.1064.1,69.0069.0,77.6077.6,77.5077.5,69.8069.8,53.9053.9,42.2042.2,30.2030.2
86,1981,23.9023.9,36.7036.7,39.4039.4,53.6053.6,62.2062.2,71.4071.4,76.9076.9,73.6073.6,65.6065.6,52.1052.1,44.9044.9,34.0034.0
87,1982,23.6023.6,33.8033.8,39.6039.6,49.0049.0,62.6062.6,66.8066.8,76.0076.0,71.3071.3,66.0066.0,55.9055.9,48.0048.0,40.8040.8
88,1983,32.8032.8,34.2034.2,42.7042.7,50.4050.4,58.5058.5,71.5071.5,78.0078.0,75.8075.8,69.3069.3,55.7055.7,46.3046.3,33.2033.2
89,1984,27.1027.1,38.4038.4,34.9034.9,49.7049.7,60.0060.0,73.1073.1,74.0074.0,75.4075.4,64.3064.3,59.9059.9,44.8044.8,41.2041.2
90,1985,26.2026.2,33.6033.6,43.4043.4,53.6053.6,64.2064.2,67.7067.7,75.2075.2,74.0074.0,68.6068.6,57.2057.2,48.4048.4,32.3032.3
91,1986,32.0032.0,30.2030.2,42.4042.4,51.8051.8,64.5064.5,70.6070.6,75.2075.2,72.0072.0,66.1066.1,56.2056.2,43.4043.4,37.2037.2
92,1987,30.6030.6,31.6031.6,43.2043.2,51.7051.7,62.0062.0,72.3072.3,77.2077.2,72.9072.9,66.4066.4,52.1052.1,46.2046.2,38.1038.1
93,1988,27.2027.2,33.3033.3,42.0042.0,49.4049.4,61.0061.0,70.8070.8,78.1078.1,77.5077.5,66.0066.0,51.0051.0,47.3047.3,34.4034.4
94,1989,35.5035.5,32.9032.9,40.6040.6,50.0050.0,61.1061.1,72.0072.0,75.0075.0,73.8073.8,67.7067.7,57.0057.0,44.1044.1,24.1024.1
95,1990,39.3039.3,38.4038.4,43.3043.3,51.3051.3,58.9058.9,70.9070.9,75.9075.9,74.5074.5,66.4066.4,60.6060.6,48.4048.4,41.0041.0
96,1991,32.9032.9,38.2038.2,43.4043.4,53.7053.7,67.3067.3,72.9072.9,76.8076.8,76.1076.1,66.4066.4,56.9056.9,46.5046.5,38.3038.3
97,1992,34.2034.2,35.2035.2,38.3038.3,48.5048.5,59.3059.3,69.0069.0,73.5073.5,71.6071.6,66.2066.2,52.8052.8,44.8044.8,36.3036.3
98,1993,35.4035.4,28.7028.7,37.4037.4,51.1051.1,63.6063.6,71.4071.4,78.7078.7,75.6075.6,66.2066.2,54.0054.0,45.7045.7,35.4035.4
99,1994,24.1024.1,28.6028.6,38.9038.9,53.7053.7,60.1060.1,74.1074.1,78.5078.5,72.4072.4,66.3066.3,55.4055.4,49.7049.7,40.4040.4
100,1995,36.5036.5,29.5029.5,44.0044.0,50.0050.0,60.2060.2,71.0071.0,77.6077.6,76.4076.4,66.7066.7,59.6059.6,42.2042.2,31.2031.2
101,1996,29.8029.8,32.7032.7,37.3037.3,51.3051.3,59.5059.5,71.1071.1,73.1073.1,73.8073.8,67.7067.7,55.5055.5,42.0042.0,40.1040.1
102,1997,31.1031.1,39.2039.2,41.5041.5,50.2050.2,58.4058.4,70.1070.1,75.6075.6,72.8072.8,66.1066.1,55.7055.7,43.3043.3,37.2037.2
103,1998,39.7039.7,40.0040.0,44.2044.2,53.0053.0,64.0064.0,69.2069.2,76.3076.3,76.2076.2,69.5069.5,56.9056.9,46.8046.8,41.8041.8
104,1999,33.2033.2,37.0037.0,41.6041.6,52.2052.2,61.9061.9,72.9072.9,80.4080.4,75.2075.2,68.4068.4,55.0055.0,49.5049.5,38.9038.9
105,2000,30.8030.8,36.3036.3,46.4046.4,50.0050.0,62.9062.9,71.2071.2,72.4072.4,72.5072.5,65.8065.8,56.3056.3,44.6044.6,30.5030.5
106,2001,32.0032.0,35.2035.2,39.0039.0,52.5052.5,62.9062.9,72.6072.6,73.2073.2,77.9077.9,66.8066.8,57.2057.2,51.0051.0,43.0043.0
107,2002,39.0039.0,39.7039.7,43.3043.3,54.7054.7,59.7059.7,71.4071.4,78.3078.3,77.1077.1,69.5069.5,54.9054.9,44.7044.7,35.0035.0
108,2003,27.3027.3,28.9028.9,41.8041.8,48.8048.8,58.2058.2,68.5068.5,76.2076.2,76.8076.8,67.9067.9,54.4054.4,49.5049.5,36.8036.8
109,2004,24.8024.8,34.0034.0,43.2043.2,52.9052.9,65.2065.2,71.0071.0,74.4074.4,74.0074.0,69.3069.3,55.7055.7,47.7047.7,37.3037.3
110,2005,30.7030.7,35.4035.4,38.1038.1,53.9053.9,58.2058.2,73.8073.8,77.7077.7,79.1079.1,72.6072.6,57.4057.4,48.5048.5,33.9033.9
111,2006,39.7039.7,34.9034.9,42.3042.3,54.5054.5,62.6062.6,71.4071.4,78.5078.5,75.8075.8,66.1066.1,55.5055.5,51.0051.0,43.0043.0
112,2007,37.2037.2,27.7027.7,41.1041.1,49.3049.3,64.4064.4,71.8071.8,75.3075.3,74.4074.4,69.7069.7,63.4063.4,44.4044.4,36.4036.4
113,2008,35.6035.6,35.1035.1,41.9041.9,53.7053.7,59.3059.3,74.3074.3,78.3078.3,73.3073.3,69.0069.0,54.9054.9,45.0045.0,37.3037.3
114,2009,27.5027.5,35.9035.9,41.4041.4,53.5053.5,62.4062.4,68.2068.2,73.5073.5,76.3076.3,66.3066.3,54.8054.8,50.6050.6,35.3035.3
115,2010,32.3032.3,32.9032.9,47.4047.4,56.9056.9,65.4065.4,75.0075.0,80.9080.9,76.6076.6,70.5070.5,57.8057.8,46.9046.9,32.5032.5
116,2011,29.1029.1,35.0035.0,42.2042.2,53.9053.9,64.4064.4,72.9072.9,80.6080.6,75.6075.6,70.1070.1,57.1057.1,50.5050.5,42.3042.3
117,2012,37.0037.0,40.2040.2,50.7050.7,54.2054.2,65.4065.4,71.5071.5,79.6079.6,76.8076.8,68.8068.8,58.3058.3,43.1043.1,41.0041.0
