,Year,Annual
0,1895,48.26666666666748.3
1,1896,48.86666666666748.9
2,1897,48.99166666666749.0
3,1898,50.09166666666750.1
4,1899,48.6548.7
5,1900,50.2550.3
6,1901,48.24166666666748.2
7,1902,48.62548.6
8,1903,48.348.3
9,1904,45.54166666666745.5
10,1905,47.85833333333347.9
11,1906,49.14166666666749.1
12,1907,46.52546.5
13,1908,49.04166666666749.0
14,1909,48.28333333333348.3
15,1910,48.14166666666748.1
16,1911,49.02549.0
17,1912,47.69166666666747.7
18,1913,50.81666666666750.8
19,1914,47.647.6
20,1915,48.97549.0
21,1916,47.58333333333347.6
22,1917,46.14166666666746.1
23,1918,48.39166666666748.4
24,1919,49.52549.5
25,1920,4848.0
26,1921,51.12551.1
27,1922,49.50833333333349.5
28,1923,48.38333333333348.4
29,1924,47.17547.2
30,1925,48.60833333333348.6
31,1926,46.70833333333346.7
32,1927,48.74166666666748.7
33,1928,48.71666666666748.7
34,1929,48.97549.0
35,1930,49.62549.6
36,1931,51.37551.4
37,1932,50.17550.2
38,1933,49.849.8
39,1934,48.67548.7
40,1935,48.75833333333348.8
41,1936,49.15833333333349.2
42,1937,49.73333333333349.7
43,1938,50.34166666666750.3
44,1939,50.02550.0
45,1940,47.02547.0
46,1941,5050.0
47,1942,49.549.5
48,1943,48.91666666666748.9
49,1944,49.61666666666749.6
50,1945,49.51666666666749.5
51,1946,50.62550.6
52,1947,49.3549.4
53,1948,49.42549.4
54,1949,52.05833333333352.1
55,1950,49.22549.2
56,1951,50.14166666666750.1
57,1952,50.60833333333350.6
58,1953,51.6551.7
59,1954,50.26666666666750.3
60,1955,50.42550.4
61,1956,49.37549.4
62,1957,50.69166666666750.7
63,1958,48.21666666666748.2
64,1959,51.19166666666751.2
65,1960,49.249.2
66,1961,49.849.8
67,1962,48.53333333333348.5
68,1963,48.64166666666748.6
69,1964,49.849.8
70,1965,49.449.4
71,1966,49.47549.5
72,1967,48.63333333333348.6
73,1968,49.5549.6
74,1969,49.649.6
75,1970,49.54166666666749.5
76,1971,50.04166666666750.0
77,1972,49.20833333333349.2
78,1973,51.62551.6
79,1974,50.2550.3
80,1975,51.14166666666751.1
81,1976,49.11666666666749.1
82,1977,49.79166666666749.8
83,1978,48.37548.4
84,1979,49.98333333333350.0
85,1980,49.97550.0
86,1981,49.75833333333349.8
87,1982,49.76666666666749.8
88,1983,50.98333333333351.0
89,1984,50.54166666666750.5
90,1985,50.78333333333350.8
91,1986,50.59166666666750.6
92,1987,50.90833333333350.9
93,1988,5050.0
94,1989,49.77549.8
95,1990,52.73333333333352.7
96,1991,52.63333333333352.6
97,1992,49.55833333333349.6
98,1993,50.54166666666750.5
99,1994,50.33333333333350.3
100,1995,50.85833333333350.9
101,1996,49.96666666666750.0
102,1997,50.28333333333350.3
103,1998,53.74166666666753.7
104,1999,52.60833333333352.6
105,2000,50.71666666666750.7
106,2001,52.09166666666752.1
107,2002,52.6552.7
108,2003,50.28333333333350.3
109,2004,51.40833333333351.4
110,2005,52.05833333333352.1
111,2006,53.53333333333353.5
112,2007,51.8551.9
113,2008,51.83333333333351.8
114,2009,51.07551.1
115,2010,53.18333333333353.2
116,2011,53.11666666666753.1
117,2012,54.10833333333354.1
118,2013,51.58333333333351.6
119,2014,50.12550.1
120,2015,52.02552.0
121,2016,53.45833333333353.5
122,2017,52.95833333333353.0
123,2018,52.452.4
124,2019,52.55833333333352.6
125,2020,M
126,,Annual
