,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Hunterdon,19.3019.3,28.2028.2,34.3034.3,47.5047.5,60.1060.1,66.3066.3,73.0073.0,71.6071.6,65.6065.6,54.3054.3,43.5043.5,30.8030.8
76,1971,Hunterdon,22.8022.8,29.5029.5,36.0036.0,46.4046.4,55.4055.4,68.8068.8,71.3071.3,69.4069.4,66.4066.4,57.9057.9,40.4040.4,36.2036.2
77,1972,Hunterdon,30.0030.0,26.5026.5,36.0036.0,45.5045.5,58.8058.8,64.4064.4,73.1073.1,70.0070.0,64.4064.4,47.9047.9,39.4039.4,34.5034.5
78,1973,Hunterdon,30.5030.5,28.3028.3,42.9042.9,49.3049.3,55.6055.6,70.6070.6,73.2073.2,72.7072.7,64.6064.6,54.2054.2,43.5043.5,34.1034.1
79,1974,Hunterdon,30.5030.5,28.0028.0,38.8038.8,51.0051.0,58.1058.1,65.1065.1,72.2072.2,71.0071.0,62.5062.5,48.6048.6,42.9042.9,34.3034.3
80,1975,Hunterdon,32.0032.0,31.1031.1,36.5036.5,44.0044.0,62.4062.4,68.3068.3,72.5072.5,71.3071.3,60.2060.2,56.2056.2,47.1047.1,32.1032.1
81,1976,Hunterdon,23.0023.0,34.5034.5,40.8040.8,51.6051.6,57.0057.0,70.6070.6,70.2070.2,69.7069.7,62.0062.0,48.3048.3,36.4036.4,25.3025.3
82,1977,Hunterdon,16.8016.8,28.8028.8,43.0043.0,50.5050.5,60.8060.8,65.6065.6,72.9072.9,70.7070.7,64.5064.5,50.6050.6,43.9043.9,29.4029.4
83,1978,Hunterdon,23.9023.9,20.0020.0,34.4034.4,47.8047.8,57.2057.2,67.2067.2,70.2070.2,72.0072.0,61.4061.4,50.6050.6,42.8042.8,33.0033.0
84,1979,Hunterdon,28.0028.0,19.4019.4,42.0042.0,48.3048.3,60.4060.4,65.2065.2,71.6071.6,70.7070.7,63.1063.1,51.3051.3,45.9045.9,33.9033.9
85,1980,Hunterdon,28.5028.5,26.2026.2,35.9035.9,50.3050.3,60.8060.8,65.4065.4,74.1074.1,74.8074.8,67.0067.0,50.9050.9,38.5038.5,27.3027.3
86,1981,Hunterdon,20.7020.7,34.4034.4,36.3036.3,51.2051.2,59.7059.7,68.4068.4,73.4073.4,69.4069.4,62.6062.6,48.9048.9,42.1042.1,30.0030.0
87,1982,Hunterdon,19.8019.8,30.5030.5,37.2037.2,46.7046.7,60.7060.7,64.5064.5,72.3072.3,67.5067.5,63.0063.0,52.6052.6,44.8044.8,37.6037.6
88,1983,Hunterdon,29.3029.3,31.2031.2,40.8040.8,47.6047.6,57.2057.2,67.6067.6,74.3074.3,73.6073.6,65.2065.2,52.9052.9,43.0043.0,29.1029.1
89,1984,Hunterdon,23.1023.1,35.9035.9,32.8032.8,47.7047.7,57.7057.7,69.3069.3,71.0071.0,72.0072.0,60.9060.9,57.2057.2,41.3041.3,37.6037.6
90,1985,Hunterdon,23.9023.9,31.3031.3,41.1041.1,51.8051.8,61.1061.1,64.2064.2,71.6071.6,70.2070.2,65.3065.3,54.5054.5,45.7045.7,28.7028.7
91,1986,Hunterdon,28.8028.8,27.7027.7,40.1040.1,49.7049.7,62.0062.0,67.5067.5,72.4072.4,68.4068.4,62.6062.6,53.7053.7,40.4040.4,33.8033.8
92,1987,Hunterdon,27.5027.5,29.0029.0,41.4041.4,50.3050.3,59.8059.8,69.6069.6,74.2074.2,69.2069.2,63.3063.3,48.1048.1,43.5043.5,35.0035.0
93,1988,Hunterdon,22.4022.4,29.9029.9,39.9039.9,47.9047.9,59.2059.2,67.3067.3,75.6075.6,73.7073.7,61.7061.7,47.8047.8,43.6043.6,31.0031.0
94,1989,Hunterdon,32.2032.2,30.6030.6,38.2038.2,47.2047.2,58.2058.2,69.3069.3,71.5071.5,69.8069.8,64.5064.5,53.7053.7,41.3041.3,20.8020.8
95,1990,Hunterdon,35.7035.7,36.0036.0,41.8041.8,49.6049.6,57.4057.4,67.5067.5,72.8072.8,70.8070.8,62.0062.0,56.9056.9,45.2045.2,37.1037.1
96,1991,Hunterdon,29.0029.0,35.6035.6,41.4041.4,51.4051.4,64.6064.6,69.3069.3,73.1073.1,72.3072.3,63.1063.1,53.3053.3,43.2043.2,35.3035.3
97,1992,Hunterdon,31.1031.1,33.2033.2,36.7036.7,47.5047.5,56.7056.7,65.4065.4,70.6070.6,67.6067.6,62.8062.8,48.2048.2,42.2042.2,32.7032.7
98,1993,Hunterdon,32.9032.9,26.3026.3,34.5034.5,49.4049.4,61.0061.0,67.7067.7,74.9074.9,72.1072.1,63.3063.3,50.3050.3,42.1042.1,32.0032.0
99,1994,Hunterdon,20.5020.5,25.7025.7,36.2036.2,52.1052.1,57.3057.3,70.8070.8,75.4075.4,68.6068.6,63.0063.0,50.7050.7,47.1047.1,36.6036.6
100,1995,Hunterdon,33.3033.3,26.8026.8,42.3042.3,47.9047.9,57.6057.6,68.6068.6,74.8074.8,73.3073.3,63.7063.7,56.1056.1,38.5038.5,27.4027.4
101,1996,Hunterdon,25.9025.9,29.7029.7,34.8034.8,49.6049.6,57.2057.2,69.1069.1,70.1070.1,70.7070.7,64.4064.4,52.6052.6,38.9038.9,36.6036.6
102,1997,Hunterdon,27.9027.9,36.1036.1,39.4039.4,47.2047.2,55.7055.7,66.3066.3,72.2072.2,69.1069.1,62.6062.6,52.5052.5,40.1040.1,34.3034.3
