,Year,Annual
0,1895,50.62550.6
1,1896,51.1551.2
2,1897,51.251.2
3,1898,52.38333333333352.4
4,1899,51.05833333333351.1
5,1900,52.552.5
6,1901,50.35833333333350.4
7,1902,51.0551.1
8,1903,50.850.8
9,1904,48.18333333333348.2
10,1905,50.41666666666750.4
11,1906,51.80833333333351.8
12,1907,49.18333333333349.2
13,1908,51.51666666666751.5
14,1909,50.8550.9
15,1910,50.66666666666750.7
16,1911,51.551.5
17,1912,50.35833333333350.4
18,1913,52.97553.0
19,1914,49.78333333333349.8
20,1915,50.98333333333351.0
21,1916,49.84166666666749.8
22,1917,48.4548.5
23,1918,50.49166666666750.5
24,1919,51.7551.8
25,1920,50.24166666666750.2
26,1921,53.19166666666753.2
27,1922,51.57551.6
28,1923,50.75833333333350.8
29,1924,49.60833333333349.6
30,1925,51.12551.1
31,1926,48.80833333333348.8
32,1927,51.07551.1
33,1928,50.97551.0
34,1929,51.32551.3
35,1930,51.81666666666751.8
36,1931,53.45833333333353.5
37,1932,52.46666666666752.5
38,1933,51.951.9
39,1934,50.4550.5
40,1935,50.61666666666750.6
41,1936,51.19166666666751.2
42,1937,51.84166666666751.8
43,1938,52.36666666666752.4
44,1939,52.00833333333352.0
45,1940,49.07549.1
46,1941,52.24166666666752.2
47,1942,51.74166666666751.7
48,1943,51.27551.3
49,1944,51.80833333333351.8
50,1945,51.93333333333351.9
51,1946,52.86666666666752.9
52,1947,51.451.4
53,1948,51.56666666666751.6
54,1949,54.06666666666754.1
55,1950,51.351.3
56,1951,52.52552.5
57,1952,52.96666666666753.0
58,1953,53.89166666666753.9
59,1954,52.51666666666752.5
60,1955,52.43333333333352.4
61,1956,51.751.7
62,1957,52.93333333333352.9
63,1958,50.42550.4
64,1959,53.3553.4
65,1960,51.50833333333351.5
66,1961,51.951.9
67,1962,50.61666666666750.6
68,1963,50.85833333333350.9
69,1964,52.03333333333352.0
70,1965,51.4551.5
71,1966,51.61666666666751.6
72,1967,50.950.9
73,1968,51.851.8
74,1969,51.72551.7
75,1970,51.86666666666751.9
76,1971,52.47552.5
77,1972,51.44166666666751.4
78,1973,53.90833333333353.9
79,1974,52.58333333333352.6
80,1975,53.37553.4
81,1976,51.75833333333351.8
82,1977,52.39166666666752.4
83,1978,50.77550.8
84,1979,52.11666666666752.1
85,1980,52.29166666666752.3
86,1981,52.04166666666752.0
87,1982,52.03333333333352.0
88,1983,53.15833333333353.2
89,1984,52.68333333333352.7
90,1985,53.01666666666753.0
91,1986,52.92552.9
92,1987,52.94166666666752.9
93,1988,52.14166666666752.1
94,1989,51.90833333333351.9
95,1990,54.86666666666754.9
96,1991,54.85833333333354.9
97,1992,51.74166666666751.7
98,1993,52.87552.9
99,1994,52.71666666666752.7
100,1995,52.99166666666753.0
101,1996,52.252.2
102,1997,52.56666666666752.6
103,1998,55.76666666666755.8
104,1999,54.5554.6
105,2000,52.78333333333352.8
106,2001,54.42554.4
107,2002,54.83333333333354.8
108,2003,52.31666666666752.3
109,2004,53.553.5
110,2005,54.00833333333354.0
111,2006,55.43333333333355.4
112,2007,54.0554.1
113,2008,54.10833333333354.1
114,2009,53.16666666666753.2
115,2010,55.43333333333355.4
116,2011,55.48333333333355.5
117,2012,56.1556.2
118,2013,53.41666666666753.4
119,2014,52.18333333333352.2
120,2015,54.39166666666754.4
121,2016,55.17555.2
122,2017,54.82554.8
123,2018,54.454.4
124,2019,54.70833333333354.7
125,2020,M
126,,Annual
