,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,22.8022.8,31.4031.4,36.2036.2,49.2049.2,61.8061.8,68.7068.7,74.7074.7,74.1074.1,68.4068.4,56.3056.3,45.6045.6,33.2033.2
76,1971,25.7025.7,33.1033.1,38.4038.4,48.3048.3,57.7057.7,70.7070.7,73.7073.7,71.7071.7,68.3068.3,59.9059.9,42.8042.8,39.4039.4
77,1972,33.0033.0,29.4029.4,38.3038.3,47.5047.5,60.2060.2,66.1066.1,74.8074.8,72.5072.5,66.4066.4,49.9049.9,41.5041.5,37.7037.7
78,1973,32.9032.9,31.2031.2,44.9044.9,51.5051.5,57.6057.6,72.2072.2,75.2075.2,75.2075.2,67.0067.0,56.4056.4,45.8045.8,37.0037.0
79,1974,33.6033.6,30.6030.6,41.2041.2,53.2053.2,59.8059.8,67.0067.0,73.9073.9,73.0073.0,64.9064.9,51.1051.1,45.4045.4,37.3037.3
80,1975,35.1035.1,33.9033.9,38.9038.9,45.9045.9,63.8063.8,69.7069.7,74.2074.2,73.5073.5,62.7062.7,57.8057.8,50.0050.0,35.0035.0
81,1976,26.5026.5,38.7038.7,43.8043.8,53.6053.6,59.7059.7,71.9071.9,72.5072.5,72.0072.0,64.5064.5,50.3050.3,38.9038.9,28.7028.7
82,1977,19.8019.8,32.5032.5,45.9045.9,52.7052.7,63.0063.0,68.0068.0,75.4075.4,73.2073.2,67.1067.1,52.6052.6,46.0046.0,32.5032.5
83,1978,26.7026.7,23.4023.4,37.2037.2,49.3049.3,58.4058.4,69.4069.4,72.3072.3,74.2074.2,63.9063.9,53.1053.1,45.4045.4,36.0036.0
84,1979,30.8030.8,21.7021.7,44.4044.4,49.6049.6,61.7061.7,66.8066.8,73.2073.2,72.8072.8,65.8065.8,53.0053.0,48.7048.7,36.9036.9
85,1980,30.8030.8,28.8028.8,38.7038.7,52.2052.2,62.8062.8,67.7067.7,76.4076.4,76.2076.2,69.0069.0,52.8052.8,41.7041.7,30.4030.4
86,1981,23.6023.6,37.0037.0,38.7038.7,53.7053.7,61.3061.3,70.4070.4,75.6075.6,71.5071.5,64.9064.9,50.8050.8,44.0044.0,33.0033.0
87,1982,22.8022.8,33.4033.4,39.9039.9,48.4048.4,62.2062.2,66.4066.4,74.3074.3,70.0070.0,65.2065.2,54.5054.5,47.1047.1,40.2040.2
88,1983,32.0032.0,33.1033.1,42.9042.9,49.7049.7,59.3059.3,69.9069.9,76.1076.1,75.3075.3,67.2067.2,54.9054.9,45.3045.3,32.2032.2
89,1984,25.6025.6,38.4038.4,35.1035.1,49.1049.1,59.7059.7,71.6071.6,73.0073.0,73.8073.8,63.0063.0,58.9058.9,43.7043.7,40.3040.3
90,1985,26.2026.2,33.6033.6,43.3043.3,53.4053.4,63.3063.3,66.9066.9,74.1074.1,72.4072.4,67.2067.2,56.5056.5,48.2048.2,31.1031.1
91,1986,31.3031.3,30.1030.1,42.4042.4,51.1051.1,64.0064.0,70.4070.4,75.0075.0,70.9070.9,65.3065.3,55.8055.8,42.6042.6,36.2036.2
92,1987,29.7029.7,30.4030.4,43.5043.5,51.1051.1,61.6061.6,71.9071.9,76.7076.7,71.6071.6,65.7065.7,50.2050.2,45.8045.8,37.1037.1
93,1988,24.7024.7,32.9032.9,42.1042.1,49.1049.1,61.1061.1,69.4069.4,77.7077.7,76.3076.3,63.7063.7,49.6049.6,45.7045.7,33.4033.4
94,1989,34.8034.8,33.1033.1,40.4040.4,49.0049.0,60.1060.1,71.8071.8,73.4073.4,72.1072.1,66.4066.4,55.5055.5,43.3043.3,23.0023.0
95,1990,38.4038.4,38.5038.5,43.9043.9,50.9050.9,59.0059.0,70.0070.0,74.7074.7,73.2073.2,64.2064.2,59.0059.0,46.9046.9,39.7039.7
96,1991,32.1032.1,37.7037.7,43.8043.8,52.9052.9,66.3066.3,71.5071.5,75.5075.5,74.7074.7,65.0065.0,55.6055.6,45.2045.2,38.0038.0
97,1992,33.3033.3,35.5035.5,38.9038.9,49.1049.1,58.3058.3,67.7067.7,73.1073.1,69.9069.9,65.1065.1,50.6050.6,44.2044.2,35.2035.2
98,1993,35.7035.7,29.2029.2,37.4037.4,51.3051.3,62.7062.7,70.2070.2,76.6076.6,74.1074.1,65.7065.7,52.8052.8,44.2044.2,34.6034.6
99,1994,24.0024.0,28.7028.7,39.2039.2,53.9053.9,59.1059.1,73.5073.5,77.9077.9,70.8070.8,64.7064.7,52.7052.7,48.8048.8,39.3039.3
100,1995,35.8035.8,29.1029.1,44.2044.2,50.0050.0,59.3059.3,70.2070.2,76.8076.8,74.9074.9,66.2066.2,58.4058.4,41.0041.0,30.0030.0
101,1996,29.1029.1,32.4032.4,37.4037.4,51.5051.5,59.0059.0,71.3071.3,72.4072.4,72.8072.8,66.6066.6,54.3054.3,40.5040.5,39.1039.1
102,1997,31.0031.0,38.5038.5,42.1042.1,48.8048.8,57.7057.7,68.2068.2,74.4074.4,71.6071.6,64.8064.8,54.6054.6,42.5042.5,36.6036.6
103,1998,39.6039.6,39.6039.6,44.1044.1,53.0053.0,64.1064.1,69.0069.0,75.2075.2,74.9074.9,68.7068.7,55.5055.5,44.9044.9,40.6040.6
104,1999,33.3033.3,35.8035.8,40.7040.7,51.3051.3,60.7060.7,71.4071.4,79.5079.5,74.5074.5,67.6067.6,53.2053.2,48.6048.6,38.0038.0
105,2000,30.8030.8,35.8035.8,46.2046.2,50.5050.5,62.7062.7,70.8070.8,71.6071.6,71.5071.5,64.8064.8,55.2055.2,44.0044.0,29.5029.5
