,Year,Annual
0,1895,50.31666666666750.3
1,1896,50.81666666666750.8
2,1897,51.04166666666751.0
3,1898,52.152.1
4,1899,50.90833333333350.9
5,1900,52.33333333333352.3
6,1901,50.10833333333350.1
7,1902,50.81666666666750.8
8,1903,50.66666666666750.7
9,1904,48.01666666666748.0
10,1905,50.350.3
11,1906,51.7551.8
12,1907,49.17549.2
13,1908,51.60833333333351.6
14,1909,50.87550.9
15,1910,50.83333333333350.8
16,1911,51.53333333333351.5
17,1912,50.44166666666750.4
18,1913,53.16666666666753.2
19,1914,50.02550.0
20,1915,51.27551.3
21,1916,50.07550.1
22,1917,48.65833333333348.7
23,1918,50.72550.7
24,1919,51.94166666666751.9
25,1920,50.44166666666750.4
26,1921,53.39166666666753.4
27,1922,51.74166666666751.7
28,1923,51.04166666666751.0
29,1924,49.66666666666749.7
30,1925,51.34166666666751.3
31,1926,48.98333333333349.0
32,1927,51.351.3
33,1928,51.38333333333351.4
34,1929,51.62551.6
35,1930,5252.0
36,1931,53.62553.6
37,1932,52.60833333333352.6
38,1933,51.91666666666751.9
39,1934,50.72550.7
40,1935,50.82550.8
41,1936,51.30833333333351.3
42,1937,52.04166666666752.0
43,1938,52.43333333333352.4
44,1939,52.11666666666752.1
45,1940,49.12549.1
46,1941,52.28333333333352.3
47,1942,51.68333333333351.7
48,1943,51.42551.4
49,1944,51.99166666666752.0
50,1945,51.86666666666751.9
51,1946,53.07553.1
52,1947,51.60833333333351.6
53,1948,51.651.6
54,1949,54.38333333333354.4
55,1950,51.551.5
56,1951,52.66666666666752.7
57,1952,53.09166666666753.1
58,1953,53.96666666666754.0
59,1954,52.64166666666752.6
60,1955,52.66666666666752.7
61,1956,51.87551.9
62,1957,53.12553.1
63,1958,50.58333333333350.6
64,1959,53.39166666666753.4
65,1960,51.69166666666751.7
66,1961,52.04166666666752.0
67,1962,50.66666666666750.7
68,1963,51.08333333333351.1
69,1964,52.252.2
70,1965,51.60833333333351.6
71,1966,51.73333333333351.7
72,1967,50.92550.9
73,1968,51.87551.9
74,1969,51.80833333333351.8
75,1970,51.91666666666751.9
76,1971,52.4552.5
77,1972,51.44166666666751.4
78,1973,53.90833333333353.9
79,1974,52.5552.6
80,1975,53.36666666666753.4
81,1976,51.6551.7
82,1977,52.22552.2
83,1978,50.81666666666750.8
84,1979,52.20833333333352.2
85,1980,52.22552.2
86,1981,51.95833333333352.0
87,1982,51.9552.0
88,1983,53.24166666666753.2
89,1984,52.69166666666752.7
90,1985,52.82552.8
91,1986,52.75833333333352.8
92,1987,52.952.9
93,1988,52.352.3
94,1989,51.83333333333351.8
95,1990,54.77554.8
96,1991,54.854.8
97,1992,51.63333333333351.6
98,1993,52.69166666666752.7
99,1994,52.72552.7
100,1995,52.95833333333353.0
101,1996,52.17552.2
102,1997,52.51666666666752.5
103,1998,55.72555.7
104,1999,54.74166666666754.7
105,2000,52.852.8
106,2001,54.33333333333354.3
107,2002,54.80833333333354.8
108,2003,52.24166666666752.2
109,2004,53.453.4
110,2005,54.10833333333354.1
111,2006,55.655.6
112,2007,54.00833333333354.0
113,2008,54.14166666666754.1
114,2009,53.29166666666753.3
115,2010,55.43333333333355.4
116,2011,55.47555.5
117,2012,56.36666666666756.4
118,2013,53.88333333333353.9
119,2014,52.49166666666752.5
120,2015,54.71666666666754.7
121,2016,55.66666666666755.7
122,2017,55.12555.1
123,2018,54.56666666666754.6
124,2019,54.73333333333354.7
125,2020,M
126,,Annual
