,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Middlesex,22.8022.8,31.3031.3,36.3036.3,49.4049.4,61.7061.7,69.0069.0,74.9074.9,74.5074.5,68.1068.1,56.3056.3,45.6045.6,33.1033.1
76,1971,Middlesex,25.6025.6,32.5032.5,38.4038.4,48.2048.2,57.8057.8,70.9070.9,73.8073.8,72.2072.2,68.5068.5,59.9059.9,42.7042.7,38.9038.9
77,1972,Middlesex,32.9032.9,28.9028.9,38.1038.1,47.3047.3,60.6060.6,66.3066.3,75.3075.3,72.4072.4,66.6066.6,50.1050.1,41.5041.5,37.3037.3
78,1973,Middlesex,33.2033.2,30.8030.8,44.8044.8,51.5051.5,57.8057.8,72.2072.2,75.3075.3,75.0075.0,66.9066.9,56.6056.6,45.7045.7,37.1037.1
79,1974,Middlesex,33.2033.2,30.2030.2,41.0041.0,53.1053.1,59.8059.8,67.2067.2,74.4074.4,73.5073.5,65.0065.0,50.8050.8,45.2045.2,37.2037.2
80,1975,Middlesex,35.0035.0,33.9033.9,38.6038.6,46.0046.0,64.0064.0,69.8069.8,74.4074.4,73.4073.4,62.6062.6,58.0058.0,49.7049.7,35.0035.0
81,1976,Middlesex,26.2026.2,37.6037.6,43.5043.5,53.4053.4,60.0060.0,72.2072.2,72.5072.5,72.3072.3,64.4064.4,50.6050.6,38.8038.8,28.3028.3
82,1977,Middlesex,19.7019.7,31.7031.7,45.3045.3,52.6052.6,63.0063.0,68.0068.0,75.2075.2,73.2073.2,66.8066.8,52.9052.9,45.9045.9,32.4032.4
83,1978,Middlesex,26.7026.7,23.4023.4,36.8036.8,49.2049.2,58.5058.5,69.6069.6,72.6072.6,74.4074.4,63.8063.8,53.4053.4,45.7045.7,35.7035.7
84,1979,Middlesex,31.4031.4,21.8021.8,44.0044.0,49.8049.8,62.1062.1,66.8066.8,73.4073.4,72.9072.9,65.8065.8,53.5053.5,48.4048.4,36.6036.6
85,1980,Middlesex,31.1031.1,28.8028.8,38.3038.3,52.0052.0,62.8062.8,67.8067.8,76.5076.5,76.4076.4,68.9068.9,53.0053.0,41.3041.3,29.8029.8
86,1981,Middlesex,23.1023.1,36.5036.5,38.4038.4,53.4053.4,61.4061.4,70.4070.4,75.9075.9,71.7071.7,64.8064.8,50.8050.8,44.1044.1,33.0033.0
87,1982,Middlesex,22.7022.7,33.5033.5,39.3039.3,48.2048.2,62.1062.1,66.1066.1,74.3074.3,70.2070.2,65.3065.3,54.6054.6,47.1047.1,40.0040.0
88,1983,Middlesex,31.8031.8,33.2033.2,42.8042.8,49.5049.5,59.1059.1,70.2070.2,76.6076.6,75.1075.1,67.6067.6,55.1055.1,45.4045.4,32.5032.5
89,1984,Middlesex,26.0026.0,38.1038.1,34.4034.4,49.0049.0,59.8059.8,72.1072.1,73.1073.1,73.8073.8,63.1063.1,58.8058.8,43.9043.9,40.2040.2
90,1985,Middlesex,25.9025.9,33.3033.3,43.1043.1,52.7052.7,63.4063.4,66.9066.9,73.9073.9,72.4072.4,67.1067.1,56.1056.1,47.9047.9,31.2031.2
91,1986,Middlesex,31.2031.2,29.9029.9,42.1042.1,51.2051.2,63.9063.9,70.0070.0,74.6074.6,70.9070.9,64.9064.9,55.6055.6,42.6042.6,36.2036.2
92,1987,Middlesex,29.8029.8,30.8030.8,43.4043.4,51.0051.0,61.2061.2,71.6071.6,76.3076.3,71.5071.5,65.7065.7,50.5050.5,45.8045.8,37.2037.2
93,1988,Middlesex,25.0025.0,33.0033.0,42.0042.0,48.8048.8,60.6060.6,69.6069.6,77.5077.5,76.4076.4,64.4064.4,50.4050.4,46.3046.3,33.6033.6
94,1989,Middlesex,34.7034.7,32.9032.9,40.2040.2,49.0049.0,59.8059.8,71.4071.4,73.4073.4,72.2072.2,66.5066.5,55.4055.4,43.3043.3,23.2023.2
95,1990,Middlesex,38.3038.3,38.1038.1,43.0043.0,50.5050.5,58.7058.7,69.9069.9,74.6074.6,73.4073.4,64.4064.4,59.1059.1,47.3047.3,40.0040.0
96,1991,Middlesex,31.8031.8,37.7037.7,43.5043.5,52.9052.9,66.2066.2,71.6071.6,75.2075.2,74.7074.7,65.0065.0,55.6055.6,45.4045.4,38.0038.0
97,1992,Middlesex,33.4033.4,35.2035.2,38.4038.4,48.3048.3,58.4058.4,67.5067.5,72.7072.7,69.8069.8,65.2065.2,51.0051.0,44.3044.3,35.4035.4
98,1993,Middlesex,35.7035.7,28.9028.9,36.9036.9,51.1051.1,62.3062.3,69.9069.9,76.9076.9,73.9073.9,65.3065.3,52.6052.6,44.1044.1,34.7034.7
99,1994,Middlesex,24.0024.0,28.6028.6,38.8038.8,53.6053.6,59.3059.3,73.1073.1,77.7077.7,70.9070.9,65.1065.1,53.2053.2,48.9048.9,39.5039.5
100,1995,Middlesex,36.2036.2,28.9028.9,44.0044.0,49.9049.9,59.3059.3,70.1070.1,76.6076.6,75.1075.1,66.0066.0,58.3058.3,40.9040.9,30.2030.2
101,1996,Middlesex,29.2029.2,32.4032.4,37.1037.1,51.2051.2,58.9058.9,70.8070.8,72.2072.2,72.7072.7,66.7066.7,54.6054.6,41.0041.0,39.3039.3
102,1997,Middlesex,30.5030.5,38.7038.7,41.3041.3,49.0049.0,57.8057.8,68.5068.5,74.5074.5,71.5071.5,64.9064.9,54.5054.5,42.4042.4,36.6036.6
103,1998,Middlesex,39.5039.5,39.7039.7,43.9043.9,52.6052.6,63.6063.6,68.8068.8,75.4075.4,74.9074.9,68.6068.6,55.6055.6,45.1045.1,41.0041.0
104,1999,Middlesex,33.3033.3,36.3036.3,40.9040.9,51.7051.7,60.7060.7,71.9071.9,79.6079.6,74.8074.8,67.7067.7,53.1053.1,48.8048.8,38.1038.1
105,2000,Middlesex,30.8030.8,36.0036.0,45.9045.9,50.6050.6,62.3062.3,70.7070.7,71.6071.6,71.6071.6,65.2065.2,55.0055.0,43.9043.9,30.0030.0
106,2001,Middlesex,30.4030.4,35.8035.8,38.6038.6,52.0052.0,62.2062.2,71.4071.4,72.1072.1,76.3076.3,65.7065.7,55.8055.8,49.6049.6,42.1042.1
107,2002,Middlesex,37.8037.8,39.2039.2,43.3043.3,54.6054.6,59.2059.2,70.6070.6,77.1077.1,76.4076.4,68.4068.4,54.1054.1,43.4043.4,33.6033.6
108,2003,Middlesex,26.8026.8,28.5028.5,41.8041.8,48.5048.5,57.5057.5,67.7067.7,75.3075.3,76.0076.0,67.3067.3,52.8052.8,48.6048.6,36.1036.1
109,2004,Middlesex,25.0025.0,33.5033.5,43.0043.0,52.2052.2,66.0066.0,69.8069.8,73.6073.6,73.1073.1,68.2068.2,53.6053.6,46.8046.8,36.0036.0
110,2005,Middlesex,30.4030.4,34.8034.8,37.5037.5,53.2053.2,57.4057.4,73.1073.1,76.7076.7,77.5077.5,70.8070.8,56.4056.4,48.3048.3,33.2033.2
111,2006,Middlesex,39.1039.1,34.9034.9,42.4042.4,54.3054.3,62.0062.0,70.9070.9,77.6077.6,74.6074.6,64.9064.9,53.9053.9,50.0050.0,42.6042.6
112,2007,Middlesex,36.9036.9,27.4027.4,41.6041.6,48.7048.7,63.7063.7,71.2071.2,74.2074.2,73.8073.8,68.5068.5,62.4062.4,43.8043.8,35.9035.9
113,2008,Middlesex,35.0035.0,35.8035.8,41.9041.9,53.4053.4,58.1058.1,73.5073.5,77.1077.1,71.9071.9,68.2068.2,53.7053.7,44.2044.2,36.9036.9
