,Year,Annual
0,1895,50.350.3
1,1896,50.89166666666750.9
2,1897,51.01666666666751.0
3,1898,51.96666666666752.0
4,1899,50.85833333333350.9
5,1900,52.31666666666752.3
6,1901,50.06666666666750.1
7,1902,50.97551.0
8,1903,50.76666666666750.8
9,1904,48.37548.4
10,1905,50.44166666666750.4
11,1906,52.07552.1
12,1907,49.42549.4
13,1908,51.77551.8
14,1909,51.08333333333351.1
15,1910,51.01666666666751.0
16,1911,51.68333333333351.7
17,1912,50.49166666666750.5
18,1913,53.14166666666753.1
19,1914,50.150.1
20,1915,51.53333333333351.5
21,1916,50.20833333333350.2
22,1917,48.93333333333348.9
23,1918,50.49166666666750.5
24,1919,52.10833333333352.1
25,1920,50.55833333333350.6
26,1921,53.46666666666753.5
27,1922,51.9552.0
28,1923,51.13333333333351.1
29,1924,49.90833333333349.9
30,1925,51.80833333333351.8
31,1926,49.24166666666749.2
32,1927,51.55833333333351.6
33,1928,51.14166666666751.1
34,1929,51.81666666666751.8
35,1930,52.24166666666752.2
36,1931,53.91666666666753.9
37,1932,52.75833333333352.8
38,1933,52.14166666666752.1
39,1934,50.76666666666750.8
40,1935,50.8550.9
41,1936,51.32551.3
42,1937,52.17552.2
43,1938,52.62552.6
44,1939,52.17552.2
45,1940,49.29166666666749.3
46,1941,52.28333333333352.3
47,1942,51.87551.9
48,1943,51.50833333333351.5
49,1944,52.06666666666752.1
50,1945,52.06666666666752.1
51,1946,53.3553.4
52,1947,51.84166666666751.8
53,1948,51.66666666666751.7
54,1949,54.45833333333354.5
55,1950,51.58333333333351.6
56,1951,52.74166666666752.7
57,1952,53.19166666666753.2
58,1953,54.1554.2
59,1954,52.72552.7
60,1955,52.58333333333352.6
61,1956,51.89166666666751.9
62,1957,53.08333333333353.1
63,1958,50.58333333333350.6
64,1959,53.45833333333353.5
65,1960,51.78333333333351.8
66,1961,52.16666666666752.2
67,1962,50.77550.8
68,1963,51.24166666666751.2
69,1964,52.35833333333352.4
70,1965,51.60833333333351.6
71,1966,51.82551.8
72,1967,50.99166666666751.0
73,1968,51.95833333333352.0
74,1969,51.80833333333351.8
75,1970,51.98333333333352.0
76,1971,52.66666666666752.7
77,1972,51.58333333333351.6
78,1973,54.04166666666754.0
79,1974,52.76666666666752.8
80,1975,53.5553.6
81,1976,51.88333333333351.9
82,1977,52.38333333333352.4
83,1978,50.87550.9
84,1979,52.18333333333352.2
85,1980,52.17552.2
86,1981,51.92551.9
87,1982,52.02552.0
88,1983,53.20833333333353.2
89,1984,52.7552.8
90,1985,53.15833333333353.2
91,1986,52.88333333333352.9
92,1987,52.75833333333352.8
93,1988,52.42552.4
94,1989,52.2552.3
95,1990,55.14166666666755.1
96,1991,55.10833333333355.1
97,1992,51.79166666666751.8
98,1993,52.99166666666753.0
99,1994,52.93333333333352.9
100,1995,53.18333333333353.2
101,1996,52.37552.4
102,1997,52.90833333333352.9
103,1998,55.77555.8
104,1999,54.99166666666755.0
105,2000,53.00833333333353.0
106,2001,54.56666666666754.6
107,2002,55.02555.0
108,2003,52.48333333333352.5
109,2004,53.70833333333353.7
110,2005,54.39166666666754.4
111,2006,55.73333333333355.7
112,2007,54.34166666666754.3
113,2008,54.3554.4
114,2009,53.42553.4
115,2010,55.43333333333355.4
116,2011,55.64166666666755.6
117,2012,56.37556.4
118,2013,53.95833333333354.0
119,2014,52.68333333333352.7
120,2015,54.66666666666754.7
121,2016,55.52555.5
122,2017,55.155.1
123,2018,54.79166666666754.8
124,2019,55.06666666666755.1
125,2020,M
126,,Annual
