,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,23.2023.2,31.6031.6,36.4036.4,48.9048.9,61.0061.0,68.8068.8,74.4074.4,74.5074.5,68.6068.6,56.7056.7,45.9045.9,33.8033.8
76,1971,26.4026.4,32.9032.9,38.4038.4,47.8047.8,57.8057.8,70.4070.4,73.7073.7,72.4072.4,68.8068.8,60.6060.6,43.2043.2,39.6039.6
77,1972,33.4033.4,29.7029.7,38.4038.4,47.1047.1,59.5059.5,66.2066.2,74.8074.8,72.3072.3,66.9066.9,50.5050.5,41.9041.9,38.3038.3
78,1973,33.4033.4,31.2031.2,44.5044.5,51.7051.7,57.6057.6,71.6071.6,75.3075.3,75.2075.2,67.4067.4,56.9056.9,45.9045.9,37.8037.8
79,1974,34.5034.5,30.3030.3,41.5041.5,53.2053.2,59.6059.6,67.3067.3,74.1074.1,73.2073.2,65.1065.1,51.3051.3,45.5045.5,37.6037.6
80,1975,35.7035.7,34.3034.3,38.8038.8,46.0046.0,63.0063.0,69.6069.6,74.3074.3,73.6073.6,63.1063.1,58.4058.4,50.2050.2,35.6035.6
81,1976,26.9026.9,38.4038.4,44.0044.0,53.5053.5,60.1060.1,72.1072.1,72.4072.4,72.0072.0,64.6064.6,50.6050.6,39.2039.2,28.8028.8
82,1977,20.0020.0,32.2032.2,45.3045.3,52.6052.6,62.5062.5,67.7067.7,75.0075.0,73.5073.5,67.2067.2,53.2053.2,46.3046.3,33.1033.1
83,1978,27.4027.4,23.4023.4,37.0037.0,49.0049.0,57.6057.6,69.3069.3,72.6072.6,74.2074.2,63.9063.9,53.4053.4,46.4046.4,36.3036.3
84,1979,32.0032.0,21.7021.7,43.3043.3,49.5049.5,61.8061.8,66.4066.4,73.2073.2,72.8072.8,65.9065.9,53.9053.9,48.4048.4,37.3037.3
85,1980,31.4031.4,28.9028.9,38.1038.1,51.5051.5,62.6062.6,67.8067.8,75.9075.9,76.1076.1,68.5068.5,53.6053.6,41.5041.5,30.2030.2
86,1981,23.2023.2,36.2036.2,38.2038.2,53.1053.1,60.6060.6,69.9069.9,75.7075.7,71.7071.7,65.3065.3,51.6051.6,44.2044.2,33.4033.4
87,1982,22.8022.8,34.0034.0,39.6039.6,47.8047.8,61.3061.3,65.9065.9,74.3074.3,70.7070.7,65.1065.1,54.9054.9,47.3047.3,40.6040.6
88,1983,32.5032.5,32.8032.8,42.4042.4,49.5049.5,58.6058.6,69.9069.9,76.2076.2,74.6074.6,67.4067.4,55.5055.5,45.7045.7,33.4033.4
89,1984,26.8026.8,38.3038.3,34.5034.5,48.8048.8,59.1059.1,71.5071.5,72.9072.9,73.5073.5,63.3063.3,58.9058.9,44.2044.2,41.2041.2
90,1985,26.3026.3,33.7033.7,43.1043.1,52.4052.4,63.1063.1,67.0067.0,74.2074.2,72.3072.3,67.3067.3,57.3057.3,49.5049.5,31.7031.7
91,1986,31.3031.3,30.2030.2,42.0042.0,50.5050.5,63.1063.1,69.9069.9,74.5074.5,71.1071.1,65.4065.4,56.2056.2,43.3043.3,37.1037.1
92,1987,30.3030.3,30.4030.4,42.6042.6,50.1050.1,61.1061.1,71.2071.2,76.1076.1,71.3071.3,65.8065.8,50.5050.5,46.4046.4,37.3037.3
93,1988,25.7025.7,33.6033.6,42.2042.2,48.6048.6,60.1060.1,69.5069.5,76.8076.8,76.3076.3,64.5064.5,50.6050.6,46.9046.9,34.3034.3
94,1989,35.6035.6,33.8033.8,40.2040.2,48.9048.9,59.5059.5,71.7071.7,73.4073.4,72.6072.6,67.1067.1,55.6055.6,44.3044.3,24.3024.3
95,1990,39.0039.0,38.8038.8,43.5043.5,50.4050.4,58.9058.9,69.9069.9,75.0075.0,73.4073.4,64.7064.7,59.8059.8,47.6047.6,40.7040.7
96,1991,32.6032.6,38.9038.9,43.5043.5,52.8052.8,65.9065.9,71.5071.5,75.7075.7,75.0075.0,65.2065.2,55.7055.7,46.0046.0,38.5038.5
97,1992,33.7033.7,35.5035.5,38.4038.4,47.9047.9,57.9057.9,67.2067.2,72.8072.8,70.0070.0,65.7065.7,51.6051.6,45.0045.0,35.8035.8
98,1993,36.7036.7,29.8029.8,37.4037.4,50.7050.7,62.0062.0,69.9069.9,76.6076.6,73.8073.8,65.8065.8,53.4053.4,44.6044.6,35.2035.2
99,1994,24.9024.9,29.3029.3,39.4039.4,53.4053.4,59.0059.0,72.2072.2,77.4077.4,70.8070.8,65.2065.2,53.7053.7,49.6049.6,40.3040.3
100,1995,36.8036.8,29.4029.4,43.5043.5,49.2049.2,59.1059.1,69.6069.6,76.4076.4,75.1075.1,66.6066.6,58.9058.9,42.3042.3,31.3031.3
101,1996,30.3030.3,33.4033.4,37.9037.9,50.9050.9,58.8058.8,70.2070.2,72.3072.3,72.4072.4,66.9066.9,54.8054.8,41.0041.0,39.6039.6
102,1997,31.6031.6,39.4039.4,42.2042.2,48.6048.6,57.7057.7,68.3068.3,74.6074.6,71.7071.7,65.5065.5,54.9054.9,43.2043.2,37.2037.2
103,1998,40.3040.3,39.6039.6,44.0044.0,52.4052.4,63.0063.0,68.7068.7,75.2075.2,74.7074.7,68.8068.8,55.8055.8,45.4045.4,41.4041.4
104,1999,34.7034.7,36.6036.6,41.3041.3,51.8051.8,60.4060.4,71.7071.7,78.9078.9,74.6074.6,67.9067.9,54.1054.1,49.4049.4,38.5038.5
105,2000,30.8030.8,36.5036.5,46.0046.0,50.3050.3,62.1062.1,70.7070.7,71.7071.7,72.0072.0,65.9065.9,55.3055.3,44.3044.3,30.5030.5
106,2001,31.1031.1,36.6036.6,38.9038.9,51.6051.6,62.1062.1,71.5071.5,72.5072.5,76.4076.4,65.6065.6,56.0056.0,50.0050.0,42.5042.5
107,2002,38.1038.1,39.5039.5,43.2043.2,54.8054.8,59.3059.3,70.4070.4,76.9076.9,76.2076.2,68.5068.5,55.3055.3,43.9043.9,34.2034.2
108,2003,27.2027.2,29.3029.3,41.9041.9,48.2048.2,57.0057.0,67.6067.6,75.6075.6,76.0076.0,67.6067.6,53.5053.5,49.2049.2,36.7036.7
109,2004,25.6025.6,34.2034.2,43.0043.0,51.9051.9,65.6065.6,70.2070.2,73.5073.5,73.3073.3,68.4068.4,54.5054.5,47.5047.5,36.8036.8
110,2005,31.8031.8,35.6035.6,38.0038.0,52.6052.6,57.1057.1,72.4072.4,76.6076.6,77.4077.4,71.0071.0,57.0057.0,48.9048.9,34.3034.3
111,2006,39.5039.5,35.6035.6,42.4042.4,53.9053.9,61.4061.4,70.5070.5,77.6077.6,75.0075.0,65.2065.2,54.5054.5,50.4050.4,42.8042.8
112,2007,37.6037.6,28.4028.4,41.8041.8,49.0049.0,63.3063.3,70.7070.7,74.1074.1,73.8073.8,68.6068.6,63.0063.0,45.0045.0,36.8036.8
113,2008,35.7035.7,37.3037.3,42.4042.4,52.7052.7,57.8057.8,73.2073.2,76.4076.4,71.7071.7,67.9067.9,54.2054.2,44.9044.9,38.0038.0
114,2009,28.1028.1,36.6036.6,41.2041.2,52.4052.4,61.4061.4,67.7067.7,72.5072.5,75.7075.7,65.4065.4,53.9053.9,50.5050.5,35.7035.7
115,2010,32.2032.2,32.6032.6,46.4046.4,55.8055.8,64.1064.1,74.6074.6,79.3079.3,75.5075.5,69.9069.9,56.7056.7,46.0046.0,32.1032.1
116,2011,28.7028.7,35.6035.6,42.4042.4,54.2054.2,63.3063.3,72.2072.2,79.0079.0,74.5074.5,69.7069.7,56.7056.7,50.0050.0,41.4041.4
117,2012,36.5036.5,39.9039.9,49.8049.8,53.2053.2,64.5064.5,70.2070.2,78.4078.4,75.3075.3,68.0068.0,57.3057.3,42.2042.2,41.2041.2
118,2013,35.2035.2,34.0034.0,39.2039.2,51.4051.4,60.8060.8,71.8071.8,78.8078.8,72.3072.3,65.1065.1,57.6057.6,43.9043.9,37.4037.4
119,2014,27.2027.2,30.4030.4,36.5036.5,50.3050.3,62.0062.0,71.1071.1,74.7074.7,71.6071.6,68.2068.2,57.7057.7,42.6042.6,39.9039.9
120,2015,28.8028.8,23.2023.2,36.8036.8,52.1052.1,65.7065.7,70.6070.6,76.4076.4,75.7075.7,71.5071.5,55.3055.3,50.7050.7,49.2049.2
121,2016,32.2032.2,36.6036.6,47.3047.3,51.2051.2,60.8060.8,70.9070.9,78.0078.0,77.5077.5,70.3070.3,56.7056.7,47.4047.4,37.4037.4
122,2017,37.2037.2,40.8040.8,39.2039.2,55.4055.4,60.5060.5,71.0071.0,75.9075.9,72.1072.1,68.9068.9,61.2061.2,44.9044.9,34.1034.1
123,2018,29.8029.8,40.3040.3,39.3039.3,48.2048.2,65.4065.4,70.4070.4,76.8076.8,77.8077.8,70.9070.9,56.8056.8,43.4043.4,38.4038.4
124,2019,32.9032.9,35.3035.3,40.0040.0,55.1055.1,62.7062.7,71.3071.3,79.1079.1,75.3075.3,70.3070.3,59.1059.1,42.5042.5,37.2037.2
