,Year,Annual
0,1895,47.40833333333347.4
1,1896,48.12548.1
2,1897,48.25833333333348.3
3,1898,49.48333333333349.5
4,1899,48.08333333333348.1
5,1900,49.50833333333349.5
6,1901,47.49166666666747.5
7,1902,47.92547.9
8,1903,47.69166666666747.7
9,1904,44.944.9
10,1905,47.23333333333347.2
11,1906,48.60833333333348.6
12,1907,46.04166666666746.0
13,1908,48.5548.6
14,1909,47.79166666666747.8
15,1910,47.86666666666747.9
16,1911,48.55833333333348.6
17,1912,47.40833333333347.4
18,1913,50.32550.3
19,1914,47.05833333333347.1
20,1915,48.58333333333348.6
21,1916,47.28333333333347.3
22,1917,45.73333333333345.7
23,1918,47.90833333333347.9
24,1919,48.95833333333349.0
25,1920,47.6547.7
26,1921,50.60833333333350.6
27,1922,48.86666666666748.9
28,1923,47.98333333333348.0
29,1924,46.90833333333346.9
30,1925,48.23333333333348.2
31,1926,46.12546.1
32,1927,48.31666666666748.3
33,1928,48.64166666666748.6
34,1929,48.72548.7
35,1930,49.14166666666749.1
36,1931,50.83333333333350.8
37,1932,49.77549.8
38,1933,49.24166666666749.2
39,1934,48.09166666666748.1
40,1935,48.12548.1
41,1936,48.58333333333348.6
42,1937,49.40833333333349.4
43,1938,49.70833333333349.7
44,1939,49.23333333333349.2
45,1940,46.41666666666746.4
46,1941,49.3549.4
47,1942,48.81666666666748.8
48,1943,48.19166666666748.2
49,1944,49.08333333333349.1
50,1945,48.83333333333348.8
51,1946,50.32550.3
52,1947,48.8548.9
53,1948,48.77548.8
54,1949,51.65833333333351.7
55,1950,48.64166666666748.6
56,1951,49.82549.8
57,1952,50.16666666666750.2
58,1953,51.20833333333351.2
59,1954,49.50833333333349.5
60,1955,49.83333333333349.8
61,1956,48.8548.9
62,1957,50.19166666666750.2
63,1958,47.747.7
64,1959,50.50833333333350.5
65,1960,48.6548.7
66,1961,49.23333333333349.2
67,1962,47.97548.0
68,1963,47.97548.0
69,1964,49.04166666666749.0
70,1965,48.648.6
71,1966,48.83333333333348.8
72,1967,47.94166666666747.9
73,1968,48.76666666666748.8
74,1969,48.848.8
75,1970,48.948.9
76,1971,49.30833333333349.3
77,1972,48.39166666666748.4
78,1973,51.05833333333351.1
79,1974,49.42549.4
80,1975,50.18333333333350.2
81,1976,48.24166666666748.2
82,1977,49.10833333333349.1
83,1978,47.847.8
84,1979,49.35833333333349.4
85,1980,49.149.1
86,1981,49.06666666666749.1
87,1982,48.89166666666748.9
88,1983,50.36666666666750.4
89,1984,49.92549.9
90,1985,49.78333333333349.8
91,1986,49.56666666666749.6
92,1987,49.98333333333350.0
93,1988,49.17549.2
94,1989,48.88333333333348.9
95,1990,51.97552.0
96,1991,52.01666666666752.0
97,1992,48.78333333333348.8
98,1993,49.62549.6
99,1994,49.52549.5
100,1995,49.94166666666749.9
101,1996,49.18333333333349.2
102,1997,49.449.4
103,1998,52.86666666666752.9
104,1999,51.65833333333351.7
105,2000,49.59166666666749.6
106,2001,51.25833333333351.3
107,2002,51.70833333333351.7
108,2003,49.23333333333349.2
109,2004,50.42550.4
110,2005,51.0551.1
111,2006,52.53333333333352.5
112,2007,50.83333333333350.8
113,2008,50.77550.8
114,2009,50.21666666666750.2
115,2010,52.3552.4
116,2011,51.99166666666752.0
117,2012,53.47553.5
118,2013,50.84166666666750.8
119,2014,49.47549.5
120,2015,51.0551.1
121,2016,52.64166666666752.6
122,2017,52.08333333333352.1
123,2018,51.38333333333351.4
124,2019,51.12551.1
125,2020,M
126,,Annual
