,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,19.2019.2,27.4027.4,33.5033.5,47.1047.1,59.4059.4,65.8065.8,72.3072.3,71.4071.4,64.8064.8,53.4053.4,42.9042.9,29.6029.6
76,1971,22.0022.0,28.4028.4,35.4035.4,45.8045.8,55.2055.2,67.8067.8,70.7070.7,69.0069.0,65.6065.6,57.0057.0,39.8039.8,35.0035.0
77,1972,29.2029.2,25.4025.4,34.9034.9,44.6044.6,58.6058.6,63.5063.5,72.5072.5,69.3069.3,63.6063.6,47.2047.2,38.5038.5,33.4033.4
78,1973,30.0030.0,27.2027.2,42.4042.4,49.4049.4,55.1055.1,69.8069.8,72.5072.5,72.0072.0,63.6063.6,54.0054.0,42.9042.9,33.8033.8
79,1974,29.2029.2,26.9026.9,37.7037.7,50.3050.3,57.3057.3,64.5064.5,71.5071.5,70.2070.2,61.4061.4,48.0048.0,42.6042.6,33.5033.5
80,1975,31.2031.2,30.7030.7,35.5035.5,43.3043.3,61.6061.6,67.1067.1,71.6071.6,70.1070.1,59.0059.0,54.8054.8,46.3046.3,31.0031.0
81,1976,22.1022.1,33.5033.5,40.0040.0,50.6050.6,56.8056.8,69.3069.3,69.3069.3,69.0069.0,60.5060.5,47.7047.7,36.0036.0,24.1024.1
82,1977,16.8016.8,28.2028.2,42.1042.1,50.0050.0,60.5060.5,65.0065.0,72.2072.2,69.6069.6,63.5063.5,49.9049.9,43.2043.2,28.3028.3
83,1978,23.2023.2,20.4020.4,33.8033.8,47.0047.0,56.5056.5,66.2066.2,69.7069.7,71.3071.3,60.5060.5,50.4050.4,42.6042.6,32.0032.0
84,1979,27.4027.4,18.7018.7,41.0041.0,47.8047.8,59.7059.7,64.5064.5,71.1071.1,70.2070.2,62.5062.5,50.7050.7,45.4045.4,33.3033.3
85,1980,27.9027.9,24.9024.9,35.1035.1,49.7049.7,60.4060.4,64.6064.6,73.0073.0,73.6073.6,65.7065.7,49.9049.9,38.2038.2,26.2026.2
86,1981,19.3019.3,33.7033.7,36.1036.1,51.0051.0,59.1059.1,67.4067.4,72.6072.6,69.0069.0,61.8061.8,48.1048.1,41.7041.7,29.0029.0
87,1982,18.4018.4,29.5029.5,35.7035.7,46.0046.0,60.1060.1,63.6063.6,71.2071.2,66.9066.9,62.3062.3,51.8051.8,44.4044.4,36.8036.8
88,1983,28.4028.4,30.6030.6,40.2040.2,47.3047.3,56.6056.6,67.7067.7,73.7073.7,72.3072.3,64.6064.6,51.9051.9,42.5042.5,28.6028.6
89,1984,22.5022.5,34.5034.5,32.0032.0,47.6047.6,57.2057.2,68.9068.9,70.2070.2,71.6071.6,60.2060.2,56.1056.1,41.6041.6,36.7036.7
90,1985,22.9022.9,29.8029.8,39.5039.5,50.5050.5,61.1061.1,64.0064.0,70.9070.9,69.5069.5,64.5064.5,52.3052.3,44.5044.5,27.9027.9
91,1986,27.6027.6,26.7026.7,38.9038.9,49.0049.0,61.2061.2,65.8065.8,71.2071.2,67.8067.8,61.4061.4,52.7052.7,39.4039.4,33.1033.1
92,1987,26.7026.7,28.1028.1,40.5040.5,49.8049.8,58.8058.8,68.6068.6,73.2073.2,68.3068.3,62.2062.2,47.4047.4,42.2042.2,34.0034.0
93,1988,21.7021.7,28.8028.8,38.6038.6,46.9046.9,58.3058.3,66.7066.7,74.6074.6,73.2073.2,61.1061.1,47.1047.1,43.1043.1,30.0030.0
94,1989,31.1031.1,29.4029.4,37.1037.1,46.2046.2,57.9057.9,68.4068.4,70.8070.8,69.1069.1,63.6063.6,53.0053.0,40.6040.6,19.4019.4
95,1990,34.8034.8,34.6034.6,40.8040.8,48.6048.6,56.2056.2,67.0067.0,72.0072.0,70.5070.5,61.8061.8,56.4056.4,44.5044.5,36.5036.5
96,1991,27.8027.8,34.4034.4,40.7040.7,51.0051.0,64.1064.1,69.1069.1,72.7072.7,71.9071.9,62.6062.6,52.7052.7,42.8042.8,34.4034.4
97,1992,30.1030.1,32.0032.0,35.4035.4,46.2046.2,56.7056.7,64.8064.8,69.6069.6,67.1067.1,62.4062.4,48.3048.3,41.0041.0,31.8031.8
98,1993,31.9031.9,24.8024.8,33.8033.8,48.7048.7,60.3060.3,67.0067.0,73.8073.8,71.4071.4,62.2062.2,49.6049.6,41.1041.1,30.9030.9
99,1994,19.5019.5,24.7024.7,35.6035.6,50.8050.8,57.1057.1,69.8069.8,74.2074.2,68.1068.1,62.1062.1,50.5050.5,46.2046.2,35.7035.7
100,1995,32.6032.6,25.8025.8,41.4041.4,47.4047.4,56.8056.8,67.8067.8,73.3073.3,72.0072.0,62.3062.3,55.2055.2,38.0038.0,26.7026.7
101,1996,25.4025.4,28.7028.7,34.1034.1,48.5048.5,56.6056.6,67.8067.8,69.3069.3,70.2070.2,63.6063.6,52.0052.0,38.4038.4,35.6035.6
102,1997,26.9026.9,35.1035.1,38.0038.0,46.6046.6,55.0055.0,66.0066.0,71.5071.5,68.3068.3,61.6061.6,51.5051.5,39.4039.4,32.9032.9
103,1998,35.3035.3,36.5036.5,41.1041.1,50.4050.4,62.0062.0,66.1066.1,72.1072.1,72.3072.3,65.3065.3,53.0053.0,42.5042.5,37.8037.8
104,1999,28.9028.9,33.1033.1,37.7037.7,49.1049.1,58.5058.5,68.9068.9,76.5076.5,71.6071.6,64.7064.7,50.4050.4,46.0046.0,34.5034.5
