,Year,Annual
0,1895,49.80833333333349.8
1,1896,50.52550.5
2,1897,50.53333333333350.5
3,1898,51.60833333333351.6
4,1899,50.33333333333350.3
5,1900,51.91666666666751.9
6,1901,49.87549.9
7,1902,50.57550.6
8,1903,50.33333333333350.3
9,1904,47.82547.8
10,1905,49.81666666666749.8
11,1906,51.45833333333351.5
12,1907,48.848.8
13,1908,51.25833333333351.3
14,1909,50.57550.6
15,1910,50.4550.5
16,1911,51.26666666666751.3
17,1912,50.04166666666750.0
18,1913,52.80833333333352.8
19,1914,49.83333333333349.8
20,1915,50.97551.0
21,1916,49.8549.9
22,1917,48.32548.3
23,1918,50.43333333333350.4
24,1919,51.55833333333351.6
25,1920,50.05833333333350.1
26,1921,53.04166666666753.0
27,1922,51.41666666666751.4
28,1923,50.61666666666750.6
29,1924,49.37549.4
30,1925,51.07551.1
31,1926,48.87548.9
32,1927,50.89166666666750.9
33,1928,50.81666666666750.8
34,1929,51.351.3
35,1930,51.69166666666751.7
36,1931,53.25833333333353.3
37,1932,52.24166666666752.2
38,1933,51.85833333333351.9
39,1934,50.49166666666750.5
40,1935,50.550.5
41,1936,50.9551.0
42,1937,51.65833333333351.7
43,1938,52.18333333333352.2
44,1939,51.77551.8
45,1940,48.87548.9
46,1941,51.90833333333351.9
47,1942,51.48333333333351.5
48,1943,50.950.9
49,1944,51.49166666666751.5
50,1945,51.52551.5
51,1946,52.62552.6
52,1947,51.251.2
53,1948,51.26666666666751.3
54,1949,53.85833333333353.9
55,1950,51.06666666666751.1
56,1951,52.13333333333352.1
57,1952,52.552.5
58,1953,53.54166666666753.5
59,1954,52.20833333333352.2
60,1955,52.08333333333352.1
61,1956,51.28333333333351.3
62,1957,52.49166666666752.5
63,1958,50.03333333333350.0
64,1959,52.88333333333352.9
65,1960,51.06666666666751.1
66,1961,51.49166666666751.5
67,1962,50.23333333333350.2
68,1963,50.46666666666750.5
69,1964,51.60833333333351.6
70,1965,51.0551.1
71,1966,51.14166666666751.1
72,1967,50.32550.3
73,1968,51.31666666666751.3
74,1969,51.2551.3
75,1970,51.41666666666751.4
76,1971,51.95833333333352.0
77,1972,50.96666666666751.0
78,1973,53.41666666666753.4
79,1974,52.09166666666752.1
80,1975,52.78333333333352.8
81,1976,51.151.1
82,1977,51.81666666666751.8
83,1978,50.23333333333350.2
84,1979,51.62551.6
85,1980,51.63333333333351.6
86,1981,51.48333333333351.5
87,1982,51.41666666666751.4
88,1983,52.62552.6
89,1984,52.22552.2
90,1985,52.552.5
91,1986,52.27552.3
92,1987,52.38333333333352.4
93,1988,51.57551.6
94,1989,51.46666666666751.5
95,1990,54.4554.5
96,1991,54.39166666666754.4
97,1992,51.20833333333351.2
98,1993,52.22552.2
99,1994,52.19166666666752.2
100,1995,52.45833333333352.5
101,1996,51.52551.5
102,1997,52.0552.1
103,1998,55.15833333333355.2
104,1999,54.08333333333354.1
105,2000,52.19166666666752.2
106,2001,53.64166666666753.6
107,2002,54.30833333333354.3
108,2003,51.84166666666751.8
109,2004,53.01666666666753.0
110,2005,53.4553.5
111,2006,54.97555.0
112,2007,53.58333333333353.6
113,2008,53.62553.6
114,2009,52.73333333333352.7
115,2010,54.67554.7
116,2011,54.85833333333354.9
117,2012,55.86666666666755.9
118,2013,53.20833333333353.2
119,2014,51.94166666666751.9
120,2015,53.86666666666753.9
121,2016,54.9555.0
122,2017,54.59166666666754.6
123,2018,54.17554.2
124,2019,54.24166666666754.2
125,2020,M
126,,Annual
