,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,22.4022.4,30.9030.9,36.0036.0,48.8048.8,61.2061.2,68.1068.1,73.7073.7,73.5073.5,67.8067.8,56.1056.1,45.4045.4,33.1033.1
76,1971,25.3025.3,32.1032.1,37.8037.8,47.7047.7,57.2057.2,70.0070.0,72.9072.9,71.3071.3,67.9067.9,59.8059.8,42.6042.6,38.9038.9
77,1972,32.4032.4,29.1029.1,37.8037.8,46.7046.7,59.7059.7,65.7065.7,74.3074.3,71.6071.6,65.9065.9,49.7049.7,41.2041.2,37.5037.5
78,1973,32.6032.6,30.5030.5,44.7044.7,51.0051.0,57.3057.3,71.5071.5,74.5074.5,74.4074.4,66.5066.5,56.1056.1,45.3045.3,36.6036.6
79,1974,33.5033.5,29.9029.9,41.0041.0,52.5052.5,59.2059.2,66.6066.6,73.6073.6,72.6072.6,64.4064.4,50.5050.5,44.7044.7,36.6036.6
80,1975,34.5034.5,33.5033.5,38.3038.3,45.3045.3,63.1063.1,69.1069.1,73.5073.5,73.0073.0,62.2062.2,57.6057.6,48.9048.9,34.4034.4
81,1976,26.0026.0,37.7037.7,43.2043.2,52.8052.8,59.0059.0,71.4071.4,71.8071.8,71.3071.3,63.7063.7,50.0050.0,38.3038.3,28.0028.0
82,1977,19.4019.4,31.5031.5,45.0045.0,52.2052.2,62.3062.3,67.0067.0,74.6074.6,72.8072.8,66.6066.6,52.4052.4,45.9045.9,32.1032.1
83,1978,26.5026.5,22.5022.5,36.4036.4,48.8048.8,57.8057.8,68.4068.4,71.6071.6,74.0074.0,63.4063.4,52.7052.7,45.2045.2,35.5035.5
84,1979,30.4030.4,21.2021.2,43.4043.4,49.2049.2,61.5061.5,66.0066.0,72.9072.9,72.3072.3,65.2065.2,53.1053.1,47.9047.9,36.4036.4
85,1980,30.5030.5,28.0028.0,37.8037.8,51.6051.6,62.4062.4,67.0067.0,75.3075.3,75.6075.6,68.2068.2,52.4052.4,40.8040.8,30.0030.0
86,1981,23.0023.0,36.1036.1,38.2038.2,53.0053.0,60.6060.6,69.9069.9,74.9074.9,71.0071.0,64.4064.4,50.8050.8,43.6043.6,32.3032.3
87,1982,22.2022.2,32.6032.6,38.9038.9,47.7047.7,61.6061.6,66.0066.0,73.7073.7,69.5069.5,64.4064.4,54.1054.1,46.6046.6,39.7039.7
88,1983,31.5031.5,32.6032.6,42.1042.1,49.3049.3,58.6058.6,69.4069.4,75.7075.7,74.4074.4,66.7066.7,54.5054.5,44.9044.9,31.8031.8
89,1984,25.3025.3,37.6037.6,34.5034.5,48.7048.7,59.1059.1,71.1071.1,72.4072.4,73.4073.4,62.6062.6,58.7058.7,43.1043.1,40.2040.2
90,1985,25.4025.4,33.1033.1,42.5042.5,52.9052.9,62.7062.7,66.5066.5,73.4073.4,71.7071.7,66.7066.7,56.0056.0,48.3048.3,30.8030.8
91,1986,30.7030.7,29.6029.6,41.6041.6,50.3050.3,63.1063.1,69.2069.2,74.2074.2,70.4070.4,64.5064.5,55.4055.4,42.4042.4,35.9035.9
92,1987,29.3029.3,30.0030.0,42.2042.2,50.4050.4,61.0061.0,71.1071.1,75.9075.9,71.2071.2,65.4065.4,49.9049.9,45.5045.5,36.7036.7
93,1988,25.0025.0,32.3032.3,41.3041.3,48.5048.5,60.1060.1,68.8068.8,76.5076.5,75.4075.4,63.4063.4,49.3049.3,45.3045.3,33.0033.0
94,1989,34.3034.3,32.4032.4,39.7039.7,48.6048.6,59.4059.4,71.2071.2,73.0073.0,71.8071.8,66.0066.0,55.4055.4,43.1043.1,22.7022.7
95,1990,38.0038.0,38.3038.3,43.3043.3,50.4050.4,58.5058.5,69.2069.2,74.4074.4,72.6072.6,63.9063.9,58.7058.7,46.6046.6,39.5039.5
96,1991,31.6031.6,37.3037.3,43.0043.0,52.4052.4,66.0066.0,70.9070.9,75.0075.0,74.2074.2,64.8064.8,55.1055.1,44.9044.9,37.5037.5
97,1992,32.8032.8,34.6034.6,38.0038.0,48.3048.3,57.7057.7,66.7066.7,72.5072.5,69.4069.4,64.8064.8,50.8050.8,43.9043.9,35.0035.0
98,1993,35.1035.1,28.4028.4,36.6036.6,50.3050.3,61.9061.9,69.3069.3,76.3076.3,73.6073.6,65.1065.1,52.4052.4,43.9043.9,33.8033.8
99,1994,23.7023.7,28.4028.4,38.7038.7,53.7053.7,58.3058.3,72.2072.2,76.8076.8,70.1070.1,64.2064.2,52.7052.7,48.6048.6,38.9038.9
100,1995,35.6035.6,28.8028.8,43.3043.3,49.4049.4,59.0059.0,69.4069.4,76.1076.1,74.3074.3,65.5065.5,57.8057.8,40.5040.5,29.8029.8
101,1996,28.8028.8,32.0032.0,36.5036.5,50.5050.5,58.3058.3,70.1070.1,71.7071.7,71.9071.9,66.2066.2,54.1054.1,39.8039.8,38.4038.4
102,1997,30.3030.3,38.0038.0,41.2041.2,48.4048.4,57.1057.1,67.8067.8,74.0074.0,71.0071.0,64.4064.4,54.2054.2,42.1042.1,36.1036.1
103,1998,38.8038.8,39.1039.1,43.2043.2,52.4052.4,63.3063.3,68.5068.5,74.4074.4,74.1074.1,68.2068.2,55.2055.2,44.7044.7,40.0040.0
