,Year,Annual
0,1895,50.28333333333350.3
1,1896,51.02551.0
2,1897,50.91666666666750.9
3,1898,51.69166666666751.7
4,1899,50.71666666666750.7
5,1900,52.27552.3
6,1901,50.08333333333350.1
7,1902,51.351.3
8,1903,50.89166666666750.9
9,1904,48.80833333333348.8
10,1905,50.29166666666750.3
11,1906,52.22552.2
12,1907,49.44166666666749.4
13,1908,51.81666666666751.8
14,1909,51.37551.4
15,1910,51.251.2
16,1911,51.93333333333351.9
17,1912,50.71666666666750.7
18,1913,53.3553.4
19,1914,50.48333333333350.5
20,1915,51.64166666666751.6
21,1916,50.54166666666750.5
22,1917,49.17549.2
23,1918,50.98333333333351.0
24,1919,52.32552.3
25,1920,50.77550.8
26,1921,53.6553.7
27,1922,52.08333333333352.1
28,1923,51.34166666666751.3
29,1924,50.150.1
30,1925,52.152.1
31,1926,49.87549.9
32,1927,51.75833333333351.8
33,1928,51.32551.3
34,1929,52.09166666666752.1
35,1930,52.37552.4
36,1931,54.17554.2
37,1932,53.04166666666753.0
38,1933,52.72552.7
39,1934,51.32551.3
40,1935,51.24166666666751.2
41,1936,51.65833333333351.7
42,1937,52.36666666666752.4
43,1938,52.9553.0
44,1939,52.552.5
45,1940,49.65833333333349.7
46,1941,52.57552.6
47,1942,52.24166666666752.2
48,1943,51.76666666666751.8
49,1944,52.20833333333352.2
50,1945,52.6552.7
51,1946,53.61666666666753.6
52,1947,52.13333333333352.1
53,1948,52.03333333333352.0
54,1949,54.73333333333354.7
55,1950,52.04166666666752.0
56,1951,53.21666666666753.2
57,1952,53.51666666666753.5
58,1953,54.50833333333354.5
59,1954,53.24166666666753.2
60,1955,52.97553.0
61,1956,52.30833333333352.3
62,1957,53.31666666666753.3
63,1958,50.90833333333350.9
64,1959,53.853.8
65,1960,52.02552.0
66,1961,52.52552.5
67,1962,51.08333333333351.1
68,1963,51.62551.6
69,1964,52.66666666666752.7
70,1965,51.91666666666751.9
71,1966,51.98333333333352.0
72,1967,51.351.3
73,1968,52.29166666666752.3
74,1969,52.06666666666752.1
75,1970,52.34166666666752.3
76,1971,52.97553.0
77,1972,51.90833333333351.9
78,1973,54.21666666666754.2
79,1974,53.11666666666753.1
80,1975,53.76666666666753.8
81,1976,52.14166666666752.1
82,1977,52.852.8
83,1978,51.11666666666751.1
84,1979,52.41666666666752.4
85,1980,52.35833333333352.4
86,1981,52.36666666666752.4
87,1982,52.41666666666752.4
88,1983,53.43333333333353.4
89,1984,53.09166666666753.1
90,1985,53.46666666666753.5
91,1986,53.25833333333353.3
92,1987,53.01666666666753.0
93,1988,52.352.3
94,1989,52.36666666666752.4
95,1990,55.35833333333355.4
96,1991,55.20833333333355.2
97,1992,51.82551.8
98,1993,53.00833333333353.0
99,1994,53.10833333333353.1
100,1995,53.14166666666753.1
101,1996,52.26666666666752.3
102,1997,52.81666666666752.8
103,1998,55.8555.9
104,1999,54.82554.8
105,2000,53.00833333333353.0
106,2001,54.454.4
107,2002,54.954.9
108,2003,52.62552.6
109,2004,53.84166666666753.8
110,2005,54.06666666666754.1
111,2006,55.61666666666755.6
112,2007,54.45833333333354.5
113,2008,54.51666666666754.5
114,2009,53.553.5
115,2010,55.31666666666755.3
116,2011,55.78333333333355.8
117,2012,56.59166666666756.6
118,2013,53.89166666666753.9
119,2014,52.67552.7
120,2015,54.73333333333354.7
121,2016,55.49166666666755.5
122,2017,55.20833333333355.2
123,2018,5555.0
124,2019,55.21666666666755.2
125,2020,M
126,,Annual
