,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,24.2024.2,32.9032.9,37.0037.0,48.8048.8,60.8060.8,68.6068.6,73.8073.8,73.9073.9,69.0069.0,57.0057.0,47.0047.0,35.1035.1
76,1971,27.1027.1,34.0034.0,38.9038.9,47.8047.8,57.3057.3,69.8069.8,73.2073.2,72.3072.3,69.1069.1,61.1061.1,44.1044.1,41.0041.0
77,1972,33.9033.9,31.1031.1,39.1039.1,46.8046.8,59.0059.0,66.1066.1,74.6074.6,72.1072.1,67.0067.0,50.5050.5,42.8042.8,39.9039.9
78,1973,33.8033.8,32.1032.1,45.4045.4,51.5051.5,57.6057.6,71.4071.4,74.9074.9,74.8074.8,67.7067.7,56.6056.6,46.6046.6,38.2038.2
79,1974,35.8035.8,31.1031.1,42.3042.3,52.8052.8,59.1059.1,66.8066.8,74.1074.1,73.3073.3,65.5065.5,51.8051.8,46.5046.5,38.3038.3
80,1975,36.2036.2,35.1035.1,39.2039.2,45.6045.6,62.5062.5,69.3069.3,73.9073.9,73.7073.7,63.9063.9,58.9058.9,50.4050.4,36.5036.5
81,1976,27.8027.8,39.6039.6,44.6044.6,53.0053.0,59.7059.7,71.5071.5,72.5072.5,72.1072.1,64.9064.9,50.8050.8,39.5039.5,29.7029.7
82,1977,20.6020.6,33.0033.0,46.1046.1,52.5052.5,62.1062.1,67.6067.6,75.1075.1,73.9073.9,67.8067.8,53.5053.5,47.2047.2,34.2034.2
83,1978,28.3028.3,23.9023.9,37.5037.5,48.8048.8,57.2057.2,68.7068.7,71.9071.9,74.6074.6,64.2064.2,53.8053.8,47.1047.1,37.4037.4
84,1979,32.4032.4,22.5022.5,43.9043.9,49.0049.0,61.3061.3,65.9065.9,72.9072.9,73.0073.0,66.2066.2,54.3054.3,49.1049.1,38.5038.5
85,1980,31.8031.8,29.6029.6,39.1039.1,51.6051.6,62.6062.6,67.5067.5,75.5075.5,75.4075.4,68.5068.5,53.4053.4,41.7041.7,31.6031.6
86,1981,24.8024.8,36.8036.8,38.5038.5,53.4053.4,60.8060.8,70.2070.2,75.7075.7,71.5071.5,65.6065.6,52.0052.0,45.1045.1,34.0034.0
87,1982,24.1024.1,34.9034.9,40.1040.1,48.0048.0,61.4061.4,66.6066.6,74.1074.1,70.4070.4,65.3065.3,55.0055.0,47.7047.7,41.4041.4
88,1983,33.1033.1,34.0034.0,42.3042.3,49.8049.8,58.8058.8,69.9069.9,76.2076.2,74.5074.5,67.2067.2,55.6055.6,46.0046.0,33.8033.8
89,1984,27.1027.1,38.8038.8,35.2035.2,48.6048.6,59.2059.2,71.8071.8,73.3073.3,73.9073.9,63.4063.4,59.6059.6,44.4044.4,41.8041.8
90,1985,26.7026.7,34.6034.6,43.3043.3,52.7052.7,62.8062.8,66.9066.9,74.3074.3,72.2072.2,67.7067.7,57.6057.6,50.6050.6,32.2032.2
91,1986,32.4032.4,31.1031.1,42.4042.4,50.1050.1,63.0063.0,69.8069.8,74.6074.6,71.4071.4,65.9065.9,56.8056.8,43.9043.9,37.7037.7
92,1987,30.6030.6,30.5030.5,42.6042.6,50.0050.0,61.4061.4,71.2071.2,76.4076.4,71.5071.5,66.5066.5,50.9050.9,47.3047.3,37.3037.3
93,1988,26.6026.6,33.9033.9,42.2042.2,48.2048.2,60.2060.2,68.9068.9,76.6076.6,75.8075.8,64.3064.3,50.2050.2,46.4046.4,34.3034.3
94,1989,36.0036.0,33.9033.9,40.2040.2,48.6048.6,59.0059.0,72.2072.2,73.6073.6,73.0073.0,67.2067.2,56.1056.1,44.6044.6,24.0024.0
95,1990,39.5039.5,40.0040.0,44.2044.2,50.1050.1,59.2059.2,69.8069.8,75.1075.1,73.4073.4,64.7064.7,59.9059.9,47.5047.5,40.9040.9
96,1991,33.6033.6,39.0039.0,43.2043.2,52.5052.5,65.6065.6,70.7070.7,75.6075.6,75.1075.1,65.7065.7,56.2056.2,46.3046.3,39.0039.0
97,1992,33.7033.7,35.6035.6,38.4038.4,48.1048.1,57.2057.2,66.5066.5,73.1073.1,70.1070.1,66.0066.0,52.3052.3,44.7044.7,36.2036.2
98,1993,36.7036.7,30.2030.2,37.9037.9,49.7049.7,61.3061.3,69.4069.4,76.7076.7,74.1074.1,66.1066.1,53.6053.6,45.1045.1,35.3035.3
99,1994,26.4026.4,30.3030.3,39.8039.8,53.7053.7,58.4058.4,71.8071.8,77.2077.2,70.0070.0,65.1065.1,53.7053.7,49.9049.9,41.0041.0
100,1995,37.1037.1,29.7029.7,43.2043.2,49.2049.2,58.8058.8,69.0069.0,76.5076.5,74.8074.8,66.4066.4,58.8058.8,42.5042.5,31.7031.7
101,1996,30.4030.4,34.5034.5,37.2037.2,50.0050.0,58.4058.4,70.0070.0,72.0072.0,72.4072.4,67.9067.9,55.1055.1,39.9039.9,39.4039.4
102,1997,32.0032.0,39.3039.3,41.6041.6,48.2048.2,57.2057.2,67.3067.3,74.4074.4,72.0072.0,65.5065.5,55.2055.2,43.6043.6,37.5037.5
103,1998,40.7040.7,40.2040.2,44.2044.2,52.6052.6,62.9062.9,68.5068.5,74.9074.9,74.4074.4,69.4069.4,55.7055.7,45.4045.4,41.3041.3
104,1999,34.8034.8,35.8035.8,40.7040.7,51.2051.2,60.7060.7,70.8070.8,78.9078.9,74.2074.2,68.1068.1,54.1054.1,49.9049.9,38.7038.7
105,2000,31.7031.7,36.4036.4,46.1046.1,50.0050.0,62.5062.5,70.9070.9,71.5071.5,71.9071.9,65.8065.8,55.4055.4,43.5043.5,30.4030.4
106,2001,31.1031.1,35.9035.9,39.1039.1,51.4051.4,62.2062.2,71.9071.9,71.6071.6,76.2076.2,65.7065.7,55.9055.9,50.0050.0,41.8041.8
107,2002,38.2038.2,38.6038.6,42.8042.8,54.3054.3,59.5059.5,69.9069.9,76.4076.4,75.8075.8,68.1068.1,55.9055.9,44.1044.1,35.2035.2
108,2003,27.6027.6,29.7029.7,42.4042.4,48.2048.2,56.4056.4,67.8067.8,75.2075.2,75.6075.6,68.1068.1,54.2054.2,49.7049.7,36.6036.6
109,2004,25.9025.9,34.7034.7,43.1043.1,52.0052.0,65.7065.7,69.9069.9,74.1074.1,73.0073.0,68.6068.6,54.6054.6,47.0047.0,37.5037.5
110,2005,31.9031.9,35.3035.3,38.2038.2,51.8051.8,56.0056.0,71.8071.8,76.5076.5,77.2077.2,70.4070.4,56.9056.9,48.5048.5,34.3034.3
111,2006,39.9039.9,35.2035.2,42.4042.4,53.4053.4,61.0061.0,70.6070.6,77.3077.3,75.0075.0,65.1065.1,54.5054.5,50.8050.8,42.2042.2
112,2007,38.1038.1,29.5029.5,42.0042.0,49.0049.0,62.8062.8,70.4070.4,73.9073.9,73.8073.8,68.5068.5,63.0063.0,44.9044.9,37.6037.6
113,2008,36.2036.2,37.6037.6,42.7042.7,52.3052.3,58.1058.1,73.3073.3,76.3076.3,71.7071.7,67.8067.8,54.8054.8,44.7044.7,38.7038.7
114,2009,28.8028.8,36.7036.7,41.1041.1,52.2052.2,61.3061.3,67.3067.3,72.7072.7,75.9075.9,65.4065.4,54.3054.3,50.1050.1,36.2036.2
115,2010,32.3032.3,31.9031.9,46.5046.5,55.7055.7,63.9063.9,74.2074.2,79.1079.1,75.6075.6,70.1070.1,57.1057.1,45.9045.9,31.5031.5
116,2011,28.8028.8,36.8036.8,41.8041.8,54.2054.2,63.4063.4,72.4072.4,78.9078.9,74.3074.3,69.9069.9,56.9056.9,50.3050.3,41.7041.7
117,2012,37.2037.2,39.9039.9,50.0050.0,53.0053.0,64.8064.8,70.3070.3,78.3078.3,75.4075.4,68.0068.0,57.8057.8,42.4042.4,42.0042.0
118,2013,35.4035.4,34.4034.4,39.0039.0,51.3051.3,60.6060.6,71.4071.4,78.2078.2,71.9071.9,64.9064.9,57.7057.7,44.0044.0,37.9037.9
119,2014,27.9027.9,31.3031.3,36.8036.8,50.0050.0,61.7061.7,70.9070.9,74.2074.2,71.1071.1,67.6067.6,57.5057.5,43.1043.1,40.0040.0
120,2015,29.7029.7,24.1024.1,37.1037.1,51.6051.6,65.6065.6,70.5070.5,75.8075.8,75.1075.1,71.2071.2,55.4055.4,50.9050.9,49.8049.8
121,2016,32.8032.8,37.0037.0,47.3047.3,50.5050.5,60.1060.1,70.8070.8,77.5077.5,77.3077.3,70.3070.3,57.2057.2,47.4047.4,37.7037.7
