,Year,Annual
0,1895,47.46666666666747.5
1,1896,48.22548.2
2,1897,48.38333333333348.4
3,1898,49.55833333333349.6
4,1899,48.37548.4
5,1900,49.70833333333349.7
6,1901,47.76666666666747.8
7,1902,48.19166666666748.2
8,1903,48.02548.0
9,1904,45.26666666666745.3
10,1905,47.59166666666747.6
11,1906,49.04166666666749.0
12,1907,46.53333333333346.5
13,1908,48.9549.0
14,1909,48.16666666666748.2
15,1910,48.30833333333348.3
16,1911,48.77548.8
17,1912,47.81666666666747.8
18,1913,50.53333333333350.5
19,1914,47.3547.4
20,1915,48.948.9
21,1916,47.49166666666747.5
22,1917,45.84166666666745.8
23,1918,48.06666666666748.1
24,1919,49.05833333333349.1
25,1920,47.71666666666747.7
26,1921,50.70833333333350.7
27,1922,48.96666666666749.0
28,1923,48.24166666666748.2
29,1924,47.22547.2
30,1925,48.42548.4
31,1926,46.3546.4
32,1927,48.5548.6
33,1928,48.87548.9
34,1929,48.98333333333349.0
35,1930,49.45833333333349.5
36,1931,51.02551.0
37,1932,50.03333333333350.0
38,1933,49.41666666666749.4
39,1934,48.19166666666748.2
40,1935,48.23333333333348.2
41,1936,48.84166666666748.8
42,1937,49.7549.8
43,1938,49.85833333333349.9
44,1939,49.449.4
45,1940,46.57546.6
46,1941,49.59166666666749.6
47,1942,49.04166666666749.0
48,1943,48.40833333333348.4
49,1944,49.15833333333349.2
50,1945,49.10833333333349.1
51,1946,50.37550.4
52,1947,48.8548.9
53,1948,48.86666666666748.9
54,1949,51.57551.6
55,1950,48.52548.5
56,1951,49.86666666666749.9
57,1952,50.23333333333350.2
58,1953,51.23333333333351.2
59,1954,49.60833333333349.6
60,1955,49.92549.9
61,1956,48.86666666666748.9
62,1957,50.15833333333350.2
63,1958,47.79166666666747.8
64,1959,50.49166666666750.5
65,1960,48.86666666666748.9
66,1961,49.48333333333349.5
67,1962,48.0548.1
68,1963,48.04166666666748.0
69,1964,49.22549.2
70,1965,48.77548.8
71,1966,49.249.2
72,1967,48.2548.3
73,1968,48.98333333333349.0
74,1969,49.06666666666749.1
75,1970,49.01666666666749.0
76,1971,49.46666666666749.5
77,1972,48.54166666666748.5
78,1973,51.17551.2
79,1974,49.5549.6
80,1975,50.38333333333350.4
81,1976,48.56666666666748.6
82,1977,49.28333333333349.3
83,1978,47.93333333333347.9
84,1979,49.549.5
85,1980,49.37549.4
86,1981,49.33333333333349.3
87,1982,49.01666666666749.0
88,1983,50.45833333333350.5
89,1984,50.12550.1
90,1985,50.16666666666750.2
91,1986,49.89166666666749.9
92,1987,50.05833333333350.1
93,1988,49.38333333333349.4
94,1989,49.17549.2
95,1990,52.32552.3
96,1991,52.47552.5
97,1992,49.11666666666749.1
98,1993,49.949.9
99,1994,49.83333333333349.8
100,1995,50.21666666666750.2
101,1996,49.32549.3
102,1997,49.7549.8
103,1998,53.09166666666753.1
104,1999,51.89166666666751.9
105,2000,49.77549.8
106,2001,51.52551.5
107,2002,51.95833333333352.0
108,2003,49.40833333333349.4
109,2004,50.68333333333350.7
110,2005,51.20833333333351.2
111,2006,52.80833333333352.8
112,2007,51.02551.0
113,2008,51.03333333333351.0
114,2009,50.31666666666750.3
115,2010,52.57552.6
116,2011,52.12552.1
117,2012,53.653.6
118,2013,50.96666666666751.0
119,2014,49.849.8
120,2015,51.25833333333351.3
121,2016,52.76666666666752.8
122,2017,52.12552.1
123,2018,51.58333333333351.6
124,2019,51.36666666666751.4
125,2020,M
126,,Annual
