,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Passaic,19.3019.3,27.7027.7,33.5033.5,47.2047.2,59.5059.5,66.0066.0,72.3072.3,71.8071.8,64.9064.9,53.5053.5,42.9042.9,29.6029.6
76,1971,Passaic,22.0022.0,28.5028.5,35.2035.2,45.8045.8,55.4055.4,68.2068.2,71.0071.0,69.5069.5,65.8065.8,57.2057.2,39.8039.8,35.2035.2
77,1972,Passaic,29.4029.4,25.7025.7,34.6034.6,44.8044.8,58.9058.9,63.8063.8,72.7072.7,69.5069.5,63.8063.8,47.5047.5,38.3038.3,33.5033.5
78,1973,Passaic,30.2030.2,27.2027.2,42.2042.2,49.4049.4,55.1055.1,69.7069.7,72.6072.6,72.6072.6,63.8063.8,54.3054.3,43.0043.0,34.0034.0
79,1974,Passaic,29.2029.2,26.8026.8,37.8037.8,50.5050.5,57.3057.3,64.7064.7,71.7071.7,70.6070.6,61.5061.5,48.2048.2,42.5042.5,33.8033.8
80,1975,Passaic,31.5031.5,31.1031.1,35.6035.6,43.4043.4,62.1062.1,67.2067.2,71.9071.9,70.2070.2,59.3059.3,54.9054.9,46.4046.4,31.0031.0
81,1976,Passaic,22.2022.2,33.8033.8,39.8039.8,51.0051.0,57.1057.1,69.5069.5,69.6069.6,69.6069.6,61.0061.0,48.0048.0,36.6036.6,24.6024.6
82,1977,Passaic,17.2017.2,28.3028.3,42.0042.0,49.8049.8,60.8060.8,65.2065.2,72.6072.6,70.0070.0,63.7063.7,50.0050.0,43.1043.1,28.7028.7
83,1978,Passaic,23.5023.5,20.6020.6,33.7033.7,47.0047.0,56.6056.6,66.4066.4,69.9069.9,71.7071.7,60.6060.6,50.6050.6,42.4042.4,32.2032.2
84,1979,Passaic,27.3027.3,18.6018.6,40.8040.8,47.6047.6,60.0060.0,64.9064.9,71.6071.6,70.6070.6,62.5062.5,51.2051.2,45.4045.4,33.5033.5
85,1980,Passaic,27.9027.9,25.0025.0,35.0035.0,50.0050.0,61.3061.3,65.3065.3,73.5073.5,74.2074.2,65.7065.7,50.0050.0,38.6038.6,26.0026.0
86,1981,Passaic,19.3019.3,33.6033.6,36.5036.5,51.2051.2,59.5059.5,67.8067.8,73.3073.3,69.4069.4,62.0062.0,48.2048.2,41.8041.8,29.4029.4
87,1982,Passaic,18.2018.2,29.4029.4,35.8035.8,46.4046.4,60.3060.3,63.6063.6,71.5071.5,67.1067.1,62.4062.4,51.8051.8,44.8044.8,36.9036.9
88,1983,Passaic,28.4028.4,30.6030.6,40.1040.1,47.5047.5,56.7056.7,67.9067.9,73.6073.6,72.3072.3,65.0065.0,52.0052.0,42.5042.5,28.9028.9
89,1984,Passaic,22.7022.7,34.6034.6,31.9031.9,47.8047.8,57.4057.4,69.2069.2,70.5070.5,72.1072.1,60.3060.3,56.1056.1,41.8041.8,37.1037.1
90,1985,Passaic,23.0023.0,30.1030.1,39.6039.6,51.2051.2,61.5061.5,64.6064.6,71.4071.4,70.0070.0,64.7064.7,52.6052.6,44.7044.7,28.6028.6
91,1986,Passaic,27.9027.9,26.7026.7,39.0039.0,49.6049.6,61.9061.9,66.5066.5,72.0072.0,68.3068.3,61.7061.7,52.6052.6,39.4039.4,33.1033.1
92,1987,Passaic,26.4026.4,27.7027.7,40.2040.2,49.9049.9,58.8058.8,68.8068.8,73.6073.6,68.7068.7,62.7062.7,47.7047.7,42.0042.0,34.2034.2
93,1988,Passaic,22.0022.0,28.6028.6,38.4038.4,47.0047.0,58.4058.4,67.3067.3,75.1075.1,73.7073.7,61.7061.7,47.3047.3,43.2043.2,29.9029.9
94,1989,Passaic,31.3031.3,29.3029.3,37.2037.2,46.5046.5,58.4058.4,68.6068.6,71.2071.2,69.7069.7,64.0064.0,53.4053.4,40.9040.9,19.6019.6
95,1990,Passaic,35.1035.1,34.5034.5,40.7040.7,49.0049.0,56.4056.4,67.8067.8,72.5072.5,71.2071.2,62.5062.5,56.8056.8,44.6044.6,36.8036.8
96,1991,Passaic,27.9027.9,34.5034.5,41.0041.0,51.4051.4,64.4064.4,69.8069.8,73.5073.5,72.7072.7,63.3063.3,53.3053.3,43.2043.2,34.7034.7
