,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Salem,24.5024.5,32.8032.8,37.8037.8,50.4050.4,63.3063.3,70.2070.2,75.1075.1,75.1075.1,70.5070.5,58.6058.6,46.8046.8,35.3035.3
76,1971,Salem,27.3027.3,34.2034.2,39.8039.8,50.0050.0,59.3059.3,72.1072.1,74.7074.7,72.9072.9,69.7069.7,62.0062.0,44.7044.7,41.2041.2
77,1972,Salem,34.7034.7,31.4031.4,40.1040.1,48.5048.5,61.2061.2,67.3067.3,75.6075.6,73.6073.6,67.3067.3,51.9051.9,42.9042.9,39.9039.9
78,1973,Salem,34.2034.2,32.8032.8,46.8046.8,52.2052.2,59.4059.4,73.6073.6,76.1076.1,76.3076.3,68.6068.6,57.9057.9,46.8046.8,37.8037.8
79,1974,Salem,36.4036.4,31.5031.5,43.4043.4,54.4054.4,61.3061.3,68.4068.4,75.6075.6,75.0075.0,66.2066.2,52.5052.5,45.8045.8,38.5038.5
80,1975,Salem,36.8036.8,35.2035.2,40.2040.2,47.2047.2,64.4064.4,70.9070.9,75.0075.0,75.4075.4,64.4064.4,59.4059.4,50.2050.2,36.1036.1
81,1976,Salem,28.5028.5,40.4040.4,45.9045.9,54.6054.6,60.9060.9,73.3073.3,73.6073.6,73.1073.1,65.9065.9,51.6051.6,39.5039.5,30.3030.3
82,1977,Salem,21.0021.0,33.4033.4,47.6047.6,55.0055.0,64.4064.4,68.9068.9,76.4076.4,75.2075.2,69.0069.0,54.0054.0,47.1047.1,34.1034.1
83,1978,Salem,27.9027.9,22.9022.9,38.1038.1,50.9050.9,59.8059.8,70.7070.7,73.3073.3,76.3076.3,66.0066.0,54.3054.3,46.7046.7,37.9037.9
84,1979,Salem,32.0032.0,22.4022.4,45.4045.4,50.1050.1,63.2063.2,67.6067.6,74.5074.5,74.2074.2,67.5067.5,54.5054.5,49.6049.6,38.1038.1
85,1980,Salem,32.0032.0,29.7029.7,39.6039.6,53.6053.6,64.4064.4,68.8068.8,77.5077.5,77.5077.5,70.6070.6,54.4054.4,42.7042.7,33.0033.0
86,1981,Salem,25.7025.7,37.7037.7,40.0040.0,54.8054.8,62.0062.0,72.2072.2,76.5076.5,72.7072.7,66.1066.1,52.8052.8,44.8044.8,34.0034.0
87,1982,Salem,24.4024.4,34.1034.1,41.2041.2,49.8049.8,63.6063.6,68.4068.4,76.2076.2,71.4071.4,66.2066.2,55.9055.9,48.0048.0,41.7041.7
88,1983,Salem,33.8033.8,33.7033.7,44.1044.1,51.3051.3,60.6060.6,71.2071.2,77.4077.4,76.6076.6,68.7068.7,56.6056.6,46.4046.4,33.1033.1
89,1984,Salem,26.3026.3,39.1039.1,36.0036.0,50.2050.2,61.0061.0,73.0073.0,74.0074.0,75.0075.0,64.2064.2,61.1061.1,44.1044.1,42.3042.3
90,1985,Salem,27.3027.3,35.6035.6,44.9044.9,55.6055.6,64.4064.4,68.9068.9,75.4075.4,73.4073.4,68.5068.5,58.3058.3,50.5050.5,32.7032.7
91,1986,Salem,32.4032.4,31.6031.6,43.5043.5,52.0052.0,65.1065.1,72.0072.0,76.7076.7,72.3072.3,66.8066.8,57.1057.1,44.1044.1,37.4037.4
92,1987,Salem,31.0031.0,31.5031.5,44.2044.2,51.6051.6,62.8062.8,73.7073.7,78.7078.7,74.0074.0,67.8067.8,51.7051.7,47.4047.4,38.6038.6
93,1988,Salem,27.2027.2,34.6034.6,43.3043.3,50.0050.0,62.0062.0,71.0071.0,78.6078.6,77.2077.2,65.3065.3,50.7050.7,46.5046.5,34.8034.8
94,1989,Salem,36.0036.0,34.4034.4,41.3041.3,50.7050.7,61.0061.0,73.4073.4,75.0075.0,73.5073.5,67.8067.8,57.3057.3,44.6044.6,24.5024.5
95,1990,Salem,40.0040.0,41.0041.0,45.4045.4,52.6052.6,60.6060.6,71.2071.2,76.5076.5,74.0074.0,65.8065.8,60.3060.3,48.1048.1,41.1041.1
96,1991,Salem,34.0034.0,39.3039.3,45.0045.0,53.8053.8,68.3068.3,73.0073.0,76.8076.8,75.9075.9,66.8066.8,56.8056.8,45.6045.6,39.3039.3
97,1992,Salem,34.9034.9,36.6036.6,40.5040.5,50.8050.8,59.2059.2,68.6068.6,75.3075.3,71.1071.1,66.7066.7,52.6052.6,46.0046.0,37.4037.4
98,1993,Salem,37.2037.2,30.6030.6,38.8038.8,51.9051.9,64.0064.0,71.4071.4,78.4078.4,76.1076.1,67.6067.6,54.7054.7,46.1046.1,35.6035.6
99,1994,Salem,26.0026.0,31.0031.0,41.0041.0,56.9056.9,59.4059.4,74.6074.6,78.7078.7,71.9071.9,66.0066.0,54.4054.4,50.4050.4,40.7040.7
100,1995,Salem,37.5037.5,31.0031.0,45.2045.2,51.8051.8,61.4061.4,71.3071.3,78.2078.2,76.3076.3,67.9067.9,59.6059.6,41.8041.8,31.6031.6
101,1996,Salem,30.9030.9,34.0034.0,38.5038.5,52.4052.4,59.7059.7,72.2072.2,73.6073.6,73.4073.4,67.8067.8,55.6055.6,40.9040.9,39.8039.8
102,1997,Salem,32.5032.5,39.7039.7,43.8043.8,50.4050.4,58.8058.8,69.7069.7,76.1076.1,73.2073.2,66.1066.1,56.2056.2,44.1044.1,38.1038.1
103,1998,Salem,40.8040.8,40.9040.9,44.7044.7,54.7054.7,65.1065.1,70.8070.8,76.0076.0,75.6075.6,70.7070.7,57.0057.0,46.9046.9,41.5041.5
104,1999,Salem,35.8035.8,37.1037.1,41.6041.6,52.9052.9,62.8062.8,71.8071.8,79.4079.4,75.8075.8,68.6068.6,54.7054.7,50.4050.4,39.6039.6
105,2000,Salem,32.0032.0,37.5037.5,47.6047.6,51.7051.7,64.1064.1,72.2072.2,72.9072.9,72.9072.9,65.6065.6,57.1057.1,44.4044.4,30.3030.3
106,2001,Salem,31.9031.9,37.1037.1,40.2040.2,53.3053.3,63.2063.2,72.9072.9,72.8072.8,77.2077.2,65.9065.9,57.3057.3,50.5050.5,42.8042.8
107,2002,Salem,38.4038.4,40.3040.3,45.1045.1,56.3056.3,61.8061.8,72.2072.2,77.8077.8,77.8077.8,70.1070.1,56.6056.6,44.8044.8,35.0035.0
108,2003,Salem,29.0029.0,30.2030.2,43.8043.8,51.3051.3,58.4058.4,69.3069.3,76.2076.2,76.6076.6,69.0069.0,54.9054.9,50.6050.6,36.9036.9
109,2004,Salem,26.6026.6,35.0035.0,45.2045.2,54.0054.0,69.0069.0,70.7070.7,75.2075.2,73.8073.8,69.5069.5,55.4055.4,48.1048.1,38.0038.0
110,2005,Salem,32.8032.8,36.2036.2,39.5039.5,54.7054.7,58.5058.5,73.4073.4,77.8077.8,77.9077.9,72.5072.5,58.0058.0,49.4049.4,34.8034.8
