,Year,Annual
0,1895,49.23333333333349.2
1,1896,49.64166666666749.6
2,1897,49.86666666666749.9
3,1898,50.96666666666751.0
4,1899,49.68333333333349.7
5,1900,51.251.2
6,1901,49.03333333333349.0
7,1902,49.57549.6
8,1903,49.35833333333349.4
9,1904,46.63333333333346.6
10,1905,48.86666666666748.9
11,1906,50.30833333333350.3
12,1907,47.68333333333347.7
13,1908,50.22550.2
14,1909,49.51666666666749.5
15,1910,49.45833333333349.5
16,1911,50.24166666666750.2
17,1912,49.0549.1
18,1913,51.9552.0
19,1914,48.76666666666748.8
20,1915,50.01666666666750.0
21,1916,48.66666666666748.7
22,1917,47.247.2
23,1918,49.38333333333349.4
24,1919,50.63333333333350.6
25,1920,49.25833333333349.3
26,1921,52.20833333333352.2
27,1922,50.50833333333350.5
28,1923,49.60833333333349.6
29,1924,48.31666666666748.3
30,1925,49.89166666666749.9
31,1926,47.747.7
32,1927,49.94166666666749.9
33,1928,49.96666666666750.0
34,1929,50.22550.2
35,1930,50.67550.7
36,1931,52.36666666666752.4
37,1932,51.34166666666751.3
38,1933,50.76666666666750.8
39,1934,49.7549.8
40,1935,49.89166666666749.9
41,1936,50.33333333333350.3
42,1937,50.87550.9
43,1938,51.42551.4
44,1939,51.07551.1
45,1940,48.04166666666748.0
46,1941,51.11666666666751.1
47,1942,50.56666666666750.6
48,1943,50.20833333333350.2
49,1944,50.86666666666750.9
50,1945,50.74166666666750.7
51,1946,52.01666666666752.0
52,1947,50.59166666666750.6
53,1948,50.60833333333350.6
54,1949,53.37553.4
55,1950,50.40833333333350.4
56,1951,51.41666666666751.4
57,1952,51.80833333333351.8
58,1953,52.82552.8
59,1954,51.451.4
60,1955,51.46666666666751.5
61,1956,50.60833333333350.6
62,1957,51.92551.9
63,1958,49.41666666666749.4
64,1959,52.27552.3
65,1960,50.4550.5
66,1961,50.92550.9
67,1962,49.649.6
68,1963,49.91666666666749.9
69,1964,51.00833333333351.0
70,1965,50.550.5
71,1966,50.67550.7
72,1967,49.77549.8
73,1968,50.77550.8
74,1969,50.850.8
75,1970,50.850.8
76,1971,51.3551.4
77,1972,50.450.4
78,1973,52.89166666666752.9
79,1974,51.47551.5
80,1975,52.17552.2
81,1976,50.36666666666750.4
82,1977,51.00833333333351.0
83,1978,49.64166666666749.6
84,1979,51.17551.2
85,1980,51.17551.2
86,1981,50.94166666666750.9
87,1982,50.87550.9
88,1983,52.26666666666752.3
89,1984,51.60833333333351.6
90,1985,51.851.8
91,1986,51.651.6
92,1987,51.83333333333351.8
93,1988,51.15833333333351.2
94,1989,50.79166666666750.8
95,1990,53.72553.7
96,1991,53.69166666666753.7
97,1992,50.61666666666750.6
98,1993,51.58333333333351.6
99,1994,51.52551.5
100,1995,51.89166666666751.9
101,1996,51.15833333333351.2
102,1997,51.45833333333351.5
103,1998,54.73333333333354.7
104,1999,53.67553.7
105,2000,51.70833333333351.7
106,2001,53.12553.1
107,2002,53.66666666666753.7
108,2003,51.18333333333351.2
109,2004,52.30833333333352.3
110,2005,52.97553.0
111,2006,54.42554.4
112,2007,52.78333333333352.8
113,2008,52.93333333333352.9
114,2009,52.13333333333352.1
115,2010,54.28333333333354.3
116,2011,54.21666666666754.2
117,2012,55.3555.4
118,2013,52.8552.9
119,2014,51.33333333333351.3
120,2015,53.35833333333353.4
121,2016,54.63333333333354.6
122,2017,54.02554.0
123,2018,53.39166666666753.4
124,2019,53.41666666666753.4
125,2020,M
126,,Annual
