,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,21.2021.2,29.8029.8,35.4035.4,48.7048.7,61.0061.0,67.6067.6,74.0074.0,73.2073.2,66.9066.9,55.2055.2,44.7044.7,31.9031.9
76,1971,24.2024.2,31.1031.1,37.5037.5,47.6047.6,56.8056.8,69.8069.8,72.6072.6,71.0071.0,67.6067.6,58.9058.9,41.6041.6,37.5037.5
77,1972,31.4031.4,27.8027.8,37.1037.1,46.6046.6,59.9059.9,65.4065.4,74.3074.3,71.2071.2,65.7065.7,49.0049.0,40.6040.6,35.8035.8
78,1973,31.8031.8,29.7029.7,44.2044.2,50.7050.7,56.9056.9,71.5071.5,74.3074.3,73.9073.9,65.8065.8,55.4055.4,44.7044.7,35.8035.8
79,1974,31.8031.8,29.3029.3,40.0040.0,52.0052.0,59.0059.0,66.3066.3,73.5073.5,72.3072.3,63.8063.8,49.7049.7,44.2044.2,35.8035.8
80,1975,33.5033.5,32.6032.6,37.6037.6,44.9044.9,63.3063.3,69.0069.0,73.5073.5,72.1072.1,61.2061.2,56.8056.8,48.1048.1,33.5033.5
81,1976,24.5024.5,36.0036.0,42.2042.2,52.5052.5,58.6058.6,71.4071.4,71.5071.5,71.0071.0,62.9062.9,49.4049.4,37.7037.7,26.7026.7
82,1977,18.4018.4,30.4030.4,44.1044.1,51.6051.6,62.0062.0,66.8066.8,74.1074.1,71.7071.7,65.6065.6,51.7051.7,45.0045.0,30.7030.7
83,1978,25.3025.3,22.1022.1,35.8035.8,48.6048.6,57.9057.9,68.3068.3,71.6071.6,73.1073.1,62.5062.5,51.9051.9,44.4044.4,34.2034.2
84,1979,29.7029.7,20.8020.8,43.1043.1,49.4049.4,61.3061.3,66.1066.1,72.6072.6,71.8071.8,64.4064.4,52.4052.4,47.2047.2,35.3035.3
85,1980,29.9029.9,27.5027.5,37.2037.2,51.4051.4,61.9061.9,66.7066.7,75.3075.3,75.7075.7,68.1068.1,52.0052.0,40.0040.0,28.4028.4
86,1981,21.7021.7,35.6035.6,37.4037.4,52.5052.5,60.9060.9,69.5069.5,74.7074.7,70.8070.8,63.7063.7,49.6049.6,43.4043.4,31.5031.5
87,1982,21.2021.2,31.7031.7,38.1038.1,47.7047.7,61.8061.8,65.7065.7,73.4073.4,68.9068.9,64.0064.0,53.4053.4,45.8045.8,38.8038.8
88,1983,30.4030.4,32.3032.3,41.9041.9,48.8048.8,58.4058.4,69.4069.4,75.7075.7,74.6074.6,66.7066.7,54.0054.0,44.2044.2,30.8030.8
89,1984,24.2024.2,36.6036.6,33.6033.6,48.6048.6,58.9058.9,70.9070.9,72.1072.1,72.9072.9,62.0062.0,57.9057.9,42.8042.8,38.8038.8
90,1985,24.9024.9,32.2032.2,41.9041.9,52.2052.2,62.4062.4,65.9065.9,73.0073.0,71.4071.4,66.3066.3,54.8054.8,46.6046.6,30.0030.0
91,1986,29.9029.9,28.8028.8,40.9040.9,50.6050.6,62.9062.9,68.5068.5,73.5073.5,69.7069.7,63.6063.6,54.6054.6,41.3041.3,34.9034.9
92,1987,28.7028.7,30.0030.0,42.4042.4,50.8050.8,60.4060.4,70.5070.5,75.2075.2,70.3070.3,64.3064.3,49.0049.0,44.4044.4,36.0036.0
93,1988,23.6023.6,31.4031.4,40.9040.9,48.5048.5,60.0060.0,68.6068.6,76.7076.7,75.1075.1,63.1063.1,49.0049.0,44.9044.9,32.1032.1
94,1989,33.2033.2,31.8031.8,39.2039.2,48.0048.0,59.2059.2,70.5070.5,72.5072.5,71.0071.0,65.6065.6,54.4054.4,42.2042.2,21.9021.9
95,1990,36.8036.8,37.0037.0,42.4042.4,50.1050.1,58.1058.1,68.8068.8,73.8073.8,72.1072.1,63.0063.0,57.8057.8,46.2046.2,38.6038.6
96,1991,30.2030.2,36.6036.6,42.6042.6,52.2052.2,65.5065.5,70.5070.5,74.2074.2,73.4073.4,64.0064.0,54.2054.2,44.3044.3,36.6036.6
97,1992,32.0032.0,34.2034.2,37.7037.7,48.0048.0,57.7057.7,66.4066.4,71.6071.6,68.7068.7,64.2064.2,49.6049.6,43.2043.2,34.1034.1
98,1993,34.2034.2,27.5027.5,35.8035.8,50.4050.4,61.6061.6,68.8068.8,76.0076.0,73.0073.0,64.1064.1,51.4051.4,42.8042.8,33.4033.4
99,1994,22.1022.1,27.3027.3,37.6037.6,52.8052.8,58.4058.4,72.0072.0,76.5076.5,69.7069.7,64.1064.1,51.8051.8,47.9047.9,38.1038.1
100,1995,34.9034.9,27.8027.8,43.2043.2,49.0049.0,58.5058.5,69.3069.3,75.5075.5,74.2074.2,64.9064.9,57.0057.0,39.6039.6,28.8028.8
101,1996,27.7027.7,31.2031.2,36.0036.0,50.6050.6,58.2058.2,70.1070.1,71.2071.2,71.8071.8,65.6065.6,53.6053.6,39.9039.9,38.0038.0
102,1997,29.3029.3,37.5037.5,40.4040.4,48.3048.3,56.9056.9,67.4067.4,73.6073.6,70.4070.4,64.0064.0,53.3053.3,41.1041.1,35.3035.3
103,1998,38.2038.2,38.6038.6,43.0043.0,51.9051.9,63.2063.2,68.0068.0,74.3074.3,73.9073.9,67.4067.4,54.6054.6,43.8043.8,39.9039.9
104,1999,31.8031.8,35.1035.1,40.0040.0,50.7050.7,60.0060.0,70.7070.7,78.8078.8,73.8073.8,66.9066.9,51.9051.9,47.7047.7,36.7036.7
105,2000,29.5029.5,34.3034.3,45.2045.2,49.9049.9,61.8061.8,69.8069.8,70.4070.4,70.4070.4,63.9063.9,53.9053.9,42.8042.8,28.6028.6
106,2001,28.8028.8,34.4034.4,37.8037.8,51.1051.1,61.4061.4,70.4070.4,70.8070.8,74.8074.8,64.5064.5,54.7054.7,48.0048.0,40.8040.8
107,2002,36.2036.2,37.9037.9,42.4042.4,53.5053.5,58.2058.2,69.8069.8,76.1076.1,75.5075.5,67.3067.3,52.6052.6,42.3042.3,32.2032.2
108,2003,25.7025.7,27.3027.3,40.6040.6,48.0048.0,56.9056.9,66.7066.7,74.2074.2,74.7074.7,66.2066.2,51.5051.5,47.6047.6,34.8034.8
109,2004,23.7023.7,32.3032.3,42.2042.2,51.6051.6,65.3065.3,68.5068.5,72.3072.3,72.1072.1,67.0067.0,52.6052.6,45.8045.8,34.3034.3
110,2005,28.8028.8,33.6033.6,36.4036.4,52.5052.5,56.5056.5,72.4072.4,75.9075.9,76.4076.4,69.7069.7,55.6055.6,46.6046.6,31.3031.3
111,2006,37.6037.6,33.5033.5,41.3041.3,53.0053.0,61.2061.2,70.1070.1,76.4076.4,73.4073.4,63.7063.7,52.7052.7,48.9048.9,41.3041.3
112,2007,35.4035.4,25.8025.8,40.4040.4,47.9047.9,62.7062.7,70.4070.4,73.0073.0,72.8072.8,67.4067.4,61.1061.1,42.2042.2,34.3034.3
113,2008,33.6033.6,33.9033.9,40.8040.8,52.8052.8,57.2057.2,72.6072.6,76.1076.1,70.7070.7,67.1067.1,52.5052.5,42.8042.8,35.1035.1
114,2009,25.5025.5,34.0034.0,40.3040.3,52.1052.1,61.1061.1,67.3067.3,71.5071.5,74.5074.5,64.4064.4,52.4052.4,49.0049.0,33.5033.5
115,2010,30.6030.6,31.0031.0,46.1046.1,55.2055.2,63.9063.9,73.4073.4,78.2078.2,74.5074.5,68.7068.7,55.5055.5,44.1044.1,30.2030.2
116,2011,26.3026.3,32.9032.9,40.8040.8,53.4053.4,63.5063.5,71.2071.2,77.8077.8,73.4073.4,68.3068.3,55.6055.6,48.0048.0,39.4039.4
