,Year,Annual
0,1895,46.13333333333346.1
1,1896,46.846.8
2,1897,47.00833333333347.0
3,1898,48.19166666666748.2
4,1899,46.98333333333347.0
5,1900,48.50833333333348.5
6,1901,46.746.7
7,1902,46.86666666666746.9
8,1903,46.58333333333346.6
9,1904,43.88333333333343.9
10,1905,46.19166666666746.2
11,1906,47.547.5
12,1907,44.97545.0
13,1908,47.51666666666747.5
14,1909,46.75833333333346.8
15,1910,46.83333333333346.8
16,1911,47.52547.5
17,1912,46.4546.5
18,1913,49.23333333333349.2
19,1914,45.76666666666745.8
20,1915,47.547.5
21,1916,46.20833333333346.2
22,1917,44.44166666666744.4
23,1918,46.89166666666746.9
24,1919,47.77547.8
25,1920,46.15833333333346.2
26,1921,49.46666666666749.5
27,1922,47.64166666666747.6
28,1923,46.81666666666746.8
29,1924,45.52545.5
30,1925,47.04166666666747.0
31,1926,44.944.9
32,1927,47.04166666666747.0
33,1928,47.44166666666747.4
34,1929,47.53333333333347.5
35,1930,47.86666666666747.9
36,1931,49.37549.4
37,1932,48.44166666666748.4
38,1933,47.84166666666747.8
39,1934,46.75833333333346.8
40,1935,46.58333333333346.6
41,1936,47.3547.4
42,1937,48.15833333333348.2
43,1938,48.42548.4
44,1939,47.69166666666747.7
45,1940,44.95833333333345.0
46,1941,48.03333333333348.0
47,1942,47.53333333333347.5
48,1943,46.91666666666746.9
49,1944,47.70833333333347.7
50,1945,47.39166666666747.4
51,1946,48.67548.7
52,1947,47.56666666666747.6
53,1948,47.36666666666747.4
54,1949,50.21666666666750.2
55,1950,47.19166666666747.2
56,1951,48.22548.2
57,1952,48.59166666666748.6
58,1953,49.8549.9
59,1954,48.42548.4
60,1955,48.55833333333348.6
61,1956,47.20833333333347.2
62,1957,48.56666666666748.6
63,1958,46.17546.2
64,1959,49.14166666666749.1
65,1960,47.23333333333347.2
66,1961,47.65833333333347.7
67,1962,46.49166666666746.5
68,1963,46.51666666666746.5
69,1964,47.847.8
70,1965,47.27547.3
71,1966,47.63333333333347.6
72,1967,46.86666666666746.9
73,1968,47.46666666666747.5
74,1969,47.47547.5
75,1970,47.53333333333347.5
76,1971,47.84166666666747.8
77,1972,47.03333333333347.0
78,1973,49.83333333333349.8
79,1974,47.87547.9
80,1975,48.87548.9
81,1976,46.89166666666746.9
82,1977,47.82547.8
83,1978,46.2546.3
84,1979,48.12548.1
85,1980,47.57547.6
86,1981,47.82547.8
87,1982,47.59166666666747.6
88,1983,48.91666666666748.9
89,1984,48.50833333333348.5
90,1985,48.48333333333348.5
91,1986,48.33333333333348.3
92,1987,48.59166666666748.6
93,1988,47.84166666666747.8
94,1989,47.57547.6
95,1990,50.7550.8
96,1991,50.72550.7
97,1992,47.37547.4
98,1993,48.14166666666748.1
99,1994,48.12548.1
100,1995,48.57548.6
101,1996,47.76666666666747.8
102,1997,47.99166666666748.0
103,1998,51.5551.6
104,1999,50.27550.3
105,2000,48.17548.2
106,2001,49.8549.9
107,2002,50.550.5
108,2003,48.00833333333348.0
109,2004,48.96666666666749.0
110,2005,49.31666666666749.3
111,2006,50.9551.0
112,2007,49.43333333333349.4
113,2008,49.33333333333349.3
114,2009,48.548.5
115,2010,50.93333333333350.9
116,2011,50.46666666666750.5
117,2012,52.152.1
118,2013,49.57549.6
119,2014,48.0548.1
120,2015,49.349.3
121,2016,50.84166666666750.8
122,2017,50.26666666666750.3
123,2018,49.81666666666749.8
124,2019,49.62549.6
125,2020,M
126,,Annual
