,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,17.0017.0,25.8025.8,32.2032.2,46.4046.4,59.0059.0,64.8064.8,71.0071.0,69.9069.9,63.0063.0,52.0052.0,41.5041.5,27.8027.8
76,1971,19.6019.6,26.1026.1,33.2033.2,44.6044.6,54.4054.4,67.0067.0,69.5069.5,67.8067.8,64.6064.6,55.6055.6,38.3038.3,33.4033.4
77,1972,27.5027.5,23.5023.5,33.3033.3,43.1043.1,58.2058.2,62.9062.9,71.6071.6,67.8067.8,62.4062.4,45.7045.7,36.6036.6,31.8031.8
78,1973,28.8028.8,25.4025.4,41.3041.3,48.7048.7,54.3054.3,69.1069.1,71.4071.4,71.3071.3,61.9061.9,52.3052.3,41.3041.3,32.2032.2
79,1974,27.0027.0,25.2025.2,36.1036.1,49.2049.2,55.8055.8,63.6063.6,69.6069.6,68.6068.6,59.8059.8,46.3046.3,41.2041.2,32.1032.1
80,1975,29.4029.4,29.4029.4,34.1034.1,41.7041.7,60.9060.9,66.1066.1,70.7070.7,68.7068.7,57.6057.6,53.3053.3,45.2045.2,29.4029.4
81,1976,20.2020.2,32.4032.4,38.9038.9,49.7049.7,55.5055.5,68.2068.2,67.6067.6,67.4067.4,59.2059.2,46.4046.4,34.5034.5,22.7022.7
82,1977,15.5015.5,26.8026.8,40.7040.7,48.7048.7,59.5059.5,63.5063.5,70.9070.9,68.3068.3,62.3062.3,48.7048.7,42.1042.1,26.9026.9
83,1978,21.6021.6,18.2018.2,32.0032.0,45.6045.6,55.7055.7,64.8064.8,68.3068.3,70.2070.2,59.1059.1,48.8048.8,40.6040.6,30.1030.1
84,1979,25.4025.4,17.2017.2,39.9039.9,47.1047.1,58.6058.6,63.8063.8,70.2070.2,68.8068.8,60.9060.9,49.8049.8,43.9043.9,31.9031.9
85,1980,26.5026.5,23.2023.2,33.7033.7,48.6048.6,59.6059.6,63.3063.3,71.7071.7,72.2072.2,63.8063.8,48.2048.2,36.1036.1,24.0024.0
86,1981,17.4017.4,33.2033.2,35.2035.2,49.8049.8,58.0058.0,66.1066.1,71.5071.5,67.7067.7,60.9060.9,46.6046.6,40.3040.3,27.2027.2
87,1982,16.7016.7,27.6027.6,34.0034.0,44.5044.5,58.9058.9,62.9062.9,70.2070.2,65.6065.6,61.2061.2,50.6050.6,43.3043.3,35.6035.6
88,1983,26.6026.6,28.9028.9,39.0039.0,46.0046.0,55.6055.6,66.6066.6,71.7071.7,71.2071.2,62.8062.8,50.6050.6,41.0041.0,27.0027.0
89,1984,21.1021.1,33.5033.5,30.5030.5,46.4046.4,55.9055.9,67.4067.4,69.0069.0,70.3070.3,58.8058.8,54.6054.6,39.5039.5,35.1035.1
90,1985,21.2021.2,28.1028.1,38.6038.6,49.6049.6,59.9059.9,62.6062.6,69.8069.8,68.3068.3,63.3063.3,51.3051.3,42.7042.7,26.4026.4
91,1986,26.6026.6,25.0025.0,37.6037.6,48.1048.1,60.5060.5,64.5064.5,70.2070.2,66.6066.6,60.2060.2,51.3051.3,37.8037.8,31.6031.6
92,1987,24.3024.3,25.9025.9,38.7038.7,48.7048.7,58.2058.2,67.4067.4,72.2072.2,66.9066.9,61.3061.3,46.1046.1,40.7040.7,32.7032.7
93,1988,20.2020.2,26.8026.8,37.0037.0,45.8045.8,57.6057.6,65.2065.2,73.4073.4,72.1072.1,59.7059.7,46.0046.0,41.8041.8,28.5028.5
94,1989,29.8029.8,27.8027.8,35.6035.6,44.7044.7,57.2057.2,67.1067.1,70.0070.0,67.9067.9,62.1062.1,51.8051.8,39.6039.6,17.3017.3
95,1990,33.5033.5,32.7032.7,40.1040.1,48.0048.0,55.3055.3,65.9065.9,70.7070.7,69.3069.3,60.5060.5,55.0055.0,42.8042.8,35.2035.2
