,Year,Annual
0,1895,50.10833333333350.1
1,1896,50.68333333333350.7
2,1897,50.97551.0
3,1898,52.08333333333352.1
4,1899,50.86666666666750.9
5,1900,52.25833333333352.3
6,1901,50.09166666666750.1
7,1902,50.72550.7
8,1903,50.57550.6
9,1904,47.73333333333347.7
10,1905,50.14166666666750.1
11,1906,51.65833333333351.7
12,1907,49.04166666666749.0
13,1908,51.54166666666751.5
14,1909,50.850.8
15,1910,50.86666666666750.9
16,1911,51.4551.5
17,1912,50.29166666666750.3
18,1913,53.13333333333353.1
19,1914,50.11666666666750.1
20,1915,51.36666666666751.4
21,1916,50.150.1
22,1917,48.59166666666748.6
23,1918,50.82550.8
24,1919,51.87551.9
25,1920,50.51666666666750.5
26,1921,53.38333333333353.4
27,1922,51.73333333333351.7
28,1923,50.99166666666751.0
29,1924,49.79166666666749.8
30,1925,51.19166666666751.2
31,1926,49.01666666666749.0
32,1927,51.24166666666751.2
33,1928,51.50833333333351.5
34,1929,51.7551.8
35,1930,52.1552.2
36,1931,53.79166666666753.8
37,1932,52.74166666666752.7
38,1933,52.15833333333352.2
39,1934,50.90833333333350.9
40,1935,5151.0
41,1936,51.19166666666751.2
42,1937,52.04166666666752.0
43,1938,52.52552.5
44,1939,52.12552.1
45,1940,49.14166666666749.1
46,1941,52.25833333333352.3
47,1942,51.47551.5
48,1943,51.151.1
49,1944,51.8551.9
50,1945,51.751.7
51,1946,53.00833333333353.0
52,1947,51.62551.6
53,1948,51.47551.5
54,1949,54.25833333333354.3
55,1950,51.3551.4
56,1951,52.51666666666752.5
57,1952,52.97553.0
58,1953,54.07554.1
59,1954,52.37552.4
60,1955,52.552.5
61,1956,51.62551.6
62,1957,52.96666666666753.0
63,1958,50.32550.3
64,1959,53.21666666666753.2
65,1960,51.43333333333351.4
66,1961,51.98333333333352.0
67,1962,50.650.6
68,1963,50.84166666666750.8
69,1964,51.96666666666752.0
70,1965,51.39166666666751.4
71,1966,51.69166666666751.7
72,1967,50.7550.8
73,1968,51.56666666666751.6
74,1969,51.61666666666751.6
75,1970,51.71666666666751.7
76,1971,52.14166666666752.1
77,1972,51.10833333333351.1
78,1973,53.74166666666753.7
79,1974,52.3552.4
80,1975,53.0553.1
81,1976,51.49166666666751.5
82,1977,52.07552.1
83,1978,50.750.7
84,1979,52.13333333333352.1
85,1980,52.04166666666752.0
86,1981,51.86666666666751.9
87,1982,51.88333333333351.9
88,1983,53.253.2
89,1984,52.63333333333352.6
90,1985,52.55833333333352.6
91,1986,52.50833333333352.5
92,1987,52.73333333333352.7
93,1988,52.20833333333352.2
94,1989,51.85833333333351.9
95,1990,54.73333333333354.7
96,1991,54.68333333333354.7
97,1992,51.47551.5
98,1993,52.44166666666752.4
99,1994,52.48333333333352.5
100,1995,52.78333333333352.8
101,1996,51.90833333333351.9
102,1997,52.29166666666752.3
103,1998,55.63333333333355.6
104,1999,54.62554.6
105,2000,52.46666666666752.5
106,2001,54.19166666666754.2
107,2002,54.68333333333354.7
108,2003,52.00833333333352.0
109,2004,53.22553.2
110,2005,53.90833333333353.9
111,2006,55.33333333333355.3
112,2007,53.63333333333353.6
113,2008,53.79166666666753.8
114,2009,53.06666666666753.1
115,2010,55.33333333333355.3
116,2011,55.25833333333355.3
117,2012,56.5556.6
118,2013,53.95833333333354.0
119,2014,52.5552.6
120,2015,54.56666666666754.6
121,2016,55.89166666666755.9
122,2017,55.27555.3
123,2018,54.44166666666754.4
124,2019,54.354.3
125,2020,M
126,,Annual
