,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Union,22.5022.5,30.8030.8,36.2036.2,49.2049.2,61.7061.7,68.7068.7,74.8074.8,74.3074.3,68.0068.0,56.1056.1,45.7045.7,32.6032.6
76,1971,Union,25.1025.1,31.9031.9,38.0038.0,48.0048.0,57.4057.4,70.7070.7,73.6073.6,72.0072.0,68.4068.4,59.7059.7,42.4042.4,38.5038.5
77,1972,Union,32.3032.3,28.6028.6,37.6037.6,46.8046.8,60.3060.3,66.1066.1,75.1075.1,72.4072.4,66.4066.4,49.9049.9,41.2041.2,36.6036.6
78,1973,Union,32.5032.5,30.4030.4,44.8044.8,51.3051.3,57.5057.5,72.1072.1,75.2075.2,75.1075.1,66.9066.9,56.6056.6,45.7045.7,36.8036.8
79,1974,Union,32.8032.8,30.3030.3,40.7040.7,52.8052.8,59.4059.4,67.1067.1,74.2074.2,73.4073.4,64.7064.7,50.8050.8,45.1045.1,36.9036.9
80,1975,Union,34.5034.5,33.4033.4,38.3038.3,45.8045.8,64.0064.0,69.5069.5,74.5074.5,73.0073.0,62.2062.2,57.6057.6,49.5049.5,34.3034.3
81,1976,Union,25.6025.6,37.6037.6,42.9042.9,53.3053.3,59.9059.9,72.1072.1,72.6072.6,72.3072.3,64.1064.1,50.9050.9,38.6038.6,28.0028.0
82,1977,Union,20.1020.1,31.6031.6,45.0045.0,51.9051.9,63.2063.2,68.0068.0,75.3075.3,72.7072.7,66.4066.4,52.8052.8,45.9045.9,32.0032.0
83,1978,Union,26.1026.1,23.7023.7,36.8036.8,49.0049.0,58.6058.6,69.2069.2,72.5072.5,74.3074.3,63.8063.8,53.7053.7,45.3045.3,35.4035.4
84,1979,Union,30.7030.7,21.8021.8,43.8043.8,49.8049.8,62.0062.0,66.8066.8,73.9073.9,72.9072.9,65.6065.6,53.4053.4,48.2048.2,36.7036.7
85,1980,Union,31.0031.0,28.2028.2,37.9037.9,51.6051.6,63.1063.1,67.8067.8,76.4076.4,76.4076.4,68.9068.9,52.6052.6,41.0041.0,29.6029.6
86,1981,Union,22.8022.8,36.2036.2,38.5038.5,53.2053.2,61.2061.2,70.5070.5,75.7075.7,72.0072.0,64.5064.5,50.8050.8,44.3044.3,32.7032.7
87,1982,Union,22.6022.6,33.0033.0,38.8038.8,48.3048.3,62.2062.2,66.2066.2,74.4074.4,70.1070.1,65.1065.1,55.0055.0,47.0047.0,39.9039.9
88,1983,Union,31.5031.5,33.4033.4,42.5042.5,49.7049.7,58.6058.6,70.5070.5,77.0077.0,75.1075.1,67.9067.9,54.9054.9,45.2045.2,32.1032.1
89,1984,Union,25.5025.5,37.5037.5,34.3034.3,49.4049.4,59.5059.5,72.4072.4,73.4073.4,74.1074.1,63.4063.4,58.8058.8,43.7043.7,39.6039.6
90,1985,Union,25.1025.1,32.7032.7,42.5042.5,53.0053.0,63.4063.4,66.7066.7,73.9073.9,72.5072.5,67.4067.4,55.4055.4,47.1047.1,31.0031.0
91,1986,Union,31.0031.0,29.6029.6,41.7041.7,51.1051.1,63.7063.7,69.5069.5,74.2074.2,70.9070.9,65.0065.0,55.3055.3,42.2042.2,35.9035.9
92,1987,Union,29.5029.5,30.9030.9,42.8042.8,51.0051.0,61.1061.1,71.6071.6,76.2076.2,71.5071.5,65.4065.4,50.5050.5,45.3045.3,37.0037.0
93,1988,Union,25.6025.6,32.3032.3,41.8041.8,48.7048.7,60.7060.7,69.9069.9,77.4077.4,76.5076.5,64.6064.6,49.8049.8,45.9045.9,33.3033.3
94,1989,Union,34.4034.4,32.3032.3,40.1040.1,49.4049.4,60.2060.2,71.3071.3,73.8073.8,72.5072.5,66.7066.7,55.6055.6,43.0043.0,23.0023.0
95,1990,Union,37.9037.9,37.9037.9,43.0043.0,50.6050.6,58.5058.5,69.9069.9,74.7074.7,73.4073.4,64.9064.9,59.1059.1,47.2047.2,39.7039.7
96,1991,Union,31.4031.4,37.3037.3,43.1043.1,53.0053.0,66.4066.4,71.6071.6,75.2075.2,74.7074.7,65.1065.1,55.6055.6,45.5045.5,37.3037.3
97,1992,Union,33.0033.0,34.6034.6,37.7037.7,48.0048.0,58.5058.5,67.7067.7,72.6072.6,70.0070.0,65.2065.2,51.2051.2,43.9043.9,35.3035.3
98,1993,Union,34.9034.9,27.8027.8,36.5036.5,50.8050.8,62.4062.4,70.0070.0,77.2077.2,74.2074.2,64.9064.9,52.5052.5,43.9043.9,34.2034.2
99,1994,Union,23.2023.2,27.8027.8,38.3038.3,53.5053.5,59.2059.2,73.1073.1,77.4077.4,71.1071.1,65.1065.1,53.4053.4,48.5048.5,39.2039.2
100,1995,Union,35.8035.8,28.7028.7,43.7043.7,49.8049.8,59.4059.4,70.1070.1,76.4076.4,75.0075.0,65.7065.7,58.1058.1,40.7040.7,30.0030.0
101,1996,Union,28.8028.8,32.0032.0,36.8036.8,50.8050.8,58.7058.7,70.5070.5,72.0072.0,72.7072.7,66.5066.5,54.3054.3,40.9040.9,38.9038.9
102,1997,Union,29.7029.7,38.1038.1,40.5040.5,49.1049.1,57.6057.6,68.7068.7,74.8074.8,71.5071.5,64.8064.8,54.3054.3,42.2042.2,36.2036.2
103,1998,Union,38.8038.8,39.3039.3,43.8043.8,52.4052.4,63.4063.4,68.6068.6,75.6075.6,75.1075.1,68.4068.4,55.7055.7,45.5045.5,41.0041.0
104,1999,Union,32.5032.5,36.3036.3,40.8040.8,51.7051.7,61.0061.0,72.1072.1,79.6079.6,74.6074.6,67.5067.5,53.0053.0,48.6048.6,37.8037.8
105,2000,Union,30.3030.3,35.3035.3,45.8045.8,50.0050.0,62.2062.2,70.4070.4,71.5071.5,71.4071.4,64.7064.7,54.8054.8,43.6043.6,29.6029.6
106,2001,Union,30.3030.3,34.7034.7,38.3038.3,51.9051.9,62.1062.1,71.3071.3,72.2072.2,76.5076.5,65.7065.7,55.7055.7,49.6049.6,42.0042.0
107,2002,Union,37.6037.6,38.9038.9,42.9042.9,54.2054.2,59.0059.0,70.5070.5,77.3077.3,76.6076.6,68.5068.5,53.7053.7,43.4043.4,33.6033.6
108,2003,Union,26.3026.3,28.1028.1,41.3041.3,48.3048.3,57.6057.6,67.7067.7,75.2075.2,75.8075.8,66.9066.9,52.9052.9,48.4048.4,35.6035.6
109,2004,Union,24.4024.4,33.0033.0,42.7042.7,52.3052.3,65.4065.4,69.9069.9,73.4073.4,73.0073.0,68.2068.2,53.7053.7,46.7046.7,36.0036.0
