,Year,Annual
0,1895,46.86666666666746.9
1,1896,47.59166666666747.6
2,1897,47.74166666666747.7
3,1898,48.87548.9
4,1899,47.39166666666747.4
5,1900,49.08333333333349.1
6,1901,47.25833333333347.3
7,1902,47.46666666666747.5
8,1903,47.11666666666747.1
9,1904,44.344.3
10,1905,46.57546.6
11,1906,47.94166666666747.9
12,1907,45.445.4
13,1908,47.92547.9
14,1909,46.90833333333346.9
15,1910,46.92546.9
16,1911,47.947.9
17,1912,46.63333333333346.6
18,1913,49.79166666666749.8
19,1914,46.32546.3
20,1915,47.99166666666748.0
21,1916,46.59166666666746.6
22,1917,45.07545.1
23,1918,47.447.4
24,1919,48.30833333333348.3
25,1920,46.70833333333346.7
26,1921,50.07550.1
27,1922,48.44166666666748.4
28,1923,47.25833333333347.3
29,1924,45.88333333333345.9
30,1925,47.42547.4
31,1926,45.56666666666745.6
32,1927,47.69166666666747.7
33,1928,47.79166666666747.8
34,1929,47.94166666666747.9
35,1930,48.39166666666748.4
36,1931,50.08333333333350.1
37,1932,48.91666666666748.9
38,1933,48.42548.4
39,1934,47.25833333333347.3
40,1935,47.40833333333347.4
41,1936,47.67547.7
42,1937,48.41666666666748.4
43,1938,48.90833333333348.9
44,1939,48.43333333333348.4
45,1940,45.84166666666745.8
46,1941,48.64166666666748.6
47,1942,48.12548.1
48,1943,47.55833333333347.6
49,1944,48.25833333333348.3
50,1945,48.0548.1
51,1946,49.39166666666749.4
52,1947,48.04166666666748.0
53,1948,48.11666666666748.1
54,1949,50.81666666666750.8
55,1950,47.74166666666747.7
56,1951,48.84166666666748.8
57,1952,49.27549.3
58,1953,50.34166666666750.3
59,1954,4949.0
60,1955,49.09166666666749.1
61,1956,47.94166666666747.9
62,1957,49.17549.2
63,1958,46.85833333333346.9
64,1959,49.84166666666749.8
65,1960,47.80833333333347.8
66,1961,48.37548.4
67,1962,47.21666666666747.2
68,1963,47.27547.3
69,1964,48.46666666666748.5
70,1965,47.97548.0
71,1966,48.15833333333348.2
72,1967,47.45833333333347.5
73,1968,48.248.2
74,1969,48.30833333333348.3
75,1970,48.31666666666748.3
76,1971,48.73333333333348.7
77,1972,47.86666666666747.9
78,1973,50.4550.5
79,1974,48.82548.8
80,1975,49.68333333333349.7
81,1976,47.62547.6
82,1977,48.37548.4
83,1978,46.92546.9
84,1979,48.64166666666748.6
85,1980,48.4548.5
86,1981,48.51666666666748.5
87,1982,48.20833333333348.2
88,1983,49.47549.5
89,1984,49.1549.2
90,1985,49.27549.3
91,1986,49.17549.2
92,1987,49.46666666666749.5
93,1988,48.63333333333348.6
94,1989,48.29166666666748.3
95,1990,51.35833333333351.4
96,1991,51.12551.1
97,1992,48.0548.1
98,1993,48.96666666666749.0
99,1994,48.88333333333348.9
100,1995,49.249.2
101,1996,48.348.3
102,1997,48.68333333333348.7
103,1998,52.29166666666752.3
104,1999,51.0551.1
105,2000,48.97549.0
106,2001,50.47550.5
107,2002,51.18333333333351.2
108,2003,48.82548.8
109,2004,49.9550.0
110,2005,50.57550.6
111,2006,51.98333333333352.0
112,2007,50.36666666666750.4
113,2008,50.4550.5
114,2009,49.849.8
115,2010,51.851.8
116,2011,51.56666666666751.6
117,2012,52.96666666666753.0
118,2013,50.15833333333350.2
119,2014,48.86666666666748.9
120,2015,50.450.4
121,2016,52.05833333333352.1
122,2017,51.52551.5
123,2018,50.95833333333351.0
124,2019,50.99166666666751.0
125,2020,M
126,,Annual
