,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,18.0018.0,26.7026.7,33.0033.0,46.8046.8,59.5059.5,65.1065.1,71.7071.7,70.4070.4,64.0064.0,53.0053.0,42.6042.6,29.0029.0
76,1971,20.9020.9,27.8027.8,34.8034.8,45.5045.5,54.8054.8,67.9067.9,69.9069.9,68.2068.2,65.1065.1,56.4056.4,39.0039.0,34.5034.5
77,1972,28.4028.4,24.6024.6,34.6034.6,44.1044.1,58.6058.6,63.3063.3,71.8071.8,68.6068.6,63.1063.1,46.5046.5,37.8037.8,33.0033.0
78,1973,29.1029.1,26.8026.8,42.4042.4,48.6048.6,54.6054.6,69.4069.4,71.7071.7,71.5071.5,62.9062.9,53.3053.3,42.2042.2,32.9032.9
79,1974,28.6028.6,26.7026.7,37.3037.3,50.0050.0,57.0057.0,64.3064.3,70.7070.7,69.5069.5,60.6060.6,47.1047.1,41.5041.5,32.6032.6
80,1975,30.0030.0,30.0030.0,35.1035.1,42.9042.9,61.6061.6,67.0067.0,71.2071.2,69.5069.5,58.2058.2,54.6054.6,45.8045.8,30.3030.3
81,1976,21.3021.3,33.0033.0,39.6039.6,50.5050.5,55.7055.7,69.1069.1,68.4068.4,68.0068.0,60.2060.2,47.2047.2,35.0035.0,23.5023.5
82,1977,15.8015.8,27.5027.5,41.7041.7,49.3049.3,59.8059.8,64.1064.1,71.2071.2,68.9068.9,62.8062.8,49.4049.4,42.5042.5,27.5027.5
83,1978,22.5022.5,19.1019.1,32.9032.9,46.0046.0,56.2056.2,65.4065.4,68.7068.7,70.8070.8,60.0060.0,49.4049.4,41.1041.1,31.0031.0
84,1979,26.2026.2,17.9017.9,40.2040.2,47.2047.2,59.2059.2,64.1064.1,70.4070.4,69.3069.3,61.7061.7,50.4050.4,44.4044.4,32.7032.7
85,1980,27.6027.6,24.2024.2,34.4034.4,49.1049.1,59.9059.9,64.0064.0,72.6072.6,73.1073.1,65.0065.0,49.0049.0,37.0037.0,25.5025.5
86,1981,19.1019.1,33.5033.5,35.5035.5,50.2050.2,58.5058.5,66.9066.9,72.0072.0,68.4068.4,61.6061.6,47.5047.5,40.9040.9,28.1028.1
87,1982,18.0018.0,28.7028.7,35.2035.2,45.0045.0,59.5059.5,62.8062.8,70.6070.6,65.8065.8,61.7061.7,51.4051.4,43.7043.7,36.1036.1
88,1983,27.6027.6,29.7029.7,39.7039.7,46.4046.4,55.9055.9,66.6066.6,72.3072.3,71.9071.9,63.0063.0,51.1051.1,41.8041.8,27.7027.7
89,1984,21.6021.6,34.9034.9,31.4031.4,47.1047.1,56.4056.4,67.9067.9,69.6069.6,70.5070.5,59.1059.1,55.4055.4,40.0040.0,35.9035.9
90,1985,22.0022.0,29.2029.2,39.3039.3,50.4050.4,60.2060.2,63.0063.0,70.3070.3,69.1069.1,63.9063.9,52.7052.7,44.0044.0,27.2027.2
91,1986,27.4027.4,26.4026.4,39.1039.1,48.6048.6,61.2061.2,65.8065.8,70.9070.9,67.0067.0,60.9060.9,52.4052.4,38.2038.2,32.2032.2
92,1987,25.8025.8,27.3027.3,39.8039.8,49.7049.7,58.7058.7,68.7068.7,72.9072.9,67.5067.5,61.8061.8,46.5046.5,41.4041.4,33.5033.5
93,1988,21.0021.0,28.1028.1,37.9037.9,46.7046.7,58.6058.6,66.2066.2,74.3074.3,72.6072.6,60.0060.0,46.4046.4,42.2042.2,29.6029.6
94,1989,30.6030.6,28.9028.9,36.5036.5,45.8045.8,57.2057.2,67.9067.9,70.3070.3,68.5068.5,62.8062.8,52.4052.4,40.0040.0,18.6018.6
95,1990,33.9033.9,34.0034.0,40.5040.5,48.3048.3,56.0056.0,66.1066.1,71.6071.6,69.6069.6,61.3061.3,55.5055.5,43.7043.7,35.8035.8
96,1991,26.8026.8,33.4033.4,40.0040.0,50.3050.3,63.7063.7,68.4068.4,71.7071.7,71.1071.1,61.6061.6,51.6051.6,41.6041.6,33.3033.3
97,1992,29.3029.3,31.4031.4,34.9034.9,46.3046.3,56.2056.2,63.9063.9,69.3069.3,66.2066.2,61.2061.2,47.1047.1,40.1040.1,30.7030.7
98,1993,31.0031.0,24.3024.3,32.7032.7,47.9047.9,59.7059.7,66.6066.6,73.4073.4,70.9070.9,61.9061.9,49.0049.0,40.2040.2,30.0030.0
99,1994,18.2018.2,23.4023.4,35.0035.0,50.7050.7,56.4056.4,69.3069.3,73.9073.9,67.8067.8,61.8061.8,50.3050.3,45.0045.0,34.8034.8
100,1995,31.3031.3,24.9024.9,40.8040.8,46.3046.3,56.3056.3,67.7067.7,73.3073.3,71.7071.7,61.2061.2,54.6054.6,36.8036.8,25.5025.5
101,1996,23.4023.4,27.9027.9,33.3033.3,47.7047.7,55.8055.8,67.3067.3,68.6068.6,69.5069.5,62.9062.9,51.3051.3,37.3037.3,34.6034.6
102,1997,25.8025.8,33.8033.8,37.7037.7,45.9045.9,54.3054.3,65.9065.9,70.7070.7,67.7067.7,61.0061.0,51.1051.1,38.2038.2,32.1032.1
103,1998,34.4034.4,35.9035.9,40.2040.2,49.8049.8,62.4062.4,66.1066.1,71.4071.4,71.8071.8,64.3064.3,52.5052.5,41.6041.6,37.1037.1
104,1999,28.0028.0,32.1032.1,37.1037.1,48.1048.1,58.6058.6,68.6068.6,76.4076.4,70.6070.6,64.6064.6,49.7049.7,45.0045.0,33.8033.8
105,2000,25.8025.8,30.6030.6,43.0043.0,47.6047.6,59.6059.6,67.2067.2,67.5067.5,67.6067.6,61.2061.2,51.9051.9,40.3040.3,25.4025.4
106,2001,26.2026.2,30.7030.7,35.4035.4,48.8048.8,59.2059.2,68.0068.0,68.4068.4,72.6072.6,62.0062.0,52.0052.0,45.0045.0,37.4037.4
107,2002,33.4033.4,35.1035.1,39.0039.0,50.9050.9,56.1056.1,67.9067.9,73.6073.6,73.6073.6,65.1065.1,50.1050.1,40.2040.2,29.2029.2
108,2003,22.7022.7,24.7024.7,37.2037.2,46.3046.3,55.9055.9,64.3064.3,71.8071.8,72.4072.4,63.5063.5,49.5049.5,45.6045.6,32.0032.0
109,2004,21.1021.1,29.8029.8,39.7039.7,49.6049.6,63.6063.6,65.3065.3,69.8069.8,69.5069.5,64.6064.6,51.1051.1,44.0044.0,31.3031.3
110,2005,26.2026.2,31.5031.5,33.8033.8,51.3051.3,54.4054.4,70.6070.6,73.2073.2,73.3073.3,67.1067.1,53.5053.5,43.8043.8,28.2028.2
111,2006,35.1035.1,32.0032.0,39.3039.3,51.0051.0,59.1059.1,67.3067.3,73.6073.6,70.0070.0,60.8060.8,50.3050.3,46.4046.4,38.9038.9
112,2007,32.7032.7,23.6023.6,37.2037.2,45.7045.7,60.2060.2,68.2068.2,70.2070.2,70.2070.2,64.9064.9,59.6059.6,40.2040.2,31.7031.7
113,2008,30.8030.8,30.7030.7,38.4038.4,51.4051.4,54.7054.7,69.9069.9,72.9072.9,68.3068.3,64.5064.5,49.7049.7,41.5041.5,32.6032.6
114,2009,22.9022.9,31.9031.9,38.7038.7,50.7050.7,59.0059.0,65.0065.0,68.4068.4,71.6071.6,61.5061.5,50.1050.1,46.8046.8,31.0031.0
115,2010,28.3028.3,29.6029.6,44.2044.2,53.0053.0,61.6061.6,69.6069.6,75.2075.2,71.6071.6,65.8065.8,52.6052.6,41.9041.9,28.2028.2
116,2011,23.6023.6,30.6030.6,38.2038.2,50.8050.8,61.0061.0,68.4068.4,74.9074.9,70.5070.5,65.6065.6,52.9052.9,45.1045.1,37.2037.2
117,2012,31.2031.2,36.0036.0,48.0048.0,49.7049.7,63.7063.7,67.4067.4,75.2075.2,71.6071.6,63.8063.8,53.6053.6,39.2039.2,36.2036.2
118,2013,30.0030.0,29.2029.2,36.9036.9,49.4049.4,59.1059.1,68.2068.2,74.8074.8,68.3068.3,61.5061.5,54.3054.3,39.4039.4,30.8030.8
119,2014,20.8020.8,24.2024.2,31.7031.7,48.4048.4,60.5060.5,68.1068.1,71.4071.4,68.5068.5,64.1064.1,54.5054.5,38.8038.8,35.4035.4
120,2015,23.6023.6,17.8017.8,32.0032.0,49.0049.0,64.1064.1,67.2067.2,71.8071.8,70.6070.6,67.4067.4,51.4051.4,46.5046.5,43.4043.4
121,2016,27.5027.5,32.8032.8,43.9043.9,48.6048.6,58.7058.7,68.2068.2,74.4074.4,73.8073.8,67.0067.0,53.4053.4,43.8043.8,32.6032.6
122,2017,32.2032.2,36.6036.6,35.2035.2,53.7053.7,57.7057.7,67.7067.7,72.7072.7,68.6068.6,65.7065.7,57.5057.5,40.8040.8,29.9029.9
123,2018,24.6024.6,34.8034.8,35.5035.5,44.9044.9,63.0063.0,67.7067.7,73.8073.8,73.7073.7,66.7066.7,53.2053.2,39.1039.1,34.5034.5
124,2019,28.0028.0,30.7030.7,36.0036.0,51.9051.9,60.3060.3,67.5067.5,75.4075.4,71.6071.6,65.6065.6,54.6054.6,38.3038.3,32.0032.0
125,2020,33.2033.2,35.2035.2,43.0043.0,45.6045.6,57.2057.2,M,M,M,M,M,M,M
