,st_cty_code,county,state,cases
0,1001,Autauga County,AL,0
1,1003,Baldwin County,AL,0
2,1005,Barbour County,AL,0
3,1007,Bibb County,AL,1
4,1009,Blount County,AL,2
5,10011,Bullock County,AL,0
6,10013,Butler County,AL,0
7,10015,Calhoun County,AL,0
8,10017,Chambers County,AL,1
9,10019,Cherokee County,AL,0
10,10021,Chilton County,AL,0
11,10023,Choctaw County,AL,1
12,10025,Clarke County,AL,0
13,10027,Clay County,AL,1
14,10029,Cleburne County,AL,0
15,10031,Coffee County,AL,0
16,10033,Colbert County,AL,1
17,10035,Conecuh County,AL,0
18,10037,Coosa County,AL,0
19,10039,Covington County,AL,1
20,10041,Crenshaw County,AL,0
21,10043,Cullman County,AL,1
22,10045,Dale County,AL,2
23,10047,Dallas County,AL,0
24,10049,DeKalb County,AL,4
25,10051,Elmore County,AL,1
26,10053,Escambia County,AL,0
27,10055,Etowah County,AL,0
28,10057,Fayette County,AL,0
29,10059,Franklin County,AL,0
30,10061,Geneva County,AL,1
31,10063,Greene County,AL,0
32,10065,Hale County,AL,1
33,10067,Henry County,AL,0
34,10069,Houston County,AL,1
35,10071,Jackson County,AL,0
36,10073,Jefferson County,AL,4
37,10075,Lamar County,AL,0
38,10077,Lauderdale County,AL,0
39,10079,Lawrence County,AL,0
40,10081,Lee County,AL,1
41,10083,Limestone County,AL,0
42,10085,Lowndes County,AL,0
43,10087,Macon County,AL,0
44,10089,Madison County,AL,7
45,10091,Marengo County,AL,0
46,10093,Marion County,AL,0
47,10095,Marshall County,AL,0
48,10097,Mobile County,AL,0
49,10099,Monroe County,AL,0
50,100101,Montgomery County,AL,0
51,100103,Morgan County,AL,0
52,100105,Perry County,AL,0
53,100107,Pickens County,AL,0
54,100109,Pike County,AL,0
55,100111,Randolph County,AL,0
56,100113,Russell County,AL,0
57,100115,St. Clair County,AL,2
58,100117,Shelby County,AL,0
59,100119,Sumter County,AL,0
60,100121,Talladega County,AL,0
61,100123,Tallapoosa County,AL,0
62,100125,Tuscaloosa County,AL,3
63,100127,Walker County,AL,0
64,100129,Washington County,AL,0
65,100131,Wilcox County,AL,0
66,100133,Winston County,AL,0
67,100999,Alabama,AL,0
68,20013,Aleutians East Borough,AK,0
69,20016,Aleutians West Census Area,AK,0
70,20020,Anchorage Municipality,AK,3
71,20050,Bethel Census Area,AK,0
72,20060,Bristol Bay Borough,AK,0
73,20068,Denali Borough,AK,1
74,20070,Dillingham Census Area,AK,0
75,20090,Fairbanks North Star Borough,AK,1
76,200100,Haines Borough,AK,0
77,200105,Hoonah-Angoon Census Area,AK,0
78,200110,Juneau City and Borough,AK,1
79,200122,Kenai Peninsula Borough,AK,4
80,200130,Ketchikan Gateway Borough,AK,0
81,200150,Kodiak Island Borough,AK,0
82,200158,Kusilvak Census Area,AK,0
83,200164,Lake and Peninsula Borough,AK,0
84,200170,Matanuska-Susitna Borough,AK,1
85,200180,Nome Census Area,AK,0
86,200185,North Slope Borough,AK,0
87,200188,Northwest Arctic Borough,AK,0
88,200195,Petersburg Borough,AK,0
89,200198,Prince of Wales-Hyder Census Area,AK,0
90,200220,Sitka City and Borough,AK,0
91,200230,Skagway Municipality,AK,0
92,200240,Southeast Fairbanks Census Area,AK,0
93,200261,Valdez-Cordova Census Area,AK,0
94,200275,Wrangell City and Borough,AK,0
95,200282,Yakutat City and Borough,AK,0
96,200290,Yukon-Koyukuk Census Area,AK,0
97,200999,Alaska,AK,0
98,4001,Apache County,AZ,0
99,4003,Cochise County,AZ,0
100,4005,Coconino County,AZ,2
101,4007,Gila County,AZ,0
102,4009,Graham County,AZ,0
103,40011,Greenlee County,AZ,0
104,40012,La Paz County,AZ,0
105,40013,Maricopa County,AZ,1
106,40015,Mohave County,AZ,1
107,40017,Navajo County,AZ,0
108,40019,Pima County,AZ,1
109,40021,Pinal County,AZ,0
110,40023,Santa Cruz County,AZ,0
111,40025,Yavapai County,AZ,1
112,40027,Yuma County,AZ,1
113,400999,Arizona,AZ,0
114,5001,Arkansas County,AR,0
115,5003,Ashley County,AR,0
116,5005,Baxter County,AR,0
117,5007,Benton County,AR,0
118,5009,Boone County,AR,0
119,50011,Bradley County,AR,0
120,50013,Calhoun County,AR,0
121,50015,Carroll County,AR,0
122,50017,Chicot County,AR,0
123,50019,Clark County,AR,0
124,50021,Clay County,AR,0
125,50023,Cleburne County,AR,0
126,50025,Cleveland County,AR,0
127,50027,Columbia County,AR,0
128,50029,Conway County,AR,0
129,50031,Craighead County,AR,0
130,50033,Crawford County,AR,0
131,50035,Crittenden County,AR,0
132,50037,Cross County,AR,0
133,50039,Dallas County,AR,1
134,50041,Desha County,AR,0
135,50043,Drew County,AR,0
136,50045,Faulkner County,AR,0
137,50047,Franklin County,AR,0
138,50049,Fulton County,AR,0
139,50051,Garland County,AR,1
140,50053,Grant County,AR,0
141,50055,Greene County,AR,0
142,50057,Hempstead County,AR,0
143,50059,Hot Spring County,AR,0
144,50061,Howard County,AR,0
145,50063,Independence County,AR,1
146,50065,Izard County,AR,0
147,50067,Jackson County,AR,0
148,50069,Jefferson County,AR,0
149,50071,Johnson County,AR,0
150,50073,Lafayette County,AR,0
151,50075,Lawrence County,AR,0
152,50077,Lee County,AR,0
153,50079,Lincoln County,AR,0
154,50081,Little River County,AR,0
155,50083,Logan County,AR,0
156,50085,Lonoke County,AR,0
157,50087,Madison County,AR,0
158,50089,Marion County,AR,0
159,50091,Miller County,AR,0
160,50093,Mississippi County,AR,0
161,50095,Monroe County,AR,0
162,50097,Montgomery County,AR,0
163,50099,Nevada County,AR,0
164,500101,Newton County,AR,0
165,500103,Ouachita County,AR,0
166,500105,Perry County,AR,0
167,500107,Phillips County,AR,0
168,500109,Pike County,AR,0
169,500111,Poinsett County,AR,0
170,500113,Polk County,AR,0
171,500115,Pope County,AR,1
172,500117,Prairie County,AR,0
173,500119,Pulaski County,AR,0
174,500121,Randolph County,AR,0
175,500123,St. Francis County,AR,0
176,500125,Saline County,AR,0
177,500127,Scott County,AR,0
178,500129,Searcy County,AR,0
179,500131,Sebastian County,AR,0
180,500133,Sevier County,AR,0
181,500135,Sharp County,AR,0
182,500137,Stone County,AR,0
183,500139,Union County,AR,0
184,500141,Van Buren County,AR,0
185,500143,Washington County,AR,0
186,500145,White County,AR,0
187,500147,Woodruff County,AR,0
188,500149,Yell County,AR,0
189,500999,Arkansas,AR,0
190,6001,Alameda County,CA,2
191,6003,Alpine County,CA,0
192,6005,Amador County,CA,0
193,6007,Butte County,CA,0
194,6009,Calaveras County,CA,0
195,60011,Colusa County,CA,0
196,60013,Contra Costa County,CA,9
197,60015,Del Norte County,CA,0
198,60017,El Dorado County,CA,0
199,60019,Fresno County,CA,1
200,60021,Glenn County,CA,0
201,60023,Humboldt County,CA,1
202,60025,Imperial County,CA,0
203,60027,Inyo County,CA,0
204,60029,Kern County,CA,0
205,60031,Kings County,CA,0
206,60033,Lake County,CA,1
207,60035,Lassen County,CA,0
208,60037,Los Angeles County,CA,4
209,60039,Madera County,CA,0
210,60041,Marin County,CA,2
211,60043,Mariposa County,CA,0
212,60045,Mendocino County,CA,0
213,60047,Merced County,CA,0
214,60049,Modoc County,CA,0
215,60051,Mono County,CA,0
216,60053,Monterey County,CA,0
217,60055,Napa County,CA,2
218,60057,Nevada County,CA,1
219,60059,Orange County,CA,0
220,60061,Placer County,CA,0
221,60063,Plumas County,CA,0
222,60065,Riverside County,CA,5
223,60067,Sacramento County,CA,3
224,60069,San Benito County,CA,0
225,60071,San Bernardino County,CA,1
226,60073,San Diego County,CA,7
227,60075,San Francisco County,CA,16
228,60077,San Joaquin County,CA,1
229,60079,San Luis Obispo County,CA,2
230,60081,San Mateo County,CA,0
231,60083,Santa Barbara County,CA,5
232,60085,Santa Clara County,CA,7
233,60087,Santa Cruz County,CA,9
234,60089,Shasta County,CA,0
235,60091,Sierra County,CA,1
236,60093,Siskiyou County,CA,1
237,60095,Solano County,CA,2
238,60097,Sonoma County,CA,11
239,60099,Stanislaus County,CA,6
