,year,county,cases
0,2000,Atlantic County,90
0,2000,Passaic County,30
0,2000,Cumberland County,32
0,2000,Mercer County,83
0,2000,Middlesex County,116
0,2000,Cape May County,15
0,2000,Salem County,41
0,2000,Essex County,58
0,2000,Gloucester County,101
0,2000,Ocean County,92
0,2000,Somerset County,152
0,2000,Warren County,149
0,2000,Union County,19
0,2000,Monmouth County,191
0,2000,Hunterdon County,538
0,2000,Hudson County,14
0,2000,Burlington County,22
0,2000,Sussex County,140
0,2000,Camden County,11
0,2000,Bergen County,104
0,2000,Morris County,461
1,2001,Morris County,416
1,2001,Middlesex County,81
1,2001,Atlantic County,62
1,2001,Warren County,149
1,2001,Mercer County,32
1,2001,Monmouth County,168
1,2001,Hunterdon County,492
1,2001,Bergen County,40
1,2001,Salem County,29
1,2001,Union County,16
1,2001,Essex County,37
1,2001,Ocean County,105
1,2001,Sussex County,155
1,2001,Hudson County,6
1,2001,Cumberland County,18
1,2001,Passaic County,21
1,2001,Burlington County,6
1,2001,Somerset County,128
1,2001,Cape May County,8
1,2001,Camden County,4
1,2001,Gloucester County,44
2,2002,Salem County,21
2,2002,Cumberland County,17
2,2002,Morris County,398
2,2002,Essex County,84
2,2002,Hunterdon County,412
2,2002,Passaic County,35
2,2002,Burlington County,20
2,2002,Monmouth County,167
2,2002,Atlantic County,74
2,2002,Union County,33
2,2002,Cape May County,7
2,2002,Gloucester County,55
2,2002,Warren County,195
2,2002,Mercer County,32
2,2002,Middlesex County,134
2,2002,Ocean County,126
2,2002,Somerset County,128
2,2002,Bergen County,127
2,2002,Sussex County,262
2,2002,Camden County,12
2,2002,Hudson County,9
3,2003,Bergen County,122
3,2003,Burlington County,92
3,2003,Ocean County,166
3,2003,Hudson County,13
3,2003,Camden County,19
3,2003,Warren County,240
3,2003,Hunterdon County,403
3,2003,Sussex County,336
3,2003,Gloucester County,76
3,2003,Morris County,440
3,2003,Monmouth County,211
3,2003,Union County,39
3,2003,Somerset County,148
3,2003,Mercer County,68
3,2003,Middlesex County,89
3,2003,Salem County,26
3,2003,Passaic County,65
3,2003,Cumberland County,72
3,2003,Cape May County,40
3,2003,Atlantic County,129
3,2003,Essex County,93
4,2004,Atlantic County,156
4,2004,Sussex County,219
4,2004,Somerset County,146
4,2004,Warren County,135
4,2004,Camden County,43
4,2004,Salem County,22
4,2004,Burlington County,132
4,2004,Union County,61
4,2004,Bergen County,86
4,2004,Cumberland County,62
4,2004,Cape May County,46
4,2004,Hudson County,10
4,2004,Hunterdon County,326
4,2004,Gloucester County,111
4,2004,Passaic County,78
4,2004,Morris County,339
4,2004,Middlesex County,66
4,2004,Ocean County,220
4,2004,Essex County,86
4,2004,Monmouth County,242
4,2004,Mercer County,112
5,2005,Mercer County,225
5,2005,Cape May County,39
5,2005,Essex County,111
5,2005,Cumberland County,90
5,2005,Somerset County,162
5,2005,Passaic County,66
5,2005,Morris County,524
5,2005,Ocean County,182
5,2005,Camden County,54
5,2005,Atlantic County,137
